sentence,arg1,verb,correct_label,prediction
 He marched into the classroom and announced the exam .,man,march,0,0
 The stars gravitate towards each other .,star,gravitate,0,0
 A hot soup will revive me .,soup,revive,1,1
 He revived this style of opera .,style,revive,1,1
 The lights were flashing .,light,flash,0,0
 She designed a good excuse for not attending classes that day .,excuse,design,1,1
 The colors do n't harmonize .,color,harmonize,1,1
 the pilot managed to land the airplane safely .,airplane,land,0,0
 pigs were wallowing in the mud .,pig,wallow,0,0
 The ship landed in Pearl Harbor .,ship,land,0,0
 society was infected by racism .,society,infect,1,1
 The market is being clogged by these operations .,market,clog,1,1
 The mother was swelling with importance when she spoke of her son .,mother,swell,1,1
 Their language inclines us to believe them .,language,incline,1,1
 She poisoned her husband .,husband,poison,0,0
 The State taxes alcohol heavily .,state,tax,0,0
 capture the essence of Spring   .,essence,capture,1,1
 The scientists had to accommodate the new results with the existing theories .,result,accommodate,1,1
 The teacher nodded when the student gave the right answer .,teacher,nod,0,0
 Johnson brushed the hairs from his jacket .,hair,brush,0,0
 steamroller the road .,road,steamroller,0,0
 The pool slowly filled with water .,pool,fill,0,0
 Water sprayed all over the floor .,water,spray,0,0
 She was besieged by so many problems that she got discouraged .,problem,besiege,1,1
 Please use a computerized disctionary .,dictionary,computerize,0,0
 He brushed the wall lightly .,wall,brush,0,0
 They fastened various nicknames to each other .,nickname,fasten,1,1
 He showered her with presents .,present,shower,1,1
 Am I supposed to swallow that story ?,story,swallow,1,1
 My skin crawled -- I was terrified .,skin,crawl,1,1
 We poured money into the education of our children .,money,pour,1,1
 The sun glared down on us .,sun,glare,1,1
 The truck dumped the garbage in the street .,garbage,dump,0,0
 Unrest erupted in the country .,unrest,erupt,1,1
 poison someone 's mind .,mind,poison,1,1
 blood stagnates in the capillaries .,blood,stagnate,0,0
 Sales were climbing after prices were lowered .,sale,climb,1,1
 This behavior will ruin your chances of winning the election .,chance,ruin,1,1
 The sales tax is absorbed into the state income tax .,tax,absorb,1,1
 The invaders spread their language all over the country .,language,spread,1,1
 The boy kicked the dog .,dog,kick,0,0
 The building was levelled .,building,level,0,0
 Interns have to rotate for a few months .,intern,rotate,1,1
 We had to swim for 20 minutes to reach the shore .,man,swim,0,0
 Please communicate this message to all employees .,message,communicate,0,0
 sow the ground with sunflower seeds .,ground,sow,0,0
 They sifted through the job candidates .,candidate,sift,1,1
 The Turks besieged Vienna .,vienna,besiege,0,0
 The dress molds her beautiful figure .,dress,mold,1,1
 fill the child with pride .,child,fill,1,1
 The curtain ripped from top to bottom .,curtain,rip,0,0
 The listeners bolted when he discussed his strange ideas .,listener,bolt,1,1
 The cancer had invaded her lungs .,lungs,invade,1,1
 spray water on someone .,water,spray,0,0
 condense the contents of a book into a summary .,content,condense,1,1
 This poses an interesting question .,question,pose,1,1
 This mushrooms can poison .,mushroom,poison,0,0
