nouns,verbs,sentences,preds,true
workers,abuse, This boss abuses his workers .,00110000000000000000,00000000000000000000
policeman,abuse, The actress abused the policeman who gave her a parking ticket .,00000000000100000000,00000000000000000000
guest,accommodate, This hotel can accommodate 250 guests .,00010000000000000000,00000000000000000000
colleague,acknowledge, He never acknowledges his colleagues when they run into him in the hallway .,00000000100000000000,00000000000000000000
kindness,acknowledge, We must acknowledge the kindness she showed towards us .,10000000110000000000,00000000000000000000
deed,acknowledge, acknowledge the deed .,00010000000000000000,00000000000000000000
prince,acknowledge, The Crown Prince was acknowledged as the true heir to the throne .,00001100000000000000,00000000000000000000
wallpaper,adhere, Will this wallpaper adhere to the wall ?,00100010000000000000,00000000000000000000
question,answer, The question concerning the meaning of life can not be answered .,00000010000000000000,00000000000000000000
mountain,ascend, We ascended the mountain .,11000000000000000000,00000000000000000000
path,ascend, The path ascended to the top of the hill .,00100000000000000000,00000000000000000000
poland,attack," Hitler attacked Poland on September 1 , 1939 and started World War II .",00010000000000000000,00000000000000000000
village,attack, The Serbs attacked the village at night .,01000001000000000000,00000000000000000000
foot,bind, The Chinese would bind the feet of their women .,00000000010000000000,00000000000000000000
book,bind, They bind their books in leather .,00100000000000000000,00000000000000000000
pine,blaze, The summer sun alone can cause a pine to blaze .,00000010000000000000,00000000000000000000
voltage,boost, Boost the voltage in an electrical circuit .,00000001000000000000,00000000000000000000
singer,boost, The singer had to be boosted onto the stage by a special contraption .,00000000001001000000,00000000000000000000
ball,bounce, The rubber ball bounced .,00010000000000000000,00000000000000000000
hair,brush, Johnson brushed the hairs from his jacket .,01000001000000000000,00000000000000000000
wall,brush, He brushed the wall lightly .,01010000000000000000,00000000000000000000
suit,brush, She brushed the suit before hanging it back into the closet .,01000001101100000000,00000000000000000000
school,build, The government is building new schools in this state .,01000000000000000000,00000000000000000000
sum,buy, This sum will buy you a ride on the train .,00010011001000000000,00000000000000000000
love,buy, She wanted to buy his love with her dedication to him and his work .,00000000000010100000,00000000000000000000
neutron,capture, This nucleus has captured the slow - moving neutrons .,10000000010000000000,00000000000000000000
hill,climb, Did you ever climb up the hill behind your house ?,00001000000000000000,00000000000000000000
act,commit, commit a random act of kindness .,00000010000000000000,00000000000000000000
message,communicate, Please communicate this message to all employees .,00000100000000000000,00000000000000000000
anxiety,communicate, He communicated his anxieties to the psychiatrist .,00100001000000000000,00000000000000000000
haircut,compare, John compared his haircut to his friend 's .,00100100100000000000,00000000000000000000
car,compare, This car does not compare with our line of Mercedes .,10000000001000000000,00000000000000000000
