sentence,pos_seq,genre,preds,true
Trams disappeared from most British cities in the 1950s .,"['NOUN', 'VERB', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']",news,00000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Trams , it was believed until surprisingly recently , are old-fashioned .","['NOUN', 'PUNCT', 'PRON', 'VERB', 'VERB', 'ADP', 'ADV', 'ADV', 'PUNCT', 'VERB', 'ADJ', 'PUNCT']",news,00000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Powers of acceleration and braking are remarkable , the latter far greater than any car .","['NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADJ', 'PUNCT', 'DET', 'ADJ', 'ADV', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']",news,00000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Hardly a page goes by without the hapless Francis noticing something which reminds him , improbably , of something else .","['ADV', 'DET', 'NOUN', 'VERB', 'ADV', 'ADP', 'DET', 'ADJ', 'PROPN', 'VERB', 'NOUN', 'ADJ', 'VERB', 'PRON', 'PUNCT', 'ADV', 'PUNCT', 'ADP', 'NOUN', 'ADV', 'PUNCT']",news,00011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Sometimes he is reminded of several things .,"['ADV', 'PRON', 'VERB', 'VERB', 'ADP', 'ADJ', 'NOUN', 'PUNCT']",news,"0000001000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000","0000001000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000"
"Well , better than that , and one of the best things about it is the fact that so few people , except the French themselves , bother with it .","['INTJ', 'PUNCT', 'ADJ', 'ADP', 'DET', 'PUNCT', 'CCONJ', 'NUM', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'ADV', 'ADJ', 'NOUN', 'PUNCT', 'ADP', 'DET', 'ADJ', 'PRON', 'PUNCT', 'VERB', 'ADP', 'PRON', 'PUNCT']",news,00001000000110000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001000000110000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Money may not have changed hands .,"['NOUN', 'VERB', 'ADV', 'VERB', 'VERB', 'NOUN', 'PUNCT']",news,00001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
There are a number of points to bear in mind .,"['ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PART', 'VERB', 'ADP', 'NOUN', 'PUNCT']",news,00000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
You lose the gift which the will would have made .,"['PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'DET', 'NOUN', 'VERB', 'VERB', 'VERB', 'PUNCT']",news,"0100000001000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000","0100000001000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000"
"Ã¢ÂÂ Alas , disclaimers may work if , for example , the property being valued is industrial or an expensive house .","['PROPN', 'INTJ', 'PUNCT', 'NOUN', 'VERB', 'VERB', 'ADP', 'PUNCT', 'ADP', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'VERB', 'VERB', 'VERB', 'ADJ', 'CCONJ', 'DET', 'ADJ', 'NOUN', 'PUNCT']",news,"0000010000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000","0000010000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000"
