sentence,correct_label,label
"Y otra más, es que aunque al inicio de año habían anunciado que los recursos de Fonaes, mil 200 millones de pesos, sólo los destinarían a las más de 200 microrregiones -zonas rurales pobres del País-, ahora las convocatorias establecen que también serán sujetos de apoyo los proyectos productivos de familias que se ubiquen en los  de , que podrían estar en zonas urbanas, señalados por la Sedesol.",1,1
"Esto puede reducir sus cuotas, que le darían más  plazo del .",0,0
"Nadie come ""soberanía""  ni le  que defiendan como perro su patrimonio mandando las tasas de interés a la estratosfera para que Merrill Lynch y George Soros puedan asociarse con el superespeculador llamado Banco de México, con las cuentas malas a nuestro cargo con deuda interna, impuestos y Fobaproas.",0,0
"El 80 por ciento de la población, dijo, no se enteró que Enrique Peña Nieto, candidato del , no fue capaz de citar tres libros, debido a que la televisión no informó en su momento sobre ese hecho y sólo lo retomó de manera marginal una vez que explotó en las  sociales.",0,0
"De conformidad con la reforma al artículo 139 del Código Fiscal de la Federación publicada en el Diario Oficial de la Federación el 5 de enero de 2004, las notificaciones por estrados se harán fijando durante quince días consecutivos el documento que se pretenda notificar en un sitio abierto al público de las oficinas de la  que efectúe la notificación y publicando el documento citado, durante el mismo plazo, en la página electrónica que al efecto establezcan las autoridades .",0,0
"Barrio Terrazas, exprecandidato del PAN a la  de la República, exgobernador de Chihuahua y secretario de la  en la gestión de Vicente Fox, se apresta a iniciar su carrera diplomática si es ratificado por la Comisión Permanente.",0,0
"En opinión de , estos juegos son la nueva herramienta para la crítica  y mediática.",0,0
"La filosofía es para la libertad la  de una , la democracia es para la filosofía la dinámica creadora de productos filosóficos que dinamizan la democracia.",1,1
"Reporte Indigo (edición 272):  de  - YouTube: "" """,1,1
"En México, las remesas representan entre 3 y 4 por ciento del PIB y por ello no es esperable que afecten el crecimiento de la economía en su conjunto pero sin duda ocasionarán una caída importante en los niveles de vida de las localidades y hogares que dependen del flujo de remesas y con ello  la incidencia de la .",1,1
"Sin embargo, la publicación advierte que la progresiva alza de los precios de los alimentos plantea obstáculos para reducir la indigencia y constituye un peligro para la región, ya que podría originar un  de la , del hambre y la desnutrición.",1,1
"Cuando las fuentes de abundancia del gobierno empezaron a secarse, cuando a causa de la falta de fondos y la imposibilidad de negociar préstamos frescos el estado se vio forzado a controlar la  de la  y para las obras públicas, entonces y solo entonces se dieron cuenta los italianos de lo que significaba haberse permitido crear una de las naciones con mayor carga fiscal en el mundo.",1,1
"Eso de calentarse la cabeza por un trabajador y sus ,  algo que se toman con muuuucha tranquilidad, entre veinte o treinta, es posible que comiencen a tomar medidas.",0,0
"El Ayuntamiento de México, abundando en las ideas que predominaban en España, respecto a desconocer la autoridad emanada del   por Napoleón, invitó al Virrey, a través de los licenciados Azcárate y Primo de Verdad, a que reuniera a los delegados de los ayuntamientos y que se formara un Congreso a la manera de la Cortes Españolas.",1,0
Organismo autonomo encargado del cumplimiento de las reglas que garantizan la participacion politica de la ciudadania y es responsable de organizar y  los  en el estado.,0,1
"de la , niveles educativos bajísimos, ignorancia, falta de vías de comunicación, de vivienda digna, salarios y fuentes de empleo cada vez más escasos, inseguridad social, y muchos otros indicadores que sería prolijo enumerar, crecen de manera apabullante y constituyen esa",1,1
"SAGARPA ha iniciado su Consulta Pública 2006-2012, con la realización de Foros Estatales, cuyo objetivo es obtener de manera directa y participativa las opiniones y propuestas de lo más representativo de la sociedad rural de cada Estado para incorporarlas a los lineamientos de  y programas del Plan Nacional de Desarrollo  y el Programa Sectorial, como base fundamental de sus contenidos con visión a largo plazo.",0,0
"* Es quizás más afortunado disfrutar coleccionando caracolas que el haber nacido . (Robert Louis Stevenson) * Pocos hombres ricos poseen sus propiedades; son sus propiedades las que les poseen a ellos. (Robert G. Ingersoll) * Los hijos de ricos raramente son padres de ricos. (Herbert Kaufman) * La libertad produce riqueza, y la riqueza destruye la libertad. (Henry D. Lloyd) * Quiero ser rica pero no quiero hacer lo que hay que hacer para ser rica. (Gertrude Stein) * El hombre es el único animal que cuanto más tiene, más quiere, el único animal que nunca está satisfecho. ()",0,0
La trama del  del  de Oaxaca está tan enredada como el quesillo regional.,1,1
Anuncia Calderón   de Gr...,1,1
"No   que un colectivo determinado, con la excusa de representar a un 16% de los trabajadores, o de representar lo que ellos llaman el mundo de la cultura, se financie con nuestro dinero para hacerle el juego sucio a la izquierda que recoge los beneficios.",1,0
