nouns,verbs,sentences,preds,true
policeman,abuse, The actress abused the policeman who gave her a parking ticket .,00000000000000000000,00000000000000000000
guest,accommodate, This hotel can accommodate 250 guests .,00000000000000000000,00000000000000000000
submission,acknowledge, The program committee acknowledged the submission of the authors of the paper .,00000000000000000000,00000000000000000000
colleague,acknowledge, He never acknowledges his colleagues when they run into him in the hallway .,00000000000000000000,00000000000000000000
kindness,acknowledge, We must acknowledge the kindness she showed towards us .,00000000000000000000,00000000000000000000
deed,acknowledge, acknowledge the deed .,00000000000000000000,00000000000000000000
prince,acknowledge, The Crown Prince was acknowledged as the true heir to the throne .,00000000000000000000,00000000000000000000
wallpaper,adhere, Will this wallpaper adhere to the wall ?,00000000000000000000,00000000000000000000
telephone,answer, answer the telephone .,00000000000000000000,00000000000000000000
question,answer, The question concerning the meaning of life can not be answered .,00000000000000000000,00000000000000000000
defendant,answer, The defendant answered to all the charges of the prosecution .,00000000000000000000,00000000000000000000
mountain,ascend, We ascended the mountain .,00000000000000000000,00000000000000000000
path,ascend, The path ascended to the top of the hill .,00000000000000000000,00000000000000000000
poland,attack," Hitler attacked Poland on September 1 , 1939 and started World War II .",00000000000000000000,00000000000000000000
village,attack, The Serbs attacked the village at night .,00000000000000000000,00000000000000000000
vienna,besiege, The Turks besieged Vienna .,00000000000000000000,00000000000000000000
pine,blaze, The summer sun alone can cause a pine to blaze .,00000000000000000000,00000000000000000000
foot,blister, Her feet blistered during the long hike .,00000000000000000000,00000000000000000000
voltage,boost, Boost the voltage in an electrical circuit .,00000000000000000000,00000000000000000000
singer,boost, The singer had to be boosted onto the stage by a special contraption .,00000000000000000000,00000000000000000000
ball,bounce, The rubber ball bounced .,00000000000000000000,00000000000000000000
hair,brush, Johnson brushed the hairs from his jacket .,00000000000000000000,00000000000000000000
wall,brush, He brushed the wall lightly .,00000000000000000000,00000000000000000000
suit,brush, She brushed the suit before hanging it back into the closet .,00000000000000000000,00000000000000000000
architect,build, These architects build in interesting and new styles .,00000000000000000000,00000000000000000000
sum,buy, This sum will buy you a ride on the train .,00000000000000000000,00000000000000000000
bee,buzz, bees were buzzing around the hive .,00000000000000000000,00000000000000000000
plane,buzz, Planes buzzed the crowds in the square .,00000000000000000000,00000000000000000000
neutron,capture, This nucleus has captured the slow - moving neutrons .,00000000000000000000,00000000000000000000
hill,climb, Did you ever climb up the hill behind your house ?,00000000000000000000,00000000000000000000
drain,clog, The leaves clog our drains in the Fall .,00000000000000000000,00000000000000000000
smoke,cloud, The smoke clouded above the houses .,00000000000000000000,00000000000000000000
wall,color, color the walls with paint in warm tones .,00000000000000000000,00000000000000000000
act,commit, commit a random act of kindness .,00000000000000000000,00000000000000000000
haircut,compare, John compared his haircut to his friend 's .,00000000000000000000,00000000000000000000
car,compare, This car does not compare with our line of Mercedes .,00000000000000000000,00000000000000000000
dynasty,compare, We can compare the Han dynasty to the Romans .,00000000000000000000,00000000000000000000
symphony,compose, Beethoven composed nine symphonies .,00000000000000000000,00000000000000000000
office,computerize, Our office is fully computerized now .,00000000000000000000,00000000000000000000
industry,computerize, They computerized the car industry .,00000000000000000000,00000000000000000000
air,condense, The cold air condensed the steam .,00000000000000000000,00000000000000000000
planet,condense, All our planets condensed out of the same material .,00000000000000000000,00000000000000000000
spasm,convulse, The spasm convulses her facial muscles .,00000000000000000000,00000000000000000000
muscle,convulse, The muscles in her face convulsed .,00000000000000000000,00000000000000000000
crocodile,crawl, The crocodile was crawling along the riverbed .,00000000000000000000,00000000000000000000
child,crawl, European children learn the breast stroke ; they often do n't know how to crawl .,00000000000000000000,00000000000000000000
prince,crown, The prince was crowned in Westminster Abbey .,00000000000000000000,00000000000000000000
can,crush, crush an aluminum can .,00000000000000000000,00000000000000000000
toy,crush, The car crushed the toy .,00000000000000000000,00000000000000000000
bottle,crush, The plastic bottle crushed against the wall .,00000000000000000000,00000000000000000000
hair,curl," Curl my hair , please .",00000000000000000000,00000000000000000000
plate,dash, He dashed the plate against the wall .,00000000000000000000,00000000000000000000
paint,dash, blue paint dashed with white .,00000000000000000000,00000000000000000000
mattress,deflate, deflate the air mattress .,00000000000000000000,00000000000000000000
suit,design, Chanel designed the famous suit .,00000000000000000000,00000000000000000000
sandwich,devour, he devoured three sandwiches .,00000000000000000000,00000000000000000000
milk,digest, I can not digest milk products .,00000000000000000000,00000000000000000000
protein,digest, Protein digests in a few hours .,00000000000000000000,00000000000000000000
suspect,down, The policeman downed the heavily armed suspect .,00000000000000000000,00000000000000000000
water,drain, The rain water drains into this big vat .,00000000000000000000,00000000000000000000
tank,drain, We drained the oil tank .,00000000000000000000,00000000000000000000
snow,drift, snow drifting several feet high .,00000000000000000000,00000000000000000000
boat,drift, drift the boats downstream .,00000000000000000000,00000000000000000000
liter,drink, The patient must drink several liters each day .,00000000000000000000,00000000000000000000
husband,drink, The husband drinks and beats his wife .,00000000000000000000,00000000000000000000
child,drown, The child drowned in the lake .,00000000000000000000,00000000000000000000
garbage,dump, The truck dumped the garbage in the street .,00000000000000000000,00000000000000000000
proprietor,emerge," Suddenly , the proprietor emerged from his office .",00000000000000000000,00000000000000000000
pen,engrave, engrave the pen with the owner 's name .,00000000000000000000,00000000000000000000
formula,erase, Please erase the formula on the blackboard -- it is wrong !,00000000000000000000,00000000000000000000
