nouns,verbs,sentences,preds,true
workers,abuse, This boss abuses his workers .,00100000000000000000,00000000000000000000
kindness,acknowledge, We must acknowledge the kindness she showed towards us .,00100000000000000000,00000000000000000000
balloon,deflate, The balloons deflated .,00100000000000000000,00000000000000000000
surface,dull, Age had dulled the surface .,00100000000000000000,00000000000000000000
light,flash, The lights were flashing .,00010000000000000000,00000000000000000000
book,line, lined books are more enduring .,10001000000000000000,00000000000000000000
mistress,paint, He painted his mistress many times .,01000000000000000000,00000000000000000000
company,raid, T. Boone Pickens raided many large companies .,00010000000000000000,00000000000000000000
tower,top, The towers were topped with conical roofs .,00010000000000000000,00000000000000000000
person,breathe, I can breathe better when the air is clean .,00100000000000000000,00000000000000000000
woman,lean, She leaned over the banister .,01000000000000000000,00000000000000000000
man,peep, He peeped at the woman through the window .,01000000000000000000,00000000000000000000
finding,preserve, We preserve these archeological findings .,01000000000000000000,00000000000000000000
