nouns,verbs,sentences,preds,true
knowledge,absorb, He absorbed the knowledge or beliefs of his tribe .,01001001000000000000,01000000000000000000
tax,absorb, The sales tax is absorbed into the state income tax .,00001100000000000000,00001000000000000000
immigrant,absorb, The immigrants were quickly absorbed into society .,00010100000000000000,00001000000000000000
interest,absorb, Her interest in butterflies absorbs her completely .,10001010000000000000,00001000000000000000
alcohol,abuse, Her husband often abuses alcohol .,10010000000000000000,00010000000000000000
result,accommodate, The scientists had to accommodate the new results with the existing theories .,01001000000000000000,00001000000000000000
resident,adhere, The residents of this village adhered to Catholicism .,00000010001000000000,00000100000000000000
steering,answer, The steering of my new car answers to the slightest touch .,00000000000100000000,00000010000000000000
speaker,attack, The editors of the left - leaning paper attacked the new House Speaker .,00001001100000000000,00000000100000000000
cancer,attack, The cancer cells are attacking his liver .,00001110000000000000,00001000000000000000
problem,besiege, She was besieged by so many problems that she got discouraged .,00100000010000000000,00100000000000000000
oxygen,bind, The hydrogen binds the oxygen .,00100100000000000000,00100000000000000000
meteor,blaze, Meteors blazed across the atmosphere .,01100000000000000000,01000000000000000000
spaceship,blaze, The spaceship blazed out into space .,00101000000000000000,00100000000000000000
administration,blister, The Senator blistered the administration in his speech on Friday .,00001000100000000000,00100000000000000000
economy,boost, The tax cut will boost the economy .,00001001000000000000,00001000000000000000
government,bow, The government bowed to the military pressure .,01100001000000000000,00100000000000000000
life,breathe, He breathed new life into the old house .,01001000000000000000,01000000000000000000
fabric,breathe, Our new synthetic fabric breathes and is perfect for summer wear .,10001011000000000000,00001000000000000000
defense,build, build a defense on nothing but the accused person 's reputation .,10110000000100000000,10000000000000000000
story,buy, I ca n't buy this story .,10010010000000000000,00010000000000000000
office,buzz, This office is buzzing with activity .,10110010000000000000,00010000000000000000
servant,buzz, he buzzed the servant .,01001000000000000000,01000000000000000000
way,claw, They clawed their way to the top of the mountain .,11000000010000000000,01000000000000000000
rival,claw, The politician clawed his rival .,00110000000000000000,00100000000000000000
sale,climb, Sales were climbing after prices were lowered .,00010000000000000000,00100000000000000000
path,climb, The path climbed all the way to the top of the hill .,00010000000000000000,00100000000000000000
horse,clog, horses were clogged until they were tamed .,00010000000000000000,00100000000000000000
market,clog, The market is being clogged by these operations .,00011100000000000000,00001000000000000000
memory,cloud, The stroke clouded memories of her youth .,00110110000000000000,00100000000000000000
idea,color, His political ideas color his lectures .,00011000000000000000,00010000000000000000
room,communicate, The rooms communicated .,01010000000000000000,00100000000000000000
personality,compose, Greed and ambition composed his personality .,00011000000000000000,00010000000000000000
plan,condense, Congress condensed the three - year plan into a six - month plan .,00010000100000000000,01000000000000000000
crowd,convulse, The comedian convulsed the crowd .,01100000000000000000,00100000000000000000
cheese,crawl, The old cheese was crawling with maggots .,00101001000000000000,00001000000000000000
meeting,crown, The speech crowned the meeting .,00100100000000000000,00100000000000000000
building,crown, A weather vane crowns the building .,00100000000000000000,00010000000000000000
refusal,crush, She was crushed by his refusal of her invitation .,00101000000000000000,00100000000000000000
smoke,curl, The cigar smoke curled up at the ceiling .,00011000000000000000,00010000000000000000
ambition,dash, dashed ambitions and hopes .,10100000000000000000,10000000000000000000
confidence,deflate, The bad review of his work deflated his self - confidence .,00101011000000000000,00000010000000000000
economy,deflate, The new measures deflated the economy .,00010010000000000000,00010000000000000000
excuse,design, She designed a good excuse for not attending classes that day .,01001000000000000000,01000000000000000000
novel,devour, She devoured his novels .,01101000000000000000,01000000000000000000
law,digest, the government digested the entire law into a code .,00101011010000000000,00100000000000000000
martini,down, He downed three martinis before dinner .,01001000000000000000,01000000000000000000
pound,down, Some people can down a pound of meat in the course of one meal .,00001000000000100000,00010000000000000000
life,drain, Life in the camp drained him .,10000010000000000000,00001000000000000000
