sentence,correct_label,prediction,polarity,intensity,source_concept,target_concept
"El Ayuntamiento de México, abundando en las ideas que predominaban en España, respecto a desconocer la autoridad emanada del   por Napoleón, invitó al Virrey, a través de los licenciados Azcárate y Primo de Verdad, a que reuniera a los delegados de los ayuntamientos y que se formara un Congreso a la manera de la Cortes Españolas.",1,0,NEUTRAL,0.0,,GOVERNMENT
"No   que un colectivo determinado, con la excusa de representar a un 16% de los trabajadores, o de representar lo que ellos llaman el mundo de la cultura, se financie con nuestro dinero para hacerle el juego sucio a la izquierda que recoge los beneficios.",1,0,POSITIVE,1.0,,DEMOCRACY
"La delegación mexicana manifestó que es ineludible contar con la representatividad necesaria para construir un instrumento democrático que incluya la  de fuerzas políticas en los  nacionales, y expresó que México tiene total confianza en que los resultados de las negociaciones del Parlamento Europeo para ampliar el número de miembros serán satisfactorios.",1,0,POSITIVE,1.0,CONFINEMENT,GOVERNMENT
"De la misma forma Ambrosio Ramos López, destacó que la  tomada por las  mexicanas le causará graves problemas, ya que ellos son personas procedentes de Guatemala, que vienen a esta ciudad a trabajar para ayudar a los suyos, pero sin la venta del cigarro, no tendrá ganancias y no podrá enviar dinero a su familia.",1,0,POSITIVE,1.0,BODY_OF_WATER,GOVERNMENT
Los resultados electorales de este año debilitarán al presidente y su partido  a las  del 2006,1,0,NEUTRAL,0.0,,GOVERNMENT
La Conferencia afirma que la alimentación no debe utilizarse como instrumento de  .,1,0,NEGATIVE,1.0,WEATHER,GOVERNMENT
"La superación de esta circunstancia que aún caracteriza la vida pública del país requiere, necesariamente, de una nueva ruta de  de los  y de la propia figura presidencial, a través de la democratización.",1,0,POSITIVE,2.0,BUILDING,GOVERNMENT
"Presencia Ciudadana está promoviendo dos iniciativas para que en la  de las campañas a la  de la República y a la Jefatura del Gobierno del DF los grupos e individuos representantes de la sociedad civil (academia, organizaciones sociales, grupos de vecinos, etc.) tengamos una incidencia real en las propuestas electorales, en los programas de gobierno y en las políticas públicas de los dos niveles de gobierno.",1,0,POSITIVE,1.0,,GOVERNMENT
"Entonces los  de  no necesariamente se refieren a qué tienen y qué no tienen, sino que además están en el contexto en el cual van a poder salir (1.2.3)",1,0,NEGATIVE,2.0,OTHER,POVERTY
"en la distribución subyacente del ingreso que no se miden por variaciones en el ingreso (o consumo) mediano. Desde el informe del año pasado, el nuevo  de la  integra 31 nuevas encuestas en hogares. La combinación de estas nuevas encuestas con la previsión",1,0,NEGATIVE,2.0,WEATHER,POVERTY
"EL IDH (índice de desarrollo humano), IPH (índice de  ) y otros de esa gama, como los índices de potenciación de género, por ejemplo, son índices sintéticos que recogen la información de diferentes indicadores de manera que su resultado está considerado de forma general.",1,0,NEGATIVE,2.0,WEAKNESS,POVERTY
"Denota más  con la , y  su actitud hacia los viejitos pareciera  una preocupación por sus propios padres o abuelos.",1,0,NEGATIVE,1.0,EMOTION_EXPERIENCER,POVERTY
Eso es México y después dicen que denuncies como para que si es una burla ahora resulta que los delincuentes tienen garantías y se les violan los derechos MÉXICO eres una porquería el  es un  que se lo está acabando,1,0,NEGATIVE,2.0,DISEASE,GOVERNMENT
