sentence,pos_seq,genre,preds,true
Trams disappeared from most British cities in the 1950s .,"['NOUN', 'VERB', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']",news,00000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Other British towns , Croydon and Southampton among them , are also considering modern tramways .","['ADJ', 'ADJ', 'NOUN', 'PUNCT', 'PROPN', 'CCONJ', 'PROPN', 'ADP', 'PRON', 'PUNCT', 'VERB', 'ADV', 'VERB', 'ADJ', 'NOUN', 'PUNCT']",news,00000001000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000001000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
The first half of the novel is dominated by the girl 's death from leukaemia .,"['DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'ADP', 'NOUN', 'PUNCT']",news,"0000000100000100000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000","0000000100000100000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000"
"Meanwhile , at his public school , Francis is conducting a love-affair with an older pupil named Keith Ogilvie .","['ADV', 'PUNCT', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'PROPN', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'PUNCT']",news,00100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"He has , however , given him a psychotic compulsion to formulate fanciful similes .","['PRON', 'VERB', 'PUNCT', 'ADV', 'PUNCT', 'VERB', 'PRON', 'DET', 'ADJ', 'NOUN', 'PART', 'VERB', 'ADJ', 'NOUN', 'PUNCT']",news,00000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Sometimes he is reminded of several things .,"['ADV', 'PRON', 'VERB', 'VERB', 'ADP', 'ADJ', 'NOUN', 'PUNCT']",news,"0000001000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000","0000001000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000"
"Well , better than that , and one of the best things about it is the fact that so few people , except the French themselves , bother with it .","['INTJ', 'PUNCT', 'ADJ', 'ADP', 'DET', 'PUNCT', 'CCONJ', 'NUM', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'ADV', 'ADJ', 'NOUN', 'PUNCT', 'ADP', 'DET', 'ADJ', 'PRON', 'PUNCT', 'VERB', 'ADP', 'PRON', 'PUNCT']",news,00001000000110000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001000000110000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Even for France , the variety to be found is enormous .","['ADV', 'ADP', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'PART', 'VERB', 'VERB', 'VERB', 'ADJ', 'PUNCT']",news,00000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"It makes a conveniently central hub : the Marais Poitevin village of Coulon is 27 miles to the north by the D120 , which inexplicably changes its number at the top of a hill to D115 .","['PRON', 'VERB', 'DET', 'ADV', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'PROPN', 'PROPN', 'NOUN', 'ADP', 'PROPN', 'VERB', 'NUM', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADJ', 'ADV', 'VERB', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']",news,"0100010000000000000000000100000000100
000000000000000000000000000000000000000000000000000000000000000000000000000000","0100010000000000000000000100000000100
000000000000000000000000000000000000000000000000000000000000000000000000000000"
Money may not have changed hands .,"['NOUN', 'VERB', 'ADV', 'VERB', 'VERB', 'NOUN', 'PUNCT']",news,00001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
