nouns,verbs,sentences,preds,true
knowledge,absorb, He absorbed the knowledge or beliefs of his tribe .,01000000000000000000,01000000000000000000
cost,absorb, He absorbed the costs for the accident .,01000000000000000000,01000000000000000000
tax,absorb, The sales tax is absorbed into the state income tax .,00001000000000000000,00001000000000000000
immigrant,absorb, The immigrants were quickly absorbed into society .,00001000000000000000,00001000000000000000
interest,absorb, Her interest in butterflies absorbs her completely .,00001000000000000000,00001000000000000000
system,abuse, Do n't abuse the system .,00100000000000000000,00100000000000000000
alcohol,abuse, Her husband often abuses alcohol .,00010000000000000000,00010000000000000000
result,accommodate, The scientists had to accommodate the new results with the existing theories .,00001000000000000000,00001000000000000000
resident,adhere, The residents of this village adhered to Catholicism .,00000100000000000000,00000100000000000000
steering,answer, The steering of my new car answers to the slightest touch .,00000010000000000000,00000010000000000000
inheritance,ascend, Inheritance may not ascend linearly .,00010000000000000000,00010000000000000000
speaker,attack, The editors of the left - leaning paper attacked the new House Speaker .,00000000100000000000,00000000100000000000
problem,attack, I attacked the problem as soon as I got out of bed .,01000000000000000000,01000000000000000000
cancer,attack, The cancer cells are attacking his liver .,00001000000000000000,00001000000000000000
problem,besiege, She was besieged by so many problems that she got discouraged .,00100000000000000000,00100000000000000000
press,besiege, The press photographers besieged the movie star .,00010000000000000000,00010000000000000000
oxygen,bind, The hydrogen binds the oxygen .,00100000000000000000,00100000000000000000
meteor,blaze, Meteors blazed across the atmosphere .,01000000000000000000,01000000000000000000
spaceship,blaze, The spaceship blazed out into space .,00100000000000000000,00100000000000000000
administration,blister, The Senator blistered the administration in his speech on Friday .,00100000000000000000,00100000000000000000
distinction,blur, The distinction between the two theories blurred .,00000010000000000000,00000010000000000000
food,bolt, Do n't bolt your food !,00100000000000000000,00100000000000000000
economy,boost, The tax cut will boost the economy .,00001000000000000000,00001000000000000000
people,bounce, The ex - boxer 's job is to bounce people who want to enter this private club .,00000000100000000000,00000000100000000000
government,bow, The government bowed to the military pressure .,00100000000000000000,00100000000000000000
life,breathe, He breathed new life into the old house .,01000000000000000000,01000000000000000000
fabric,breathe, Our new synthetic fabric breathes and is perfect for summer wear .,00001000000000000000,00001000000000000000
suspense,build, Suspense was building right from the beginning of the opera .,00100000000000000000,00100000000000000000
nation,build, build a modern nation .,10000000000000000000,10000000000000000000
defense,build, build a defense on nothing but the accused person 's reputation .,10000000000000000000,10000000000000000000
story,buy, I ca n't buy this story .,00010000000000000000,00010000000000000000
office,buzz, This office is buzzing with activity .,00010000000000000000,00010000000000000000
servant,buzz, he buzzed the servant .,01000000000000000000,01000000000000000000
essence,capture, capture the essence of Spring   .,10000000000000000000,10000000000000000000
heart,capture, She captured all the men 's hearts .,01000000000000000000,01000000000000000000
doorknob,claw, She clawed the doorknob .,01000000000000000000,01000000000000000000
rival,claw, The politician clawed his rival .,00100000000000000000,00100000000000000000
sale,climb, Sales were climbing after prices were lowered .,00100000000000000000,00100000000000000000
price,climb, Sales were climbing after prices were lowered .,00100000000000000000,00100000000000000000
path,climb, The path climbed all the way to the top of the hill .,00100000000000000000,00100000000000000000
horse,clog, horses were clogged until they were tamed .,00100000000000000000,00100000000000000000
market,clog, The market is being clogged by these operations .,00001000000000000000,00001000000000000000
mind,clog, Fear clogged her mind .,01000000000000000000,01000000000000000000
face,cloud, Their faces were clouded with sadness .,00010000000000000000,00010000000000000000
memory,cloud, The stroke clouded memories of her youth .,00100000000000000000,00100000000000000000
liquid,cloud, The chemical clouded the liquid to which it was added .,00100000000000000000,00100000000000000000
idea,color, His political ideas color his lectures .,00010000000000000000,00010000000000000000
disease,communicate, communicate a disease .,10000000000000000000,10000000000000000000
room,communicate, The rooms communicated .,00100000000000000000,00100000000000000000
