verbs,sentences,preds,true
absorb,"An Energy Department spokesman says the sulfur dioxide might be simultaneously recoverable through the use of powdered limestone , which tends to absorb the sulfur ",0100000000011011011000100000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
absorb,The yellow beta carotene pigment absorbs blue -LRB- not yellow -RRB- laser light ,0100000001110000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
absorb,"This time , the ground absorbed the shock waves enough to transfer her images to the metal in bas - relief ",1010110100101000000010000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
absorb,"'' Vitamins could be passed right out of the body without being absorbed , '' he says ",0010010100010000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
absorb,Mr. Gallas says he began looking into melanin about five years ago when he was working on solar energy and was looking for materials that absorb sunlight ,0100000110000000001010001000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
absorb,"The fatty deposits have a yellowish hue and therefore absorb more of the yellow laser energy than the surrounding , almost colorless artery wall ",0100000001000011000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
absorb,"Mr. Filisko says his fluids do n't rely on absorbed water , and perform better as temperatures rise ",0001100000000001000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
assault,"For example , he carefully steered clear of controversies such as New York 's Tawana Brawley case , where some rabble - rousing lawyers are charging that a young black woman was assaulted and raped by whites ",0000001000100101100000100010000000111000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
assault,Mr. Tyson has denied that he tried to kill himself and that he assaulted his wife ,0000110101001110000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
assault,"He was detained on June 23 , and for two weeks he was regularly assaulted by South African police ",0000011001000010110000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,One sure sign has reappeared to attest that the interests of the United States must be taking a turn for the good in El Salvador : The country is being attacked ,0000010100100010101000011001010000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"From the 14th century to Corregidor in 1942 , such forts had to be taken by storm before attacking ships could pass ",1000100011110001010010000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"Insects begin attacking the snags almost immediately after a fire , and the charred trunks are likely to be toppled by the wind ",0100100101000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"An Agence France Press dispatch on August 8 reported that an Afghan air force plane was shot down by a Pakistani F-16 while attacking Afghan refugee camps 30 kilometers inside Pakistan territory , near Miram Shah ",0000100101100101001000101011000010010000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"-- The other day , U.S. helicopters fired on Iranian gunboats that were preparing to attack a Panamanian ship near Farsi Island ",0010101000000010000001000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"Prince Norodom Sihanouk , the former Cambodian leader , said this week he was withdrawing from the resistance because the Khmer Rouge continues to attack his forces along the Thai - Cambodia border ",1011001111010001000011010100000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"In Greece , an official said the terrorists who attacked the liner in the Aegean Sea may have been pro - Iranian Arabs trying to hijack it ",1011100000000011000100001010000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,The incident occurred after an Aegis cruiser mistook the large passenger jet for an attacking F-14 fighter ,0001001100100101100000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,Phalanx can be overwhelmed when a ship is attacked by several missiles at once -LRB- the Stark was struck by two Exocets -RRB- ,0000000000100010000001100000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"The administration tried again in mid-1987 , suspending military and economic aid to Panama after rioters , led by some government officials , attacked the American Embassy in Panama City ",0101011000010000100100100100010000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,U.S. officials said evidence suggests that a Japanese terrorist arrested last month in New Jersey with homemade bombs was on his way to attack a target in New York City ,0010000010010101100000000101010000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,The ship had n't attacked U.S .- flag vessels or been involved in mine - laying ,0110000000000101000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"Here in Masaya , supporters of a group known as the Mothers of Political Prisoners were brutally attacked by turbas in a well - documented incident in March ",1001000011000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,Sparrows used to have a rep for selectively attacking yellow crocuses such as '' E.A ,0101010101011010000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,Tamil militants attacked and set fire to two Moslem fishing villages in eastern Sri Lanka ,0000010101001000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"Iranian gunboats attacked an Indian tanker in the Persian Gulf , setting the vessel ablaze and wounding at least one crew member , gulf - based shipping executives reported ",0001000000100000000001000000100000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"In northern Nicaragua , Honduran jets attacked a Sandinista military headquarters ",1101100011000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"Rioting Iranians attacked the Soviet Union 's Embassy in Tehran , accusing Moscow of supplying Iraq with missiles used in recent raids on Iran ",0100010100000011101000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,The PLO said it would attack Israeli targets to avenge Sunday 's killing of three guerrillas and Monday 's bombing of a ship intended to carry Palestinian deportees to Israel ,0011100001001100001110000001000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"In the Persian Gulf , Iran twice attacked a Norwegian tanker ",0000100000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"This expert also believes that Pyongyang might use helicopters it has bought from the West , which are identical to those used by the Seoul army , to attack student demonstrators ",1010111001001001000001001011000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,His antics once provoked an elderly ruling - party legislator to attack him with a cane ,0000101010001100000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,The view contradicts administration claims that Moscow knew it was attacking a non - military target ,0100101011000001000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"It is to this purpose that SDI laser technology can be uniquely directed , where moving targets can be attacked almost immediately after they are detected ",0000110100001100000000101000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"Here in Masaya , supporters of a group known as the Mothers of Political Prisoners were brutally attacked by turbas in a well - documented incident in March ",0001010001000000101000000100000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,Pakistani cheating could prompt Moscow to declare the accords void or to attack Afghan - resistance camps in Pakistan ,0001000001000100100000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"These Protestants retaliate by physically attacking Catholics , Mr. Donnelly says ",1000100100000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,These do n't protect anything and are n't designed to kill attacking guerrillas ,0001101011101000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"On Friday , Commander Abdul Haq 's troops attacked Kabul Airport with new Sacher incendiary rockets ",0010100000101000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"The best of show in painting , Oleg Stavrowsky 's 40-inch by 72-inch oil of a stagecoach being attacked by bandits , went for $ 14 , 000 ",1001001001010010000001100010000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"Preassembling attacking teams on a number of single bases , so that the loss of no one base could mess things up too badly , would help , although it would be a logistical nightmare ",1000001101000010010001101001010000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
besiege,"In 1347 , Mongols besieging the Black Sea port of Caffa began to sicken and die from the plague ",1010100000001000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
cool,"Zero makes cases , cabinets and cooling equipment for the electronics industry and industrial and consumer use ",0011100000110001100000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
