verbs,sentences,preds,true
attack,"Insects begin attacking the snags almost immediately after a fire , and the charred trunks are likely to be toppled by the wind ",0010000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
destroy,"And Mr. Gorbachev 's proposal to remove aircraft -- which easily can fly back to Central Europe during a crisis -- would be meaningless unless they are destroyed , Mr. Chalmers says ",0000000000001000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
dissolve,Some companies had also counted on being able to come up with anti - plaque toothpastes that actually kill the bacteria instead of simply dissolving it or scrubbing it away ,0000000000000000001000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
drag,"The government had a change of heart and threatened to drag him off the boat in mid - Baltic , but then relented ",0000000000100000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
drink,And it did n't help that law - enforcement officials have reported problems with 19- and 20-year - olds coming to Wyoming from neighboring states to drink ,0000000000000000000000000010000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
eat,"At the Houston Petroleum Club , industry officials could n't eat lunch of late without discussing speculation that Exxon was going to walk away with all of the Tenneco properties ",0000000000100000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
eat,Paulina and the old man go out to the laundry shed to eat their breakfasts ,0000000000001000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
eat,Spirits may be the only solace in a land where the average person earns $ 350 a year and can never expect to have enough to eat ,0000000000000000000000000010000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
eat,"He added that the hotel was '' safe enough for you , maybe , but you can understand my own misgivings about eating here . '",0000000000000000000000100000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
eat,"Still , they did n't go quite as far as one Himalayan bear -- it ate the camera ",0000000000000001000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
eat,"'' I tried to move and talk but that was impossible , '' recalled an Australian boy in 1973 , after he fell ill from eating puffer fish ",0000000000000000000000010000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
escape,A new extermination technique calls for pumping air heated by propane burners into insect - infested houses that have been covered with tarps to keep the heat from escaping ,0000001000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
evaporate,"The Nestle spokesman rebutted the anti - monopoly charge , noting that Perulac has only a 15 % share of the evaporated milk market ",0000000000000000000001000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
fix,"'' If you 're an engineer , it 's better to get out and run an air - conditioner repair company -- or fix kettles , '' a European diplomat says ",0000000000000000000000010000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
