sentence,verb,verb_idx,correct_label,prediction
"Based on the number of acres planted in the spring , the Agriculture Department estimated earlier this year that a normal yield of 121 bushels an acre would generate a harvest of 7.3 billion bushels ",plant,6,0,0
"Allen J. Krowe , 56 years old , leaves his job as executive vice president and a director of IBM to fill the positions at Texaco currently held by Richard G. Brinkman , who at 61 , will retire early ",fill,21,0,0
"Mr. Redford has assembled a great collection of faces , especially the geezers who look like they ' ve spent the past half - century drinking the same cup of coffee with the same old pals ",drink,25,0,0
"There were n't any American casualties reported , but a U.S. attack helicopter carrying two crew members was missing ",miss,18,0,0
"Mr. Thunberg of Ried Thunberg said the Fed has '' aggressively '' absorbed reserves over each of the past three days , creating some confusion about its intentions ",absorb,12,0,0
These grants are the public finance equivalent of a lottery for state and local governments that continually fix the odds in their favor of obtaining one ,fix,17,0,0
"Even more inadvertently hilarious is Alexander Godunov , the Soviet defector who used to dance for a living ",dance,14,0,0
"Sometimes your computer partner will land one , the terminal chirping away in an apparent imitation of a drowning bass ",drown,18,0,0
"In a letter sent yesterday to the German media , the terrorist group said Mr. Tietmeyer , who was unharmed in the attack , has been targeted because of his central role in sustaining the world 's '' imperialist '' financial system ",target,26,0,0
"In addition to the requirement of a warrant , the court 's ruling also struck down the department 's drug - testing program on the ground that the tests themselves do n't reliably measure intoxication at a particular time before their administration ",strike,14,0,0
Mr. Bush attacked the Massachusetts governor for vetoing a bill to require school teachers to lead pupils in the pledge of allegiance and for Massachusetts ' prisoner - furlough program ,attack,2,0,0
"Citibank has examined several Texas banks , but thus far has decided that it did n't have enough confidence in the short - term Texas outlook to take the plunge ",examine,2,0,0
"'' Back when I was his age , '' says oldtimer Mr. Van Cleve , pointing to a 13-year - old boy at his lunch table in Uvalde , '' I remember it rained once . '",rain,33,0,0
'' Moscow has been 80 % destroyed because Communists do n't like Russia . ',destroy,6,0,0
Next to it the firm planted a sign : '' Little things like this will never come between us . ',plant,5,0,0
"Still , the administration proposal is perceived as part of a broader rethinking about venture capital targeted explicitly at minority businesses ",target,16,0,0
"Before midnight , it had targeted the National Aeronautics and Space Administration Ames Research Center in California 's Silicon Valley , as well as the University of Pittsburgh and the Los Alamos National Laboratory in New Mexico ",target,5,0,0
"Field stone , generally rounder , is hard to come by because much is already in old stone walls , and few farmers are plowing new fields ",plow,24,0,0
