sentence,pos_seq,genre,preds,true
You lose the gift which the will would have made .,"['PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'DET', 'NOUN', 'VERB', 'VERB', 'VERB', 'PUNCT']",news,"0100000001000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000","0100000001000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000"
That money was invested as might be expected of the Tysons .,"['DET', 'NOUN', 'VERB', 'VERB', 'ADP', 'VERB', 'VERB', 'VERB', 'ADP', 'DET', 'PROPN', 'PUNCT']",news,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Except that the Tysons do n't gamble .,"['ADP', 'ADP', 'DET', 'PROPN', 'VERB', 'ADV', 'VERB', 'PUNCT']",news,00000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Ambulance workers on emergency work do deserve a much higher increase .,"['ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'VERB', 'DET', 'ADV', 'ADJ', 'NOUN', 'PUNCT']",news,00100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
He is right to pursue this line .,"['PRON', 'VERB', 'ADJ', 'PART', 'VERB', 'DET', 'NOUN', 'PUNCT']",news,00001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Luxury life awaits private jail inmates,"['PROPN', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'NOUN']",news,00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
What did Mr Wheeler make of that ?,"['NOUN', 'VERB', 'PROPN', 'PROPN', 'NOUN', 'ADP', 'DET', 'PUNCT']",news,00001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Cos if you 're looking at a two hundred capacity conference for er,"['NOUN', 'ADP', 'PRON', 'VERB', 'VERB', 'ADP', 'DET', 'NUM', 'NUM', 'NOUN', 'NOUN', 'ADP', 'INTJ']",conversation,00001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
sorted out .,"['VERB', 'PART', 'PUNCT']",conversation,11000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
get,['VERB'],conversation,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
