,sentence,correct_label,arg1,arg2,verb,prediction
0,"When she hears that prisoners sometimes carve their names into logs that float downriver , she grabs her child and runs with her to the river .",1,she,grabs,child,1
1,"The latest truce in the week-old battle , which has killed 188 and injured 534 , was arranged by Syrian President Assad and Iranian President Khamenei .",1,which,killed,188,1
2,"All agree that the state must diversify its industrial base to escape the recently detrimental reliance on oil , said Ron Jones , chairman of the New Orleans Business Council and president of Louisiana Coca Cola Bottling Ltd .",1,state,escape,base,1
3,`` It floods the area instead of having hot pinpoints of glaring light . '',1,it,floods,area,1
4,"Next month , A & P will roll out these jams and jellies , now sold only in New York , to its 986 stores in the U.S .",1,a,roll,jams,1
5,-- The justices refused to hear an antitrust appeal by actor Paul Newman and director George Roy Hill in a suit charging that MCA Inc. and its Universal City Studios Inc. unit conspired to fix the percentage of film revenue paid to artists .,1,suit,fix,percentage,1
6,"Indiana Rep. Andrew Jacobs , a Democrat who 's neutral in the presidential-nomination contest , says Mr. Gephardt reminds him of a time in his life when he had to eat a lot of dinners at a drive-in restaurant .",1,time,eat,lot,1
7,The result: Some car makers are cooling their hot rods .,1,makers,cooling,rods,1
8,"While Mr. Gorbachev preached togetherness yesterday , Romania was kicking Hungary 's ambassador out of the country .",1,romania,kicking,ambassador,1
9,"Mr. Martineau also says the tractors reflect another Russian approach to manufacturing: `` You could melt down one Belarus and make three American tractors with the amount of metal the Russians have put in it , '' he says .",1,you,melt,belarus,1
10,But there were stumbling blocks from the start .,1,there,stumbling,blocks,1
11,"`` A strong opening in platinum coupled with a weak dollar just grabbed gold by the horns and took it on up , '' he said .",1,opening,grabbed,gold,1
12,`` I 'm quite sure there was someone within the IBM structure that could have just reached in and fixed it . '',1,structure,fixed,it,1
13,"Nevertheless , they continue to pump money into the market .",1,they,pump,money,1
14,"During the past 18 months , the Houston-based unit of Texas Air Corp. absorbed several carriers , in the process inheriting a hodge-podge of different aircraft .",1,unit,absorbed,carriers,1
15,"`` I do n't think anyone liked the Nissan campaign , but they went out of their way not to knock it , '' says Eli Bloom , the New York GM dealer who sits on the selection committee . -LRB- Mr .",1,they,knock,it,1
16,"`` That remark -LRB- of the official -RRB- definitely cooled the heels of the bulls , '' said Paul Clohesy , chief dealer at Australia and New Zealand Banking Group Ltd. in New York .",1,remark,cooled,heels,1
17,"The subject is Oedipus 's death , and perhaps because death is the one thing that still fills us with awe , the excellence of this scene transmits a shiver of the tragedy 's original force .",1,that,fills,us,1
