verbs,sentences,preds,true
drag,"In the latter instance , a man dressed as Christ and dragging a cross was in the demonstration ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000010000000000000000000000000000000000000000000000000000000000000000000000
drag,"Public anger reached its zenith April 30 , 1982 , when angry mobs stopped three taxis bearing margis , dragged them from their cars , bludgeoned and poured acid on them and finally burned them to death ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000100000000000000000000000000000000000000000000000000000000000000
drink,You should drink a full eight ounces of water with your tablets ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010000000000000000000000000000000000000000000000000000000000000000000000000000000
drink,"In another , they pondered why an observer was '' touched '' by the sight of a woman who took a cup from a fountain , drank water from it and then rinsed it out ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000010000000000000000000000000000000000000000000000000000000
eat,"The Cincinnati Dancing Pigs Jug Band played '' Coney Island Washboard Roundelay '' and I ate cold noodle salad , fried wontons and a big RC ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000001000000000000000000000000000000000000000000000000000000000000000000
eat,"'' He ate and slept until he looked like he was going to break , '' recalls Kathleen Perry ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010000000000000000000000000000000000000000000000000000000000000000000000000000000
eat,You 'll probably want to eat a crab salad . ',0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000010000000000000000000000000000000000000000000000000000000000000000000000000000
eat,"I smoke too much , am constantly coughing , never eat , always sit around in a daze ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000100000000000000000000000000000000000000000000000000000000000000000000000
fill,Their melanin - producing system keeps the skin constantly filled with the dark pigment ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000001000000000000000000000000000000000000000000000000000000000000000000000000
fly,Sunworld had recently been operating as a charter airline flying 120 flights a month ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000001000000000000000000000000000000000000000000000000000000000000000000000000
fly,"With more carriers flying abroad , airlines are pressuring the FAA to allow them to use foreign repair stations to perform major maintenance work ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0001000000000000000000000000000000000000000000000000000000000000000000000000000000
fly,"Under a temporary restraining order entered early this month , Judge Parker barred Eastern from eliminating the jobs , but specifically permitted the company to cut its flying ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000001000000000000000000000000000000000000000000000000000000
fly,"And Mr. Gorbachev 's proposal to remove aircraft -- which easily can fly back to Central Europe during a crisis -- would be meaningless unless they are destroyed , Mr. Chalmers says ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000001000000000000000000000000000000000000000000000000000000000000000000000
fly,Eastern has made elaborate preparations to keep the airline flying with non - union workers ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000001000000000000000000000000000000000000000000000000000000000000000000000000
fly,"Orion , a contract carrier which formerly flew for United Parcel Service , had agreed to replace Eastern pilots if they followed the machinists on a walkout ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000100000000000000000000000000000000000000000000000000000000000000000000000000
fly,"In ground tests , parts keep fracturing and flying apart ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000010000000000000000000000000000000000000000000000000000000000000000000000000
grab,"At one point , the shark disappears , then roars up from the deep to snatch a big chunk of horsemeat on the surface , the way it might grab an unsuspecting sea lion ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000010000000000000000000000000000000000000000000000000000
kick,"'' I thought I did a good job and got her home , '' Dr. Gardner says , '' and they turn around and kick me in the teeth . '",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000001000000000000000000000000000000000000000000000000000000000
kick,"'' I ' ve been kicked everywhere , '' he says ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000010000000000000000000000000000000000000000000000000000000000000000000000000000
kill,Wind shear has contributed to at least five major airline accidents in the past 15 years in which more than 500 people have been killed ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000001000000000000000000000000000000000000000000000000000000000
kill,"Last month , Thiokol said it settled the last suit with the estates of the seven crew members killed in the Challenger ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000001000000000000000000000000000000000000000000000000000000000000000
kill,"Separately , a Soviet news agency said as many as 15 , 000 Soviet troops were killed in the 8 1 2-year war ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000100000000000000000000000000000000000000000000000000000000000000000
kill,"As Bismarck wrote more than a century ago : '' I , who prepare to go to war , kill thousands , the Christians in the name of God kill millions . '",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000010000000000000000000000000000000000000000000000000000
kill,"Indian troops in Sri Lanka killed 20 Tamil civilians after four soldiers died in an ambush by Tamil rebels , officials in Colombo said ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000010000000000000000000000000000000000000000000000000000000000000000000000000000
kill,"In November , North Korean agents blew up a Korean airliner en route to Seoul , killing all 115 people aboard ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000100000000000000000000000000000000000000000000000000000000000000000
kill,"More than 80 people were detained in the protests , in which an estimated 14 people were killed ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000010000000000000000000000000000000000000000000000000000000000000000
kill,The U.S. added North Korea to its list of terrorist states and announced other sanctions over the November bombing of a Korean Air Lines jet that killed 115 ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000010000000000000000000000000000000000000000000000000000000
lend,Capital is no problem ; banks and insurance companies are eager to lend money to potential buyers ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000001000000000000000000000000000000000000000000000000000000000000000000000
miss,"'' Ray Shaw is an exceptionally talented newsman and business executive and definitely will be missed , '' Mr. Phillips said ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000001000000000000000000000000000000000000000000000000000000000000000000
pump,"Thanks to further development of previously discovered reserves in Alaska and the Gulf of Mexico , BP America is one of the few North American oil producers that pumped more crude oil last year than in 1986 ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000100000000000000000000000000000000000000000000000000000
rain,One of their favorite songs has the line : '' It rains and rains Until the stones will break . ',0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000010000000000000000000000000000000000000000000000000000000000000000000000
