sentence,correct_label,label
"['Knowledge (""science of craft"", from Greek τέχνη, techne, ""art, skill, cunning of hand""; and -λογία, -logia) is the sum of techniques, skills, methods, and materials used in the production of goods or services or in the accomplishment of objectives, such as scientific investigation",0,0
Methods (e,0,0
g,0,0
" systems) applying technology by taking an input, changing it according to the system\'s use, and then producing an outcome are referred to as technology systems or technological systems",0,0
The prehistoric discovery of shaped stone tools followed by the discovery of how to control fire increased sources of food,0,0
The invention of the wheel helped humans to travel in and control their surroundings,0,0
", 'Seagate Technology Holdings plc, an Irish public limited liability (commonly referred to as Seagate), is an American data storage company",0,0
It was incorporated in 1978 as Shugart Technology and commenced development in 1979,0,0
" Since 2010, the company has been incorporated in Dublin, Ireland, with operational facilities in Fremont, California, United States",0,0
", 'A technology company (or tech company) is an electronics-based technology company, including, for example, business relating to digital electronics, software, and internet-related technologies, such as e-commerce services",0,0
", 'An academy of technology (also referred to as: technological university, technical university, university of technology, technological educational institute, technical college, polytechnic university or just polytechnic) is an institution of tertiary education (such as a university or college) that specializes in engineering, technology, applied science, and natural sciences",0,0
" The term technology comes from the Greek language techne, meaning art and craft, and the word logos, meaning word and speech",0,0
""", 'Information technology (IT) is the use of computers to create, process, store and exchange all kinds of electronic knowledge and information",0,0
IT is typically used within the realm of business operations as opposed to personal or entertainment technologies,0,0
IT is considered to be a manifestation of information and communications technology (ICT),0,0
" An information technology system (IT system) is generally an information system, a communications system, or, more specifically speaking, a computer system – including all materials, software, and peripheral equipment – operated by a limited group of IT users",0,0
"Scientists have been storing, retrieving, manipulating, and communicating information since the Sumerians in Mesopotamia developed writing in about 3000 BC",0,0
Leavitt and Thomas L,0,0
We shall call it information field (IT),0,0
"The term is commonly used as a designation for computers and computer networks, but it also encompasses other information distribution technologies such as television and telephones",0,0
"Based on the storage and processing technologies employed, it is possible to distinguish four distinct eras of IT development: pre-mechanical (3000 BC – 1450 AD), mechanical (1450–1840), electromechanical (1840–1940), and electronic (1940–present)",0,0
This analysis focuses on the most recent period (electronic),0,0
" When referred to with its predecessor, EdTech, it is often referring to the industry of companies that create educational technology",0,0
", 'Massachusetts Institute of Technology (MIT) is a private land-grant research community in Cambridge, Massachusetts",0,0
The institute has an urban structure that extends more than a mile (1,0,0
"6 km) alongside the Charles River, and encompasses a number of major off-campus institutions such as the MIT Lincoln Laboratory, the Bates Center, and the Haystack Observatory, as well as affiliated laboratories such as the Broad and Whitehead Institutes",0,0
" \nAs of June 2021, 97 Nobel winners, 26 Turing Award winners, and 8 Fields Medalists have been affiliated with MIT as alumni, faculty members, or researchers",0,0
" In addition, 58 National Medal of Science holders, 29 National Medals of Technology and Innovation recipients, 50 MacArthur Fellows, 80 Marshall Scholars, 3 Mitchell Scholars, 22 Schwarzman Scholars, 9 Knight-Hennessy Scholars,  41 astronauts, and 16 Chief Scientists of the U",0,0
S,0,0
Air Force have been affiliated with MIT,0,0
MIT is a constituent of the Association of American Universities (AAU),0,0
", 'Gigabyte computing (branded as GIGABYTE or sometimes GIGA-BYTE; formally GIGA-BYTE Technology Co",0,0
", Ltd",0,0
) is a Taiwanese inventor and distributor of computer hardware,0,0
\nGigabyte\'s principal business is motherboards,0,0
It shipped 4,0,0
"8 million customers in the first quarter of 2015, which allowed it to become the leading motherboard vendor",0,0
" Gigabyte also manufactures custom graphics processors and laptop computers (including thin and light laptops under its ""Aero"" sub-brand)",0,0
" In 2010, Gigabyte was ranked 17th in ""Taiwan\'s Top 20 Global markets"" by the Taiwan External Trade Development Council",0,0
"The business is publicly held and traded on the Taiwan Stock Exchange, stock ID number TWSE: 2376",0,0
", 'The Indian departments of Technology (IITs) are autonomous public technical universities located across India",0,0
" The establishments of Technology Act, 1961 lists twenty-three institutes",0,0
The commissioner of Education is the ex officio Chairperson of the IIT Council,0,0
" As of 2020, the total number of opportunities for undergraduate programs in all IITs is 16,053",0,0
", 'Micron Technology, Inc",0,0
" is an American producer of computer memory and computer data storage including dynamic random-access media, flash memory, and USB flash drives",0,0
" It is headquartered in Caldwell, Idaho",0,0
Its consumer appliances are marketed under the brands Crucial  and Ballistix,0,0
" Micron and Intel together created IM Flash Technologies, which produces NAND flash technologies",0,0
It owned property between 2006 and 2017,0,0
" The earliest, widespread description of nanotechnology referred to the particular technological goal of precisely manipulating atoms and molecules for fabrication of macroscale products, also now referred to as molecular nanotechnology",0,0
" A more generalized description of nanotechnology was subsequently established by the National Nanotechnology Initiative, which defined nanotechnology as the manipulation of matter with at least one dimension sized from 1 to 100 nanometers",0,0
" Nanotechnology may be able to create many new materials and devices with a vast range of applications, such as in nanomedicine, nanoelectronics, biomaterials energy production, and consumer products",0,1
", 'ON Technology was a software company in the United States",0,0
It was formed in 1987  by Mitch Kapor after his departure from Lotus Software,0,0
The original plan of the business was to build an object-oriented PC desktop environment providing a variety of applications,0,0
"\nON was acquired by Symantec on October 27, 2003",0,0
"\n\n\n== References ==', 'TCL Technology (originally an abbreviation for Telephone Communication Limited) is a Chinese multinational electronics company headquartered in Huizhou, Guangdong Province",0,0
" Founded as a state-owned enterprise, it designs, develops, manufactures and sells products including television sets, mobile phones, air conditioners, washing machines, refrigerators and small electrical appliances",0,0
" In 2010, it was the world\'s 25th-largest consumer electronics producer",0,0
"TCL comprises four listed companies: TCL Technology which is listed on the Shenzhen Stock Exchange, and TCL Electronics Holdings, Ltd",0,0
" (SEHK: 1070), TCL Communication Technology Holdings, Ltd",0,0
"(former code SEHK: 2618; delisted in 2016), China Display Optoelectronics Technology Holdings Ltd",0,0
(SEHK: 334) and Tonly Electronics Holdings Ltd,0,0
(SEHK: 1249) which are listed on the Hong Kong Stock Exchange,0,0
"On 7 February 2020, TCL Corporation changed its name to TCL Technology",0,0
", ""BOE Technology Group Co",0,0
", Ltd",0,0
", or Jingdongfang (Chinese: 京东方科技集团股份有限公司), is a Chinese electronic components producer founded in April 1993",0,0
" Its core businesses are interface devices, smart IoT systems and smart medicine and engineering integration",0,0
" BOE is one of the world's largest manufacturers of LCD, OLEDs and flexible displays",0,0
It corresponds to military camouflage for these parts of the electromagnetic spectrum (i,0,0
e,0,0
", multi-spectral camouflage)",0,0
Radiation-absorbent material was also tested and made to reduce or block radar signals that reflect off the surfaces of aircraft,0,0
" Such changes to shape and surface composition comprise stealth technology as currently used on the Northrop Grumman B-2 Spirit ""Stealth Bomber""",0,0
This concept was first explored through camouflage to make an object\'s appearance blend into the visual background,0,0
" As the potency of detection and interception technologies (radar, infrared search and tracking, surface-to-air missiles, etc",0,0
Some military uniforms are treated with chemicals to reduce their infrared signature,0,0
", 'Tyler Technologies, Inc",0,0
" Tyler Technologies has offices in 17 states and one in Toronto, Ontario, Canada",0,0
", 'Anna University is a public state university located in Tamil Nadu, India",0,0
The main campus is in Chennai,0,0
It was originally established on 4 September 1978 and was named after C,0,0
N,0,0
" Annadurai, the former Chief Minister of Tamil Nadu",0,0
