verbs,sentences,preds,true
die,"Immune - suppressed children often die of illnesses like chicken pox , meningitis , measles and pneumonia ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000010000000000000000000000000000000000000000000000000000000000000000000000000000
die,And millions of animals will die ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000010000000000000000000000000000000000000000000000000000000000000000000000000000
drag,"In the latter instance , a man dressed as Christ and dragging a cross was in the demonstration ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000010000000000000000000000000000000000000000000000000000000000000000000000
drag,"Public anger reached its zenith April 30 , 1982 , when angry mobs stopped three taxis bearing margis , dragged them from their cars , bludgeoned and poured acid on them and finally burned them to death ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000100000000000000000000000000000000000000000000000000000000000000
drink,"The upper classes do not take food or water from them nor sit , eat or drink with them ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000100000000000000000000000000000000000000000000000000000000000000000
drink,"The trick is that it is midnight , and the ban on eating , smoking , having sex and even drinking water applies only to the daylight hours ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000010000000000000000000000000000000000000000000000000000000000000
drink,"'' I stayed home and drank for two years after that , '' he notes sadly ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000010000000000000000000000000000000000000000000000000000000000000000000000000000
drink,"And true to German tradition , the club has its own Stammtisch , a table at a local beer hall where club members gather once a week to drink and gab ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000100000000000000000000000000000000000000000000000000000
drink,You should drink a full eight ounces of water with your tablets ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010000000000000000000000000000000000000000000000000000000000000000000000000000000
drink,"'' I stayed home and drank for two years after that , '' he notes sadly ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000010000000000000000000000000000000000000000000000000000000000000000000000000000
eat,"The Cincinnati Dancing Pigs Jug Band played '' Coney Island Washboard Roundelay '' and I ate cold noodle salad , fried wontons and a big RC ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000001000000000000000000000000000000000000000000000000000000000000000000
eat,You 'll probably want to eat a crab salad . ',0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000010000000000000000000000000000000000000000000000000000000000000000000000000000
eat,"Another regular , bundled in a brown cape , his feet wrapped in cloth , was seen touching all the bread in the basket '' hoping no one else will eat it , '' says Mrs. Howell ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000001000000000000000000000000000000000000000000000000000
eat,"Mr. Hudson hears that the Chinese eat the things , and someone 's looking into it ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000001000000000000000000000000000000000000000000000000000000000000000000000000000
eat,"Thierry Liebaut , director of development for a French media group , says if he had to pay top price for it in a restaurant , '' I would make the chef eat the tubes . '",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000010000000000000000000000000000000000000000000000000
eat,"I smoke too much , am constantly coughing , never eat , always sit around in a daze ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000100000000000000000000000000000000000000000000000000000000000000000000000
eat,"Here , they can eat gourmet kosher food and swim at a beach that is partitioned with a curtain -- one side for men , the other for women ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000100000000000000000000000000000000000000000000000000000000000000000000000000000
eat,The Pac Man defense is named after the video game in which characters try to eat other characters before they get eaten themselves ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000001000000000000000000000000000000000000000000000000000000000000
fill,"Mr. Cossa 's grain bin may be filling up , but just last month another 100 peasants -- looking for food and security -- moved into the village to escape the fighting in the countryside ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000100000000000000000000000000000000000000000000000000000000000000000000000000
fix,"So , a few months ago he paid the equivalent of about $ 800 to get his nose fixed ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000001000000000000000000000000000000000000000000000000000000000000000
fly,Mr. Tyson was in London on business and had to fly back this weekend ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000100000000000000000000000000000000000000000000000000000000000000000000000
fly,"With more carriers flying abroad , airlines are pressuring the FAA to allow them to use foreign repair stations to perform major maintenance work ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0001000000000000000000000000000000000000000000000000000000000000000000000000000000
fly,"Under a temporary restraining order entered early this month , Judge Parker barred Eastern from eliminating the jobs , but specifically permitted the company to cut its flying ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000001000000000000000000000000000000000000000000000000000000
fly,"Unfortunately , '' Phantasm II '' also concerns a flying metal ball with speed - drill attachments , which affixes itself to one 's forehead and then drains the brain ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000001000000000000000000000000000000000000000000000000000000000000000000000000
fly,Eastern has made elaborate preparations to keep the airline flying with non - union workers ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000001000000000000000000000000000000000000000000000000000000000000000000000000
fly,"Orion , a contract carrier which formerly flew for United Parcel Service , had agreed to replace Eastern pilots if they followed the machinists on a walkout ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000100000000000000000000000000000000000000000000000000000000000000000000000000
fly,"In ground tests , parts keep fracturing and flying apart ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000010000000000000000000000000000000000000000000000000000000000000000000000000
grab,"When she hears that prisoners sometimes carve their names into logs that float downriver , she grabs her child and runs with her to the river ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000100000000000000000000000000000000000000000000000000000000000000000
kill,Wind shear has contributed to at least five major airline accidents in the past 15 years in which more than 500 people have been killed ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000001000000000000000000000000000000000000000000000000000000000
kill,"The storm killed about 100 people on land , and left more than 100 , 000 homeless ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010000000000000000000000000000000000000000000000000000000000000000000000000000000
kill,Mr. Brooks tape - recorded one of the men present at the meeting saying that he believes Indians ritualistically kill and mutilate one another ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000100000000000000000000000000000000000000000000000000000000000000
kill,"The spokesman said , however , that the plane was transmitting an identifying signal usually associated with civilian aircraft when a U.S. cruiser fired two missiles and killed all 290 aboard ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000001000000000000000000000000000000000000000000000000000000
kill,"Separately , a Soviet news agency said as many as 15 , 000 Soviet troops were killed in the 8 1 2-year war ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000100000000000000000000000000000000000000000000000000000000000000000
kill,"As Bismarck wrote more than a century ago : '' I , who prepare to go to war , kill thousands , the Christians in the name of God kill millions . '",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000010000000000000000000000000000000000000000000000000000
kill,"Julian Pierce , a Lumbee Indian running for Superior Court judge in Robeson County , was killed Saturday ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000100000000000000000000000000000000000000000000000000000000000000000
kill,'' Does somebody have to get hurt -- or killed ? ',0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000001000000000000000000000000000000000000000000000000000000000000000000000000
kill,"The federal government and Morton Thiokol Inc. bought annuities totaling $ 7.7 million to settle legal claims by the survivors of four of the astronauts killed in the Challenger disaster , documents showed ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000100000000000000000000000000000000000000000000000000000000
kill,"Iran retaliated by firing two missiles that struck Baghdad , killing or injuring an unspecified number of people ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000100000000000000000000000000000000000000000000000000000000000000000000000
kill,"Indian troops in Sri Lanka killed 20 Tamil civilians after four soldiers died in an ambush by Tamil rebels , officials in Colombo said ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000010000000000000000000000000000000000000000000000000000000000000000000000000000
kill,Sixteen people were killed in the crash ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0001000000000000000000000000000000000000000000000000000000000000000000000000000000
kill,"Israel deported eight Palestinians to Lebanon and ordered the expulsion of 12 others , including six from the West Bank village where an Israeli teen - ager and two Palestinian youths were killed last week ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000010000000000000000000000000000000000000000000000000
kill,About 170 people were killed in Petropolis two weeks ago ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000100000000000000000000000000000000000000000000000000000000000000000000000000000
kill,"More than 80 people were detained in the protests , in which an estimated 14 people were killed ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000010000000000000000000000000000000000000000000000000000000000000000
kill,West German police are seeking a West Berlin woman working for Palestinian terrorists in connection with a 1986 discotheque bombing that killed two U.S. soldiers ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000001000000000000000000000000000000000000000000000000000000000000
kill,"And each , according to lawsuits filed in connection with the accidents , was injured or killed because those belts did not provide the safety that auto makers should have been giving to rear - seat passengers ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000100000000000000000000000000000000000000000000000000000000000000000
kill,"Separately , a Kurdish group claimed responsibility for the downing of a West German airliner in Turkey Saturday in which 16 were killed ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000100000000000000000000000000000000000000000000000000000000000
knock,"And most of the jobs will go to candidates sought out by search firms , not those knocking on headhunter doors ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000010000000000000000000000000000000000000000000000000000000000000000
lend,Capital is no problem ; banks and insurance companies are eager to lend money to potential buyers ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000001000000000000000000000000000000000000000000000000000000000000000000000
miss,"'' Ray Shaw is an exceptionally talented newsman and business executive and definitely will be missed , '' Mr. Phillips said ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000001000000000000000000000000000000000000000000000000000000000000000000
play,Publisher Thomas Valentino complains BMI paid him just $ 12 when a piece he handled was played on the nationally syndicated program '' Lifestyles of the Rich and Famous . ',0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000100000000000000000000000000000000000000000000000000000000000000000
play,"'' Just girls play with Barbie dolls and just boys play with GI Joe , '' she complains ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000100000000000000000000000000000000000000000000000000000000000000000000000
play,Karen Stern has played the harp surrounded by ice sculptures at a restaurant and as part of the display for a three - foot - high cake at a pastry competition ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0001000000000000000000000000000000000000000000000000000000000000000000000000000000
pump,"Wolverine also said the Wyoming well is being pumped at a rate of 255 barrels of oil a day from a depth of 7 , 260 feet ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000010000000000000000000000000000000000000000000000000000000000000000000000000
rain,"It has rained only an inch and a half since January , and most of that came in sprinkles that quickly sizzled back into the air as soon as they hit the burning ground ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010000000000000000000000000000000000000000000000000000000000000000000000000000000
rain,"And , he says ominously , there is always the problem of what to do if the Army diverts water into the rivers and it starts to rain ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000001000000000000000000000000000000000000000000000000000000
rest,"But while contacts between the two sides continued , no talks occurred over the weekend , as senior officials of both groups rested after two weeks of grueling work ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000100000000000000000000000000000000000000000000000000000000000
rest,"Efforts to improve on - board bedding are aimed not at passengers but at pilots and cabin staff , who are supposed to get a chance to rest after working a certain number of hours ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000001000000000000000000000000000000000000000000000000000000
rest,Next to it rests a wooden face carving he found in a nearby cemetery ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0001000000000000000000000000000000000000000000000000000000000000000000000000000000
rest,"In that first expedition and in a follow - up a year later , he and his scientific crew shot thousands of still photos and made hours of videotape of the Titanic 's final resting place ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000001000000000000000000000000000000000000000000000000000000000000000
roll,When he tries a curve he ca n't resist rolling his eyes skyward in open homage to the L.A. Dodgers ' Fernando Valenzuela ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000001000000000000000000000000000000000000000000000000000000000000000000000000
sleep,"On a work visit to a small town , she elected to spend the night at the home of a friend 's father rather than sleep on the floor , commune - style , with her colleagues ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000100000000000000000000000000000000000000000000000000000000
sleep,Strike two is when I ca n't sleep ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000100000000000000000000000000000000000000000000000000000000000000000000000000
sleep,"Now he relies on a rather uncomfortable machine to force air down his trachea , but he is sleeping better than ever , and so is Mrs. Ponce ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000001000000000000000000000000000000000000000000000000000000000000000
sleep,"'' Last night I went to sleep in Detroit City , '' Bobby Bare crooned in a 1963 song celebrating this migration , '' and I dreamed about the cotton fields back home . '",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000001000000000000000000000000000000000000000000000000000000000000000000000000000
sleep,"One broker , whose business failed after the crash , began abusing drugs -- mainly sleeping pills -- and contemplated divorce and suicide , says Mari Terzaghi , a clinical psychologist who treats many Wall Street professionals ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000001000000000000000000000000000000000000000000000000000000000000000000
sleep,"As a child , the 28-year - old Mr. Hellman spent three years sleeping in an underground bunker as rockets screamed overhead ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000100000000000000000000000000000000000000000000000000000000000000000000
sleep,"He can no longer sleep , he says , nor even concentrate long enough to take in a newspaper article without reading it several times ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000100000000000000000000000000000000000000000000000000000000000000000000000000000
sleep,"One broker , whose business failed after the crash , began abusing drugs -- mainly sleeping pills -- and contemplated divorce and suicide , says Mari Terzaghi , a clinical psychologist who treats many Wall Street professionals ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000001000000000000000000000000000000000000000000000000000000000000000000
sleep,"The Washington Redskins ' Joe Gibbs is one of those football coaches who sleeps in his office , so he is n't always up on current events ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000100000000000000000000000000000000000000000000000000000000000000000000
sleep,'' One night he was walking by at 2 or 3 in the morning -- because he did n't sleep -- and he noticed that one of the palm trees had died ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000100000000000000000000000000000000000000000000000000000000000000
step,"But his uncle tells the story : When the family arrived , the boy went out exploring near the abandoned base and stepped on a mine ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000100000000000000000000000000000000000000000000000000000000000
stick,"When mixed with the blood of infected people , CBre3 sticks to the antibodies , causing a visually observable reaction ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000100000000000000000000000000000000000000000000000000000000000000000000000
strike,"Donald Kessler , a project scientist at NASA 's Johnson Space Center , told an international conference on space pollution that a particle could strike and damage a spacecraft ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000001000000000000000000000000000000000000000000000000000000000
strike,The black plague will have struck ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000010000000000000000000000000000000000000000000000000000000000000000000000000000
