verbs,sentences,preds,true
dance,"Charles Jude , Mr. Nureyev 's partner , danced with a youthful resilience that reflected unfavorably on the latter 's growing infirmity ",0000000010000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
eat,"At the Houston Petroleum Club , industry officials could n't eat lunch of late without discussing speculation that Exxon was going to walk away with all of the Tenneco properties ",0000000000100000000000100000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
eat,Plus a man who once ate an entire plane piece by piece ,0000010000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
escape,"In 1981 , he and his second wife were able to escape Cuba by joining a group tour of Czechoslovakia ",0000000000010000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
escape,The kinky Keynesians who devised it will be lucky to escape across the Potomac with their pie charts ,0000000000100000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
examine,"By filing a complaint , the citizen forces a government investigation , because the Justice Department is required to examine each False Claims suit ",0000000000000000000100000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
examine,They examined the death certificates of all children who were killed when hit by a car in Washington state between 1979 and 1983 ,0000000000100000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
fill,"Department stores nationwide are cutting back on apparel from such designers as Calvin Klein , Ralph Lauren and Liz Claiborne and instead filling racks with store brands ",0000000000000000000000100000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
fill,"Johnson & Johnson , caught off guard by the sudden surge in demand , says it is several weeks behind filling orders ",0000000000000000000010000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
fill,The company has n't filled the board vacancies ,0000100000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
fill,I found that the journalists were delighted to find a young person interested enough in their trade to come in and go through the press clippings in those fascinating metal drawers that filled the morgue ,0000000000000000000000000000000010000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
fix,"'' If you 're an engineer , it 's better to get out and run an air - conditioner repair company -- or fix kettles , '' a European diplomat says ",0000000000000000000000010000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
fix,"Automatic transmissions of all makes are sometimes mis - shifted by careless drivers , it says , adding that its later models were n't fixed , just refined ",0000000000000000000000001000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
fix,"Brokerage rates are fixed by the finance ministry , so discount brokerage is n't possible , unlike London where the fixed commissions were abolished in 1986 ",0001000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
fix,"Sir Nicholas , who presided over many changes at the exchange , helped lay the foundation for the '' Big Bang '' deregulation of Britain 's securities markets by agreeing to end fixed commissions and other rules ",0000000000000100000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
fix,The suit had asserted that Thiokol was wrong in telling the National Aeronautics and Space Administration that the rocket defect could be fixed ,0000000000000000000000100000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
fix,"Medserv also signed a $ 10 million licensing agreement to provide equipment , training and raw materials for a dental - technology facility that will be able to produce enough fillings to fix 50 million Soviet cavities ",0000000000000000000000000000000010000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
fix,She demanded that he send an engineer to fix it ,0000000010000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
fix,"As the Army pressed Oshkosh to fix the trucks , says Col . Ronald Cundrick , an Army lawyer , '' we had them stacked all over the place . '",0000001000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
flow,"To hold the property - tax rate low , Addison never built a system to process the sewage flowing from its many developments ",0000000000000000001000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
fly,"When the U.S. expanded its gulf fleet a year ago to protect Kuwaiti tankers flying the U.S. flag , it left little doubt that it was siding with Iraq and the other Arab nations against Iran ",0000000000000010000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
kick,"Mr. Ketelsen said yesterday that said their interest is greater than the company expected , but that '' we may have people kicking tires . '",0000000000000000000000100000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
kill,"In a Batman comic book hitting newsstands next week , DC Comics Inc. is killing off one of its oldest characters , the younger half of the Dynamic Duo ",0000000000000010000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
kill,"Mr. Weiss suggests that the new approach , once developed , could be used in combination with CD4 : The CD4 would handle the free - floating viruses , while the new drug would kill infected cells ",0000000000000000000000000000000000100000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
melt,Mr. Phillips said the bars would '' melt for about half '' of their auction price ,0000000100000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
miss,I 'd miss it if I did n't play ,0000000010000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
miss,"'' That does n't stop us from missing Brian , of course . '",0000000100000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
miss,"Among the monographic presentations , one ought not to miss Jacobo Borges 's virtuosic and highly charged paintings at the Venezuelan pavilion and Janez Bernik 's powerfully expressionistic paintings at the Yugoslavian pavilion ",0000000001000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
plant,The downturn quickly steamrolled on conjecture that the big rise in soybean futures prices in the past two weeks might motivate some farmers to plant more soybeans ,0001000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
plow,"Morally repugnant and economically absurd , the scheme would knock over homes and churches , plow up cemeteries and herd the residents into '' urban agro - industrial complexes . '",0000000001000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
pour,"They are pouring lots of free drinks , especially champagne and liqueurs , at art events in Los Angeles and New York ",0010000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
rain,"For one thing , it started raining again in mid - July ",0000001000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
rain,"'' Back when I was his age , '' says oldtimer Mr. Van Cleve , pointing to a 13-year - old boy at his lunch table in Uvalde , '' I remember it rained once . '",0000000000000000000000000000000001000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
rain,"It rained hard Saturday night along the Gulf Coast , and on Sunday morning the infield at McKechnie Field here was so wet that grounds crewmen were using plastic bottles to scoop up the standing water ",0100000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
ride,"And now , you are crammed into the Kwik Kopy bus , riding from Houston Intercontinental Airport to an isolated campus in the woods near Cyprus , Texas ",0000010000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
ride,"'' Also , we have to kick harder , because our legs ride lower in the water than freestylers ' do ",0000001000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
roll,Mr. Hawking compares all this to roulette : '' At high energies -LRB- when the wheel is spun quickly -RRB- the ball behaves in essentially only one way -- it rolls round and round ,0000000000000000000000000000001000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
roll,"For a time , the OSHA news releases rolled off the presses with regularity ",0000000010000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
