sentence,correct_label,prediction
"El Ayuntamiento de México, abundando en las ideas que predominaban en España, respecto a desconocer la autoridad emanada del   por Napoleón, invitó al Virrey, a través de los licenciados Azcárate y Primo de Verdad, a que reuniera a los delegados de los ayuntamientos y que se formara un Congreso a la manera de la Cortes Españolas.",1,0
"No   que un colectivo determinado, con la excusa de representar a un 16% de los trabajadores, o de representar lo que ellos llaman el mundo de la cultura, se financie con nuestro dinero para hacerle el juego sucio a la izquierda que recoge los beneficios.",1,0
"De la misma forma Ambrosio Ramos López, destacó que la  tomada por las  mexicanas le causará graves problemas, ya que ellos son personas procedentes de Guatemala, que vienen a esta ciudad a trabajar para ayudar a los suyos, pero sin la venta del cigarro, no tendrá ganancias y no podrá enviar dinero a su familia.",1,0
Los resultados electorales de este año debilitarán al presidente y su partido  a las  del 2006,1,0
"Ante cerca de 300 productores y agroindustriales del campo jalisciense, subrayó: Tenemos siempre que hablarnos con verdades y una verdad, por ejemplo, es que la producción y la productividad agropecuaria y pesquera se ha venido elevando en nuestro país, al mismo tiempo que en el campo está llegando tecnología de punta que nos permite ser mucho más competitivos; sin embargo, no podemos dejar de reconocer que la mayor desigualdad y la mayor pobreza y donde más injustamente se  la  es en el sector rural.",1,0
El e-Gobierno se ha constituido como una importante herramienta para la  del .,1,0
"Prometió no quebrar la “neutralidad de red” pero, según publica ‘The Wall Street Journal’, negocia para crear una web propia que terminaría perjudicando a los consumidores y a todos los que crean y distribuyen contenidos Todos los intentos por reservar canales de tráfico exclusivos han fracasado La compañía ha publicado un desmentido en un blog oficial Google acaba de resucitar uno de los fantasmas más temidos por los internautas, después de la censura y de las sociedades de gestión de derechos de propiedad intelectual: la  de una red “para ”.",1,0
"Presencia Ciudadana está promoviendo dos iniciativas para que en la  de las campañas a la  de la República y a la Jefatura del Gobierno del DF los grupos e individuos representantes de la sociedad civil (academia, organizaciones sociales, grupos de vecinos, etc.) tengamos una incidencia real en las propuestas electorales, en los programas de gobierno y en las políticas públicas de los dos niveles de gobierno.",1,0
"De acuerdo con Carlos Llano (1994), son diez los signos que caracterizan la gestión de empresas dentro del nuevo ambiente de los negocios en el plano internacional, y sobre los cuales las organizaciones a todos los niveles -mundial, nacional y local- han de construir las estrategias gerenciales que les permitan mantener sus procesos de acumulación, reproducción y  de .",1,0
"Sin mas por el momento espero que sigan asi, con esa mentalidad mediocre y se sientas satisfechos por lo que les muestra y da nuestras grandes autoridades san juanenses de igual manera con el excelente gobierno que desempeño nuestro super presidente jorge rivadeneyra!!! sigan votando, sigan llenando las  de los  con mas dinero!! Por un mexico sin gobierno, por un mexico sin violencia, por un mexico sin medios de comunicacion amarillistas vota PAN, PRI, PRD JAJA!!! NO SE ENGANCHEN TENGAN Y HAGAN SU PROPIO CRITERIO!! YA BASTA!!!",1,0
"En 1786, en el  , se constituye en cabecera de intendencia; en el plano económico, indicadores del despegue alcanzado son: la creación de un consulado independiente del de México (1795); la habilitación del puerto de San Blas para el comercio internacional, y el funcionamiento de una casa de moneda (1811).",1,0
a consejero presidente por transferencia de votos,1,0
"¿Cual es tu sueño? Un carro, una casa, un yate, déjame decirte eso esta bien, pero también te puedo decir, que si ha usted poco le importa las cosas de Dios, a Dios poco le importara tu situación, si tu no tienes tiempo para Dios, entonces tendrás tiempo para  la , la ruina, la miseria, y las enfermedades. 5to) Paso, Que guardes mis mandamientos y estatutos.",1,0
"El domingo pasado, López Obrador insistió, en el debate con los otros tres candidatos presidenciales, en la propuesta de reducir en 300 mil millones de pesos el gasto del gobierno a partir de bajar a la mitad el sueldo de la  .",1,0
"“Felipe  las  al prometer llevar al PAN a sus raíces y ser un agente de cambio más agresivo, es decir más Fox que Fox…",1,0
Un  de la Secretaría de Seguridad Pública del .,1,0
"La sesión solemne de la LXVII Legislatura del Congreso Local, el Primer Mandatario expresó que los mexicanos estamos trabajando para avanzar hacia una nueva etapa en la que la recuperación económica se traduzca en un crecimiento vigoroso y sostenido, que genere los empleos y sustente una política social que  eficazmente la  y la marginalidad.",1,0
"Por lo tanto, el CETYS Universidad promueve sistemáticamente: La formación del carácter: Fomentar en el alumno la asimilación de  de  y la formación de hábitos encaminados a lograr su realización como persona, por el uso adecuado de su libertad y el funcionamiento armónico y verdaderamente humano de la Comunidad Social.",1,0
"Pero creo que  de  cada dos por tres, solo nos llevaría al caos.",1,0
"Un tanto  de la situación nacional y de la  de ideas para cambiarla, fue en pos de sí y viajó a París en el año de 1914 con un cargo diplomático.",1,0
"Contamos en nuestro taller de confecciones con la fabricación de guantes para ceremonia o desfiles, para el frío, para levantamiento de pesas, para los practicantes de golf y porteros en el cual hemos puesto como en todo lo que fabricamos, nuestro mayor esfuerzo tratando de  satisfactoriamente los  de nuestros clientes con el fin de de poder atenderlos en cualquier cantidad que soliciten, en especial en los guantes blancos de 100% algodón para desfiles y ceremonias.",1,0
"Para mi Rajoy es un ser como todos los de mas, que os pensabais que el pp con Rajoy salbaria el país, pensarlo muy bien los políticos son como las marionetas  movidos por  de los banqueros y del dinero si no os dais cuenta, seguir votandoles que ya veis lo que se consigue, mientras no se cambie la constitución y los 17 gobiernos el Llamado café para todos, el barco no puede mas, pues la vía de agua y el lastre que tenemos que soportar, ara que no Lleguemos a buen puerto, bueno PSOE y PP van de la mano para fastidiar al pueblo, y los que vengan ara lo mismo, y si teneis memoria hace 30 años hasta a qui que a pasado siempre lo mismo.",1,0
"Alberto Cárdenas Jiménez,   del Estado de Jalisco, entregó al Congreso del Estado, en sesión solemne, su segundo informe de Gobierno.",1,0
