sentence,verb,verb_idx,correct_label,prediction
The virus attacked Argonne National Laboratory outside Chicago starting at 11:54 p.m. EST Wednesday and throughout the night ,attack,2,1,0
"Wells Rich will handle corporate advertising and '' market image and solutions advertising , '' targeted mainly at other businesses ",target,15,1,0
"He code - names companies targeted for possible acquisition with B - words , like batman , bellini -LRB- '' a wonderful combination of champagne and peach juice '' -RRB- and baccarat -LRB- the gambling game -RRB- simply because '' it struck me as an interesting strategem . '",target,5,1,0
"Finding such a fecund gold field came as a surprise to Reynolds , which stumbled across the precious metal when it was looking for bauxite , a claylike substance that holds alumina , the basic ingredient in aluminum ingot ",stumble,14,1,0
"Mr. Cossa 's grain bin may be filling up , but just last month another 100 peasants -- looking for food and security -- moved into the village to escape the fighting in the countryside ",fill,7,1,0
"They never say excuse me , '' says Jacqueline Yun , a crop - haired Korean - American , as she drags on a cigarette ",drag,21,1,0
"'' We do n't know which he painted first , the deformity or the sweep of her flowing hair , '' he says firmly ",flow,17,1,0
"Mr. Groner touches down at the Orlando airport at 5:54 a.m . , and a dumpster - size container carrying our package is rolled onto a truck bound for a sorting center in Longwood , Fla ",roll,23,1,0
"In the latter instance , a man dressed as Christ and dragging a cross was in the demonstration ",drag,11,1,0
"Meanwhile , law - enforcement officials said that investigators are examining the fierce competition that developed between military contractors over a $ 168.9 million contract to build a prototype surveillance blimp for the Navy ",examine,10,1,0
"An example : Last fall , Joseph Biden 's campaign was destroyed after a leaked videotape showed similarities between his speech and one given by British Labor Party leader Neil Kinnock ",destroy,11,1,0
