verbs,sentences,preds,true
absorb,"As Eliot wrote : '' In a warm haze , the sultry light is absorbed , not refracted , by grey stone . . . . '' and flowers do indeed '' sleep in empty silence . '","0000000000000000000000000000010010000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
absorb,"New Pig Corp . , Tipton , Pa . , offers a hot - dog - shaped sponge that absorbs polluting liquids around factory machines ","0000000000000000001100000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
assault,"Last year , the NRA ran a newspaper ad featuring a harrowing photo of a frightened woman and asserting that a 20-year - old American woman has a 72 % chance of being raped , robbed or assaulted in her lifetime ","0100000000000000000100000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
assault,"Mr. Guez , of Old Westbury , N.Y . , also is currently under indictment and awaiting trial for allegedly assaulting a deputy U.S. marshal who tried to seize Sasson records last year at the posh $ 5.5 million Manhattan townhouse where Mr. Guez once resided ","0000000000000000001000000000000010000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
attack,"They point out that three members of Abu Nidal 's organization are in jail in Greece on separate charges of attacking a synagogue in Rome , weapons smuggling , plotting to assassinate the Jordanian charge d'affairs in Greece , and possessing weapons in prison ","0001000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
attack,The Sandinistas have now offered reasons for attacking and arresting anti - government demonstrators Sunday -LRB- '' Somocista Bands Invade Nandaime '' -RRB- ; for closing Radio Catolica -LRB- '' lack of respect for constitutional order '' -RRB- ; for arresting a Conservative Party leader -LRB- '' the principal instigator '' -RRB- ,"0000001000000000000000001000000001100
00100000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
attack,"American officials have concluded that the Kuwaiti hijacking is the work of a Lebanese Shiite terrorist named Imad Mugniyah who has been trying for more than four years to free his wife 's brother from prison in Kuwait , where he was convicted in 1984 of building a bomb used to attack the U.S. Embassy ","0000100000000000000000010000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
attack,"Iran said its jets bombarded an Iraqi military base and oil refinery in Baghdad , and Iraq said its forces attacked 10 Iranian towns ","0000000010000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
attack,"None of the Democratic leadership in the House or Senate was notified about the move , unlike when the U.S. ordered troops into Grenada in 1983 or last October when U.S. forces in the Persian Gulf attacked an oil platform that had been converted to a military facility ","0000000000000000000000100000000000000
00010000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
attack,"Tamil rebels attacked a village in eastern Sri Lanka , killing at least 16 people in the assault on homes of the majority Sinhalese ","0000101000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
attack,"As the recent Ikle - Wohlstetter report , '' Discriminate Deterrence '' -LRB- the source of the nearby maps -RRB- , to President Reagan makes clear , it 's far more likely that the Soviets would attack first on the more vulnerable fringes of the alliance , perhaps in the Persian Gulf or Norway ","0000000000000000000000000000000010000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
attack,"Because a commitment to hold open the 74.4 miles of supply road to Khost from Gardez would require even more Soviet casualties and force , the optimists surmise that the Soviets are attacking Khost to get out of Afghanistan ","0000000000000000000000000000100000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
attack,"The point of this review is not necessarily to let off the Eritreans , who have recently come under deservedly strong criticism for attacking two food convoys , but to demonstrate how famine in northern Ethiopia is part of something much broader and more complex than drought ","0000000000000000000000100000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
attack,"The only thing certain is that a Korean merchant wholly dependent on the good will of his customers would be crazy to attack a black grandmother in a virtually all - black neighborhood -- and Mr. Chung , who cleaned fish for three years to scrape together the money to buy his market , seems anything but crazy ","0000010000000000000000000000000000000
00001000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
attack,"I arrived in Vietnam in early 1968 , as green as the beret I wore , and was assigned to the Special Forces '' A '' team that had the dubious distinction , two weeks later , of being one of the first attacked during the Tet offensive ","0000000000000000000000000001001000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
attack,"This suggests a panicky response from the Vincennes , particularly since a Pentagon air - combat specialist quoted by Mr. Kaplan in the Boston Globe said that an attacking F-14 probably would be traveling '' at at least 550 to 580 knots , '' 100 knots faster than Adm. Crow says the Airbus was flying , and '' well under 1 , 000 feet . . . ","0000000000000000000000000000000000000
00001000100000000000010000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
