,sentence,arg1,verb,correct_label,prediction
0, A hot soup will revive me .,soup,revive,1,1
1, He revived this style of opera .,style,revive,1,1
2, They clawed their way to the top of the mountain .,way,claw,1,1
3, We rotate the crops so as to maximize the use of the soil .,crop,rotate,1,1
4, She designed a good excuse for not attending classes that day .,excuse,design,1,1
5, The colors do n't harmonize .,color,harmonize,1,1
6, society was infected by racism .,society,infect,1,1
7, The market is being clogged by these operations .,market,clog,1,1
8, The mother was swelling with importance when she spoke of her son .,mother,swell,1,1
9, Their language inclines us to believe them .,language,incline,1,1
10, capture the essence of Spring   .,essence,capture,1,1
11, The scientists had to accommodate the new results with the existing theories .,result,accommodate,1,1
12, She was besieged by so many problems that she got discouraged .,problem,besiege,1,1
13, They fastened various nicknames to each other .,nickname,fasten,1,1
14, He showered her with presents .,present,shower,1,1
15, Am I supposed to swallow that story ?,story,swallow,1,1
16, The moon glared back at itself from the lake 's surface .,moon,glare,1,1
17, My skin crawled -- I was terrified .,skin,crawl,1,1
18, We poured money into the education of our children .,money,pour,1,1
19, The sun glared down on us .,sun,glare,1,1
20, Unrest erupted in the country .,unrest,erupt,1,1
21, poison someone 's mind .,mind,poison,1,1
22, Sales were climbing after prices were lowered .,sale,climb,1,1
23, This behavior will ruin your chances of winning the election .,chance,ruin,1,1
24, The sales tax is absorbed into the state income tax .,tax,absorb,1,1
25, The invaders spread their language all over the country .,language,spread,1,1
26, Interns have to rotate for a few months .,intern,rotate,1,1
27, They sifted through the job candidates .,candidate,sift,1,1
28, The dress molds her beautiful figure .,dress,mold,1,1
29, fill the child with pride .,child,fill,1,1
30, The listeners bolted when he discussed his strange ideas .,listener,bolt,1,1
31, The cancer had invaded her lungs .,lungs,invade,1,1
32, The path climbed all the way to the top of the hill .,path,climb,1,1
33, condense the contents of a book into a summary .,content,condense,1,1
34, This poses an interesting question .,question,pose,1,1
0, A hot soup will revive me .,soup,revive,1,1
1, He revived this style of opera .,style,revive,1,1
2, She designed a good excuse for not attending classes that day .,excuse,design,1,1
3, The colors do n't harmonize .,color,harmonize,1,1
4, society was infected by racism .,society,infect,1,1
5, The market is being clogged by these operations .,market,clog,1,1
6, The mother was swelling with importance when she spoke of her son .,mother,swell,1,1
7, Their language inclines us to believe them .,language,incline,1,1
8, capture the essence of Spring   .,essence,capture,1,1
9, The scientists had to accommodate the new results with the existing theories .,result,accommodate,1,1
10, She was besieged by so many problems that she got discouraged .,problem,besiege,1,1
11, They fastened various nicknames to each other .,nickname,fasten,1,1
12, He showered her with presents .,present,shower,1,1
13, Am I supposed to swallow that story ?,story,swallow,1,1
14, My skin crawled -- I was terrified .,skin,crawl,1,1
15, We poured money into the education of our children .,money,pour,1,1
16, The sun glared down on us .,sun,glare,1,1
17, Unrest erupted in the country .,unrest,erupt,1,1
18, poison someone 's mind .,mind,poison,1,1
19, Sales were climbing after prices were lowered .,sale,climb,1,1
20, This behavior will ruin your chances of winning the election .,chance,ruin,1,1
21, The sales tax is absorbed into the state income tax .,tax,absorb,1,1
22, The invaders spread their language all over the country .,language,spread,1,1
23, Interns have to rotate for a few months .,intern,rotate,1,1
24, They sifted through the job candidates .,candidate,sift,1,1
25, The dress molds her beautiful figure .,dress,mold,1,1
26, fill the child with pride .,child,fill,1,1
27, The listeners bolted when he discussed his strange ideas .,listener,bolt,1,1
28, The cancer had invaded her lungs .,lungs,invade,1,1
29, condense the contents of a book into a summary .,content,condense,1,1
30, This poses an interesting question .,question,pose,1,1
