,sentence,correct_label,verb,verb_idx,prediction
0,"Based on the number of acres planted in the spring , the Agriculture Department estimated earlier this year that a normal yield of 121 bushels an acre would generate a harvest of 7.3 billion bushels ",0,plant,6,0
1,"Allen J. Krowe , 56 years old , leaves his job as executive vice president and a director of IBM to fill the positions at Texaco currently held by Richard G. Brinkman , who at 61 , will retire early ",0,fill,21,0
2,"Mr. Redford has assembled a great collection of faces , especially the geezers who look like they ' ve spent the past half - century drinking the same cup of coffee with the same old pals ",0,drink,25,0
3,"There were n't any American casualties reported , but a U.S. attack helicopter carrying two crew members was missing ",0,miss,18,0
4,"Mr. Thunberg of Ried Thunberg said the Fed has '' aggressively '' absorbed reserves over each of the past three days , creating some confusion about its intentions ",0,absorb,12,0
5,These grants are the public finance equivalent of a lottery for state and local governments that continually fix the odds in their favor of obtaining one ,0,fix,17,0
6,"Even more inadvertently hilarious is Alexander Godunov , the Soviet defector who used to dance for a living ",0,dance,14,0
7,"Sometimes your computer partner will land one , the terminal chirping away in an apparent imitation of a drowning bass ",0,drown,18,0
8,"In a letter sent yesterday to the German media , the terrorist group said Mr. Tietmeyer , who was unharmed in the attack , has been targeted because of his central role in sustaining the world 's '' imperialist '' financial system ",0,target,26,0
9,"In addition to the requirement of a warrant , the court 's ruling also struck down the department 's drug - testing program on the ground that the tests themselves do n't reliably measure intoxication at a particular time before their administration ",0,strike,14,0
10,Mr. Bush attacked the Massachusetts governor for vetoing a bill to require school teachers to lead pupils in the pledge of allegiance and for Massachusetts ' prisoner - furlough program ,0,attack,2,0
11,"Citibank has examined several Texas banks , but thus far has decided that it did n't have enough confidence in the short - term Texas outlook to take the plunge ",0,examine,2,0
12,"'' Back when I was his age , '' says oldtimer Mr. Van Cleve , pointing to a 13-year - old boy at his lunch table in Uvalde , '' I remember it rained once . '",0,rain,33,0
13,'' Moscow has been 80 % destroyed because Communists do n't like Russia . ',0,destroy,6,0
14,"It 's little wonder , then , that Susan has taken to escaping into the company of her delightfully charming , exceedingly attractive , immensely rich fantasy family : an adoring husband , a devoted daughter and a frothy younger brother whose only occupation in life is to pour yet another round of champagne -- '' champers , '' as he prefers to call it -- for the four of them ",0,escape,12,0
15,Next to it the firm planted a sign : '' Little things like this will never come between us . ',0,plant,5,0
16,"Still , the administration proposal is perceived as part of a broader rethinking about venture capital targeted explicitly at minority businesses ",0,target,16,0
17,"Before midnight , it had targeted the National Aeronautics and Space Administration Ames Research Center in California 's Silicon Valley , as well as the University of Pittsburgh and the Los Alamos National Laboratory in New Mexico ",0,target,5,0
18,"Field stone , generally rounder , is hard to come by because much is already in old stone walls , and few farmers are plowing new fields ",0,plow,24,0
19,"At about the same time , according to senior Hutton officials , Mr. Fomon was drinking heavily , though he says that alcohol never affected his ability to do his job ",0,drink,15,0
