verbs,sentences,preds,true
assault,"Among the tantrums he admits : heaving a faulty phone across the control room , kicking in a TV screen to force NBC to buy a new one , and assaulting construction workers who were too noisy during taping ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
assault,"John Gil , a San Diego landlord , and Mike Black , an apartment manager , were sued in state Superior Court in San Diego by a tenant who was assaulted by a pet monkey owned by two other renters ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
attack,"Next , a member of his audience , attired in a garment resembling the flag , attacked him ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
besiege,"When radicals besieged his hotel while he was visiting Seoul last week , he promised them he would make yet another effort to play up to North Korea -- by renewing the offer to let the North host several Olympic events ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
besiege,Thousands of Chinese soccer fans battled police and besieged a rival team 's hotel during a riot Monday night ,"0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
cool,"Justin makes building products , cooling towers and boots ","0000010000000000000000000000000000000
00000000000000000000000000000000000000000000","0000010000000000000000000000000000000
00000000000000000000000000000000000000000000"
cool,"A front is then expected to move in but it will cool temperatures only slightly , to 40 to 50 degrees ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
dance,"The picture spans the quarter - century between the mid-'50s and the early ' 80s , which gives Ms. Lange the chance to frequently change her hair style , to wear a variety of clothes and to dance the Twist ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
dance,"This three - part '' Nature '' miniseries presents the history of the area and its amazingly rich flora and fauna , including bat - eared foxes , dancing ostriches , shrimp - eating flamingos and leaping bush babies ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
dance,"As the wiry Mr. Rios dances with a plump , middle - age woman , he yells in Spanish , '' I ' m legal now . '","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
dance,She watched an older couple dancing outside in the restaurant 's courtyard ,"0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
