nouns,verbs,sentences,preds,true
problem,attack, I attacked the problem as soon as I got out of bed .,00000000000000000000,01000000000000000000
martini,down, He downed three martinis before dinner .,00000000000000000000,01000000000000000000
immigrant,hunt, They hunted the unwanted immigrants out of the neighborhood .,00000000000000000000,01000000000000000000
hand,lock, He locked his hands around her neck .,00000000000000000000,01000000000000000000
fifty,push, She is pushing fifty .,00000000000000000000,00100000000000000000
drug,push, The guy hanging around the school is pushing drugs .,00000000000000000000,00000001000000000000
refrigerator,raid, Our babysitter raided our refrigerator .,00000000000000000000,00100000000000000000
image,recast, She had to recast her image to please the electorate in her home state .,00000000000000000000,00010000000000000000
tornado,rip, The tornado ripped along the coast .,00000000000000000000,00100000000000000000
field,salt, the rebels had salted the fields with mines and traps .,00000000000000000000,00010000000000000000
wave,swallow, The huge waves swallowed the small boat and it sank shortly thereafter .,00000000000000000000,00010000000000000000
illness,visit," Every summer , we visited our relatives in the country for a month .",00000000000000000000,00001000000000000000
smile,wear, He always wears a smile .,00000000000000000000,00100000000000000000
society,ferment, Islam is fermenting Africa .,00000000000000000000,00100000000000000000
man,lighten," after a glass of wine , he lightened up a bit .",00000000000000000000,00000001000000000000
