nouns,verbs,sentences,preds,true
workers,abuse, This boss abuses his workers .,01100000000000000000,00000000000000000000
policeman,abuse, The actress abused the policeman who gave her a parking ticket .,00000001000000000000,00000000000000000000
submission,acknowledge, The program committee acknowledged the submission of the authors of the paper .,00010000000000000000,00000000000000000000
prince,acknowledge, The Crown Prince was acknowledged as the true heir to the throne .,00001100000000000000,00000000000000000000
telephone,answer, answer the telephone .,00100000000000000000,00000000000000000000
village,attack, The Serbs attacked the village at night .,01001000000000000000,00000000000000000000
singer,boost, The singer had to be boosted onto the stage by a special contraption .,01000100000100000000,00000000000000000000
hair,brush, Johnson brushed the hairs from his jacket .,00010000000000000000,00000000000000000000
school,build, The government is building new schools in this state .,00010000000000000000,00000000000000000000
architect,build, These architects build in interesting and new styles .,00001000000000000000,00000000000000000000
love,buy, She wanted to buy his love with her dedication to him and his work .,00000001000000000000,00000000000000000000
neutron,capture, This nucleus has captured the slow - moving neutrons .,00010000000000000000,00000000000000000000
drain,clog, The leaves clog our drains in the Fall .,00001000000000000000,00000000000000000000
smoke,cloud, The smoke clouded above the houses .,00000100000000000000,00000000000000000000
message,communicate, Please communicate this message to all employees .,00000010000000000000,00000000000000000000
spasm,convulse, The spasm convulses her facial muscles .,00010000000000000000,00000000000000000000
muscle,convulse, The muscles in her face convulsed .,00010000000000000000,00000000000000000000
balloon,deflate, The balloons deflated .,00100000000000000000,00000000000000000000
snow,drift, snow drifting several feet high .,01100000000000000000,00000000000000000000
liter,drink, The patient must drink several liters each day .,00001000000000000000,00000000000000000000
surface,dull, Age had dulled the surface .,00101000000000000000,00000000000000000000
proprietor,emerge," Suddenly , the proprietor emerged from his office .",00000100000000000000,00000000000000000000
pen,engrave, engrave the pen with the owner 's name .,00100000000000000000,00000000000000000000
formula,erase, Please erase the formula on the blackboard -- it is wrong !,00000000000100000000,00000000000000000000
lock,fasten, He fastened the lock onto the door .,00000010000000000000,00000000000000000000
pool,fill, The pool slowly filled with water .,00010000000000000000,00000000000000000000
wing,flap, The bird flapped its wings .,00100000000000000000,00000000000000000000
light,flash, The lights were flashing .,00010000000000000000,00000000000000000000
basement,flood, Our basement flooded during the heavy rains .,00000100000000000000,00000000000000000000
water,form, the water formed little beads .,00010000000000000000,00000000000000000000
bolt,fracture, The pothole fractured a bolt on the axle .,00001000000000000000,00000000000000000000
girl,glare, The girl glared at the man who tried to make a pass at her .,00000000000001000000,00000000000000000000
woman,grope, He made some sexual advances at the woman in his office and groped her repeatedly .,00000000000001000000,00000000000000000000
firewood,heap, heap firewood around the fireplace .,10000000000000000000,00000000000000000000
boar,hunt, Goering often hunted wild boars in Poland .,00001000000000000000,00000000000000000000
heat,ignite, Great heat can ignite almost any dry matter .,00001010000000000000,00000000000000000000
head,incline, She inclined her head to the student .,00110000000000000000,00000000000000000000
castle,inherit, I inherited a castle from my French grandparents .,00001000000000000000,00000000000000000000
eyesight,inherit, I inherited my good eyesight from my mother .,00001100000000000000,00000000000000000000
glucose,inject, We injected the glucose into the patient 's vein .,00010000000000000000,00000000000000000000
hydrogen,inject, inject hydrogen into the balloon .,00001000000000000000,00000000000000000000
poland,invade," Hitler invaded Poland on September 1 , 1939 .",00010000000000000000,00000000000000000000
dog,kick, The boy kicked the dog .,00100000000000000000,00000000000000000000
bird,land, The bird landed on the highest branch .,00010000000000000000,00000000000000000000
smuggler,land, The drug smugglers landed the heroin on the beach of the island .,00000010000000000000,00000000000000000000
ship,land, The ship landed in Pearl Harbor .,00001000000000000000,00000000000000000000
book,lay, lay the books on the table .,00010000000000000000,00000000000000000000
water,leak, Water leaked out of the can into the backpack .,01000000000000000000,00000000000000000000
container,leak, The container leaked gasoline .,00100000000000000000,00000000000000000000
load,lighten, she lightened the load on the tired donkey .,00001000000000000000,00000000000000000000
book,line, lined books are more enduring .,10000000000000000000,00000000000000000000
bike,lock, Lock the bike to the fence !,00000110000000000000,00000000000000000000
jewel,lock, She locked her jewels in the safe .,00100000000000000000,00000000000000000000
plane,loop, The stunt pilot looped his plane .,00010000000000000000,00000000000000000000
