nouns,verbs,sentences,preds,true
knowledge,absorb, He absorbed the knowledge or beliefs of his tribe .,01000000000000000000,01000000000000000000
cost,absorb, He absorbed the costs for the accident .,01000000000000000000,01000000000000000000
tax,absorb, The sales tax is absorbed into the state income tax .,00001000000000000000,00001000000000000000
immigrant,absorb, The immigrants were quickly absorbed into society .,00001000000000000000,00001000000000000000
system,abuse, Do n't abuse the system .,00100000000000000000,00100000000000000000
alcohol,abuse, Her husband often abuses alcohol .,00010000000000000000,00010000000000000000
steering,answer, The steering of my new car answers to the slightest touch .,00000010000000000000,00000010000000000000
inheritance,ascend, Inheritance may not ascend linearly .,00010000000000000000,00010000000000000000
speaker,attack, The editors of the left - leaning paper attacked the new House Speaker .,00000000100000000000,00000000100000000000
cancer,attack, The cancer cells are attacking his liver .,00001000000000000000,00001000000000000000
press,besiege, The press photographers besieged the movie star .,00010000000000000000,00010000000000000000
oxygen,bind, The hydrogen binds the oxygen .,00100000000000000000,00100000000000000000
meteor,blaze, Meteors blazed across the atmosphere .,01000000000000000000,01000000000000000000
spaceship,blaze, The spaceship blazed out into space .,00100000000000000000,00100000000000000000
administration,blister, The Senator blistered the administration in his speech on Friday .,00100000000000000000,00100000000000000000
listener,bolt, The listeners bolted when he discussed his strange ideas .,00100000000000000000,00100000000000000000
economy,boost, The tax cut will boost the economy .,00001000000000000000,00001000000000000000
government,bow, The government bowed to the military pressure .,00100000000000000000,00100000000000000000
life,breathe, He breathed new life into the old house .,01000000000000000000,01000000000000000000
fabric,breathe, Our new synthetic fabric breathes and is perfect for summer wear .,00001000000000000000,00001000000000000000
nation,build, build a modern nation .,10000000000000000000,10000000000000000000
defense,build, build a defense on nothing but the accused person 's reputation .,10000000000000000000,10000000000000000000
office,buzz, This office is buzzing with activity .,00010000000000000000,00010000000000000000
servant,buzz, he buzzed the servant .,01000000000000000000,01000000000000000000
doorknob,claw, She clawed the doorknob .,01000000000000000000,01000000000000000000
sale,climb, Sales were climbing after prices were lowered .,00100000000000000000,00100000000000000000
price,climb, Sales were climbing after prices were lowered .,00100000000000000000,00100000000000000000
path,climb, The path climbed all the way to the top of the hill .,00100000000000000000,00100000000000000000
horse,clog, horses were clogged until they were tamed .,00100000000000000000,00100000000000000000
market,clog, The market is being clogged by these operations .,00001000000000000000,00001000000000000000
mind,clog, Fear clogged her mind .,01000000000000000000,01000000000000000000
face,cloud, Their faces were clouded with sadness .,00010000000000000000,00010000000000000000
memory,cloud, The stroke clouded memories of her youth .,00100000000000000000,00100000000000000000
liquid,cloud, The chemical clouded the liquid to which it was added .,00100000000000000000,00100000000000000000
idea,color, His political ideas color his lectures .,00010000000000000000,00010000000000000000
room,communicate, The rooms communicated .,00100000000000000000,00100000000000000000
personality,compose, Greed and ambition composed his personality .,00010000000000000000,00010000000000000000
content,condense, condense the contents of a book into a summary .,10000000000000000000,10000000000000000000
plan,condense, Congress condensed the three - year plan into a six - month plan .,01000000000000000000,01000000000000000000
crowd,convulse, The comedian convulsed the crowd .,00100000000000000000,00100000000000000000
earthquake,convulse, earthquakes convulsed the countryside .,01000000000000000000,01000000000000000000
skin,crawl, My skin crawled -- I was terrified .,00100000000000000000,00100000000000000000
cheese,crawl, The old cheese was crawling with maggots .,00001000000000000000,00001000000000000000
meeting,crown, The speech crowned the meeting .,00100000000000000000,00100000000000000000
smoke,curl, The cigar smoke curled up at the ceiling .,00010000000000000000,00010000000000000000
ambition,dash, dashed ambitions and hopes .,10000000000000000000,10000000000000000000
confidence,deflate, The bad review of his work deflated his self - confidence .,00000010000000000000,00000010000000000000
currency,deflate, deflate the currency .,10000000000000000000,10000000000000000000
excuse,design, She designed a good excuse for not attending classes that day .,01000000000000000000,01000000000000000000
