sentence,correct_label,arg1,arg2,verb,prediction
"When she hears that prisoners sometimes carve their names into logs that float downriver , she grabs her child and runs with her to the river .",1,she,grabs,child,1
Morty Bennett eats a scallop and shrimp entree at a Chinese restaurant in Miami .,0,bennett,eats,scallop,0
"The latest truce in the week-old battle , which has killed 188 and injured 534 , was arranged by Syrian President Assad and Iranian President Khamenei .",1,which,killed,188,1
"All agree that the state must diversify its industrial base to escape the recently detrimental reliance on oil , said Ron Jones , chairman of the New Orleans Business Council and president of Louisiana Coca Cola Bottling Ltd .",1,state,escape,base,1
`` It floods the area instead of having hot pinpoints of glaring light . '',1,it,floods,area,1
"Next month , A & P will roll out these jams and jellies , now sold only in New York , to its 986 stores in the U.S .",1,a,roll,jams,1
"The fast-paced , slapstick nature of the commercials for Goodyear 's automotive service centers contrasts sharply with previous campaigns that subtly stressed the safety of Goodyear tires while also striking an emotional chord with viewers .",0,campaigns,striking,chord,0
"Emulating Japan 's broad-based conglomerates , Samsung Electronics Co. will officially absorb Samsung Semiconductor & Telecommunications Co .",0,co.,absorb,semiconductor,1
Mr. Gallas says he began looking into melanin about five years ago when he was working on solar energy and was looking for materials that absorb sunlight .,0,that,absorb,sunlight,0
It said that the companies are examining the possibilities provided within the framework of securities law but that `` all these considerations have n't been in any way concluded . '',0,companies,examining,possibilities,0
"Among those who drink alcoholic beverages world-wide , 8 % consume daily amounts that are damaging to their health and to society .",0,who,drink,beverages,0
-- The justices refused to hear an antitrust appeal by actor Paul Newman and director George Roy Hill in a suit charging that MCA Inc. and its Universal City Studios Inc. unit conspired to fix the percentage of film revenue paid to artists .,1,suit,fix,percentage,1
"One of the funniest scenes in the play comes near the end , when Frank visits Sylvester 's apartment to fix a leak in the ceiling .",0,apartment,fix,leak,0
"Indiana Rep. Andrew Jacobs , a Democrat who 's neutral in the presidential-nomination contest , says Mr. Gephardt reminds him of a time in his life when he had to eat a lot of dinners at a drive-in restaurant .",1,time,eat,lot,1
The result: Some car makers are cooling their hot rods .,1,makers,cooling,rods,1
Olds is n't the only advertiser targeting Southern California with such campaigns .,0,advertiser,targeting,california,0
"While Mr. Gorbachev preached togetherness yesterday , Romania was kicking Hungary 's ambassador out of the country .",1,romania,kicking,ambassador,1
"Mr. Martineau also says the tractors reflect another Russian approach to manufacturing: `` You could melt down one Belarus and make three American tractors with the amount of metal the Russians have put in it , '' he says .",1,you,melt,belarus,1
"The rate on funds , or reserves that banks lend each other overnight , averaged about 7 1 2 % , up from 7.42 % Friday .",0,banks,lend,other,0
But there were stumbling blocks from the start .,1,there,stumbling,blocks,1
"`` A strong opening in platinum coupled with a weak dollar just grabbed gold by the horns and took it on up , '' he said .",1,opening,grabbed,gold,1
