sentence,prediction
"['Music is the art of arranging sounds in time to produce a composition through the elements of melody, harmony, rhythm, and timbre",1
 It is one of the universal cultural aspects of all human societies,1
" General definitions of music include common elements such as pitch (which governs melody and harmony), rhythm (and its associated concepts tempo, meter, and articulation), dynamics (loudness and softness), and the sonic qualities of timbre and texture (which are sometimes termed the ""color"" of a musical sound)",1
" Different styles or types of music may emphasize, de-emphasize or omit some of these elements",1
" Music is performed with a vast range of instruments and vocal techniques ranging from singing to rapping; there are solely instrumental pieces, solely vocal pieces (such as songs without instrumental accompaniment) and pieces that combine singing and instruments",0
" The word derives from Greek μουσική (mousike; ""(art) of the Muses"")",0
"In its most general form, the activities describing music as an art form or cultural activity include the creation of works of music (songs, tunes, symphonies, and so on), the criticism of music, the study of the history of music, and the aesthetic examination of music",0
" Ancient Greek and Indian philosophers defined music in two parts: melodies, as tones ordered horizontally, and harmonies as tones ordered vertically",0
" Common sayings such as ""the harmony of the spheres"" and ""it is music to my ears"" point to the notion that music is often ordered and pleasant to listen to",1
" However, 20th-century composer John Cage thought that any sound can be music, saying, for example, ""There is no noise, only sound",0
"""The creation, performance, significance, and even the definition of music vary according to culture and social context",1
" Indeed, throughout history, some new forms or styles of music have been criticized as ""not being music"", including Beethoven\'s Grosse Fuge string quartet in 1825, early jazz in the beginning of the 1900s and hardcore punk in the 1980s",1
" There are many types of music, including popular music, traditional music, art music, music written for religious ceremonies, and work songs such as chanteys",0
" Music ranges from strictly organized compositions—such as Classical music symphonies from the 1700s and 1800s—through to spontaneously played improvisational music such as jazz, and avant-garde styles of chance-based contemporary music from the 20th and 21st centuries",1
\nMusic can be divided into genres (e,1
g,0
", country music) and genres can be further divided into subgenres (e",0
g,0
", alternative country and country pop are two of the many country subgenres), although the dividing lines and relationships between music genres are often subtle, sometimes open to personal interpretation, and occasionally controversial",1
" For example, it can be hard to draw the line between some early 1980s hard rock and heavy metal",1
" Within the arts, music may be classified as a performing art, a fine art or as an auditory art",1
" Music may be played or sung and heard live at a rock concert or orchestra performance, heard live as part of a dramatic work (a music theater show or opera), or it may be recorded and listened to on a radio, MP3 player, CD player, smartphone or as film score or TV show",0
"\nIn many cultures, music is an important part of people\'s way of life, as it plays a key role in  religious rituals, rite of passage ceremonies (e",1
g,0
", graduation and marriage), social activities (e",0
g,0
", dancing) and cultural activities ranging from amateur karaoke singing to playing in an amateur funk band or singing in a community choir",0
" People may make music as a hobby, like a teen playing cello in a youth orchestra, or work as a professional musician or singer",0
" The music industry includes the individuals who create new songs and musical pieces (such as songwriters and composers), individuals who perform music (which include orchestra, jazz band and rock band musicians, singers and conductors), individuals who record music (music producers and sound engineers), individuals who organize concert tours, and individuals who sell recordings, sheet music, and scores to customers",0
" Even once a song or piece has been performed, music critics, music journalists, and music scholars may assess and evaluate the piece and its performance",1
"', 'Music is an art form consisting of sound and silence, expressed through time",1
"\nMusic may also refer to:', 'Classical music is art music produced or rooted in the traditions of Western culture, generally considered to have begun in Europe after the fall of the Western Roman Empire in the late 5th century CE and continuing to present day",0
 Classical music refers to Western musical traditions considered to be apart from or a refinement of Western folk music or popular music traditions,1
" The major periods are the medieval (500–1400), Renaissance (1400–1600), Baroque (1600–1750), Classical (1750–1820), Romantic (1800–1910), Modernist (1890–1975) and Postmodern era/Contemporary (1950–present) eras",0
 These periods and their dates are all approximate generalizations and represent gradual stylistic shifts that varied in intensity and prominence throughout the Western world,1
"\nThe term ""classical music"" did not appear until the early 19th century, in an attempt to distinctly canonize the period from Johann Sebastian Bach to Ludwig van Beethoven as a golden age",1
" The earliest reference to ""classical music"" recorded by the Oxford English Dictionary is from about 1829",0
"European art music is largely distinguished from many other non-European classical and some popular musical forms by its system of staff notation, in use since about the 11th century",1
 Catholic monks developed the first forms of modern European musical notation in order to standardize liturgy throughout the worldwide Church,1
 Western staff notation is used by composers to indicate to the performer the pitches and durations for a piece of music,0
 It includes both sacred (religious) and secular music,0
" In contrast to most popular styles that adopted the song (strophic) form or a derivation of this form, classical music has been noted for its development of highly sophisticated forms of instrumental music such as the symphony, concerto, fugue, sonata, and mixed vocal and instrumental styles such as opera, cantata, and mass",1
"', 'Electronic music is music that employs electronic musical instruments, digital instruments, or circuitry-based music technology in its creation",0
 It includes both music made using electronic and electromechanical means (electroacoustic music),0
" Pure electronic instruments depended entirely on circuitry-based sound generation, for instance using devices such as an electronic oscillator, theremin, or synthesizer",0
" Electromechanical instruments can have mechanical parts such as strings, hammers, and electric elements including magnetic pickups, power amplifiers and loudspeakers",0
" Such electromechanical devices include the telharmonium, Hammond organ, electric piano and the electric guitar",0
The first electronic musical devices were developed at the end of the 19th century,0
" During the 1920s and 1930s, a number of electronic instruments were introduced and the first compositions featuring them were written",0
" By the 1940s, magnetic audio tape allowed musicians to tape sounds and then modify them by changing the tape speed or direction, leading to the development of electroacoustic tape music in the 1940s, in Egypt and France",0
" Musique concrète, created in Paris in 1948, was based on editing together recorded fragments of natural and industrial sounds",0
 Music produced solely from electronic generators was first produced in Germany in 1953,0
 Electronic music was also created in Japan and the United States beginning in the 1950s and Algorithmic composition with computers was first demonstrated in the same decade,0
"\nDuring the 1960s, digital computer music was pioneered, innovation in live electronics took place, and Japanese electronic musical instruments began to influence the music industry",1
" In the early 1970s, Moog synthesizers and Japanese drum machines helped popularize synthesized electronic music",0
" The 1970s also saw electronic music begin to have a significant influence on popular music, with the adoption of polyphonic synthesizers, electronic drums, drum machines and turntables, through the emergence of genres such as disco, krautrock, new wave, synth-pop, hip hop and EDM",1
