nouns,verbs,sentences,preds,true
interest,absorb, Her interest in butterflies absorbs her completely .,00011000000000000000,00001000000000000000
result,accommodate, The scientists had to accommodate the new results with the existing theories .,01001000000100000000,00001000000000000000
resident,adhere, The residents of this village adhered to Catholicism .,01000100000000000000,00000100000000000000
problem,attack, I attacked the problem as soon as I got out of bed .,01000010000000000000,01000000000000000000
distinction,blur, The distinction between the two theories blurred .,00000110000000000000,00000010000000000000
food,bolt, Do n't bolt your food !,00000100000000000000,00100000000000000000
people,bounce, The ex - boxer 's job is to bounce people who want to enter this private club .,00000000100100000000,00000000100000000000
suspense,build, Suspense was building right from the beginning of the opera .,00100000010000000000,00100000000000000000
story,buy, I ca n't buy this story .,01010000000000000000,00010000000000000000
essence,capture, capture the essence of Spring   .,10100000000000000000,10000000000000000000
heart,capture, She captured all the men 's hearts .,01000010000000000000,01000000000000000000
rival,claw, The politician clawed his rival .,00110000000000000000,00100000000000000000
building,crown, A weather vane crowns the building .,00110000000000000000,00010000000000000000
refusal,crush, She was crushed by his refusal of her invitation .,00100101000000000000,00100000000000000000
economy,deflate, The new measures deflated the economy .,00110000000000000000,00010000000000000000
son,drift, My son drifted around for years in California before going to law school .,00100100000000000000,00100000000000000000
market,drift, The stock market drifted upward .,01010000000000000000,00010000000000000000
word,drink, The mother drinks in every word of her son on the stage .,00100001010000000000,00100000000000000000
trouble,drown, She drowned her trouble in alcohol .,01100000000000000000,01000000000000000000
appetite,dull, Middle age dulled her appetite for travel .,01100000000000000000,00100000000000000000
event,engrave, The event engraved itself into her memory .,00000100000000000000,00100000000000000000
rash,erupt, A rash erupted on her arms after she had touched the exotic plant .,00001000000000000000,00100000000000000000
boss,explode, The boss exploded when he heard of the resignation of the secretary .,01100000000000000000,00100000000000000000
star,flare, Every star seemed to flare with new intensity .,00101000000000000000,00001000000000000000
ruble,float, The government floated the ruble for a few months .,00100000100000000000,00100000000000000000
moon,glare, The moon glared back at itself from the lake 's surface .,00100010000000000000,00100000000000000000
sun,glare, The sun glared down on us .,00101000000000000000,00100000000000000000
heart,glow, Make the people 's hearts glow .,00001000000000000000,00000100000000000000
boy,gravitate, Boys gravitate towards girls at that age .,01000010000000000000,01000000000000000000
tear,gutter, Tears guttered down her face .,11010000000000000000,01000000000000000000
problem,inherit, The new chairman inherited many problems from the previous chair .,00010010000000000000,00010000000000000000
pregnancy,interrupt, She interrupted her pregnancy .,01100000000000000000,01000000000000000000
lungs,invade, The cancer had invaded her lungs .,00011000000000000000,00010000000000000000
job,juggle, She had to juggle her job and her children .,00011001000000000000,00010000000000000000
blow,land, He landed several blows on his opponent 's head .,01001000000000000000,01000000000000000000
responsibility,lay, lay a responsibility on someone .,10010000000000000000,10000000000000000000
story,lend, This story would lend itself well to serialization on television .,01010100100000000000,00010000000000000000
tree,line, trees line the riverbank .,01010000000000000000,01000000000000000000
hand,lock, He locked his hands around her neck .,00000110000000000000,01000000000000000000
sorrow,map, sorrow was mapped on the mother 's face .,00110000000000000000,00100000000000000000
contribution,match, The company matched the employees ' contributions .,00101000000000000000,00100000000000000000
resistance,melt, her resistance melted under his charm .,10100000000000000000,00100000000000000000
dress,mold, The dress molds her beautiful figure .,00010000000000000000,00100000000000000000
mountain,negociate, The hiker negociated the high mountain pass .,00101000000000000000,00100000000000000000
flower,nod, the flowers were nodding in the breeze .,01010000000000000000,00010000000000000000
cold,pierce, The cold pierced her bones .,00110000000000000000,00100000000000000000
market,plunge, the stock market plunged .,01010000000000000000,00010000000000000000
book,portray, The book portrays the actor as a selfish person .,01100100000000000000,00100000000000000000
conscience,prick, The thought of her unhappiness pricked his conscience .,00010100000000000000,00000100000000000000
reform,push, The liberal party pushed for reforms .,00110000000000000000,00010000000000000000
image,recast, She had to recast her image to please the electorate in her home state .,00010001000000000000,00010000000000000000
problem,root, The problem roots in her depression .,00101000000000000000,00100000000000000000
intern,rotate, Interns have to rotate for a few months .,00010001000000000000,00010000000000000000
composure,ruffle, She wanted to ruffle his composure .,00010100000000000000,00010000000000000000
lecture,salt, She salts her lectures with jokes .,01010000000000000000,01000000000000000000
courage,salute, I salute your courage !,01001000000000000000,01000000000000000000
stench,salute, a terrible stench saluted our nostrils .,01010000000000000000,00010000000000000000
disapproval,snort, she snorted her disapproval of the proposed bridegroom .,00100000000000000000,01000000000000000000
trouble,spell, I 'm afraid this spells trouble !,00001010000000000000,00001000000000000000
husband,spell, She spelled her husband at the wheel .,01100000000000000000,01000000000000000000
worker,spell, the workers spell every four hours .,01100000000000000000,00100000000000000000
bill,stagger, She was staggered with bills after she tried to rebuild her house following the earthquake .,00100000001000000000,00100000000000000000
name,stamp, a man whose name is permanently stamped on our maps .,00000011000000000000,00000010000000000000
indifference,steam, her indifference to his amorous advances really steamed the young man .,10000001000000000000,00000001000000000000
wave,swallow, The huge waves swallowed the small boat and it sank shortly thereafter .,00100000001000000000,00010000000000000000
word,swallow, She swallowed the last words of her speech .,01000010000000000000,01000000000000000000
story,swallow, Am I supposed to swallow that story ?,10001010000000000000,00001000000000000000
freedom,taste, The ex - slave tasted freedom shortly before she died .,00001010000000000000,00001000000000000000
circumstance,trace, She traced the circumstances of her birth .,01000100000000000000,01000000000000000000
experience,transform, This experience transformed her completely .,00110000000000000000,00100000000000000000
rage,visit, The principal visited his rage on the students .,00100100000000000000,00100000000000000000
illness,visit," Every summer , we visited our relatives in the country for a month .",00000000010000000000,00001000000000000000
curse,volley, I heard him volley a string of curses .,00010100000000000000,00010000000000000000
bullet,whistle, The bullets whistled past him .,00110000000000000000,00100000000000000000
