sentence,arg1,arg2,verb,correct_label,prediction
"When she hears that prisoners sometimes carve their names into logs that float downriver , she grabs her child and runs with her to the river .",she,grabs,child,1,1
"All agree that the state must diversify its industrial base to escape the recently detrimental reliance on oil , said Ron Jones , chairman of the New Orleans Business Council and president of Louisiana Coca Cola Bottling Ltd .",state,escape,base,1,1
"Next month , A & P will roll out these jams and jellies , now sold only in New York , to its 986 stores in the U.S .",a,roll,jams,1,1
-- The justices refused to hear an antitrust appeal by actor Paul Newman and director George Roy Hill in a suit charging that MCA Inc. and its Universal City Studios Inc. unit conspired to fix the percentage of film revenue paid to artists .,suit,fix,percentage,1,1
"Indiana Rep. Andrew Jacobs , a Democrat who 's neutral in the presidential-nomination contest , says Mr. Gephardt reminds him of a time in his life when he had to eat a lot of dinners at a drive-in restaurant .",time,eat,lot,1,1
The result: Some car makers are cooling their hot rods .,makers,cooling,rods,1,1
"While Mr. Gorbachev preached togetherness yesterday , Romania was kicking Hungary 's ambassador out of the country .",romania,kicking,ambassador,1,1
"Mr. Martineau also says the tractors reflect another Russian approach to manufacturing: `` You could melt down one Belarus and make three American tractors with the amount of metal the Russians have put in it , '' he says .",you,melt,belarus,1,1
But there were stumbling blocks from the start .,there,stumbling,blocks,1,1
"`` A strong opening in platinum coupled with a weak dollar just grabbed gold by the horns and took it on up , '' he said .",opening,grabbed,gold,1,1
`` I 'm quite sure there was someone within the IBM structure that could have just reached in and fixed it . '',structure,fixed,it,1,1
"Nevertheless , they continue to pump money into the market .",they,pump,money,1,1
"The message was programmed to be seen only once -- on March 2 -- `` then it killed itself , '' she said .",it,killed,itself,1,1
"During the past 18 months , the Houston-based unit of Texas Air Corp. absorbed several carriers , in the process inheriting a hodge-podge of different aircraft .",unit,absorbed,carriers,1,1
"`` I do n't think anyone liked the Nissan campaign , but they went out of their way not to knock it , '' says Eli Bloom , the New York GM dealer who sits on the selection committee . -LRB- Mr .",they,knock,it,1,1
"`` That remark -LRB- of the official -RRB- definitely cooled the heels of the bulls , '' said Paul Clohesy , chief dealer at Australia and New Zealand Banking Group Ltd. in New York .",remark,cooled,heels,1,1
"The subject is Oedipus 's death , and perhaps because death is the one thing that still fills us with awe , the excellence of this scene transmits a shiver of the tragedy 's original force .",that,fills,us,1,1
"The issue is particularly hot in Florida , where a coalition of civic leaders , civil libertarians and Hispanic groups went to federal court recently in an unsuccessful attempt to knock the proposed amendment off the ballot .",attempt,knock,amendment,1,1
"There was market speculation yesterday that senior officials of Olympia & York may have met secretly with Michael D. Dingman , chairman and chief executive officer of Henley , in an effort to smooth over a rift between the two one-time suitors for Santa Fe , a Chicago-based railroad and energy concern .",effort,smooth,rift,1,1
The Pac Man defense is named after the video game in which characters try to eat other characters before they get eaten themselves .,they,eaten,themselves,1,1
"Unself-consciously , the littlest cast member with the big voice steps into the audience in one number to open her wide cat-eyes and throat to melt the heart of one lucky patron each night .",member,melt,heart,1,1
They have had to learn through the press about the sweet terms he had struck for himself and his small management group .,he,struck,for,1,1
It was a fight that filled magazines and books and gave professors case histories for business schools .,that,filled,books,1,1
"To air fresh shows through June , `` we 'd have to eat the second showing of some episodes , '' he said , which would cause a financial hit .",we,eat,showing,1,1
"The lower court had enjoined the effect of its decision , pending the appeal , but the appeals court dissolved the injunction .",court,dissolved,injunction,1,1
Mr. Hauke `` is looking for a much more costly repair that is nonstandard and would knock the price beyond the the { $ 500} limit for a buy-back . '',repair,knock,price,1,1
They are irate about new capital-adequacy requirements that force securities firms to pump at least 20 % more capital into reserves .,requirements,pump,%,1,1
"When the chairman of Santa Fe Southern Pacific Corp. flew into town a few months ago in the corporate jet , a small group of trainmen here knew they had struck a raw nerve .",they,struck,nerve,1,1
"Meanwhile , the discounters and specialty stores that have grabbed sales from Sears in recent years are n't likely to stand still while it tries to catch up .",that,grabbed,sales,1,1
"In recent years , Drexel has poured far more resources into areas such as high-yield , `` junk '' bonds , merger and acquisition advice and mortgage-backed securities .",drexel,poured,resources,1,1
"FIAT S.P.A . , the Italian auto maker , said it agreed to step up its collaboration with CIA. TELEFONICA NACIONAL DE ESPANA S.A. of Spain in the manufacturing of telecommunications equipment .",it,step,collaboration,1,1
But Mr. Sherlund said he thinks the company has taken steps to fix that problem .,steps,fix,problem,1,1
The oil-service business has been dragging the company 's stock price down since the oil industry peaked in 1981 .,business,dragging,price,1,1
Texas Air said the sale of the hourly New York-Boston-Washington shuttle is intended to pump cash into long-ailing Eastern .,sale,pump,cash,1,1
Both the government and private industry have stepped up efforts to recruit back to Korea scientists who were trained and then stayed abroad .,industry,stepped,efforts,1,1
The Bank of England added that it is `` too early to be sure '' whether the British government 's recent efforts to cool down Britain 's overheated economy `` will prove sufficient to restore the economy to a sustainable path . '',efforts,cool,economy,1,1
"Shortly afterward , Bob Adams Inc. in Boston flooded 21 universities nationwide with 10 , 000 copies of its annual two bits of advice , a publication called `` Careers and the M.B.A . ''",inc.,flooded,universities,1,1
Investors ' fears have touched the bonds of companies not immediately identified as takeover targets .,fears,touched,bonds,1,1
"Critics argue that Barclays 's expansion simply will fill its loan book with bad debts nobody else wants , a contention bank officials dispute .",expansion,fill,book,1,1
"`` I thought I was eating him alive , '' recalled a rueful Mr. Bailey of a long-ago debate .",i,eating,him,1,1
"In his previous handling of the case , Judge Brieant roundly attacked the merits of the Pennzoil judgment .",brieant,attacked,merits,1,1
"And the $ 300 million sunflower industry is faring far worse than the $ 10.5 billion soybean industry , which is large enough to absorb short-term setbacks .",industry,absorb,setbacks,1,1
"He adds , `` We 're trying very hard to avoid the Halley 's comet syndrome -- where you grab everything in sight and then you vanish . ''",you,grab,everything,1,1
"Fed officials hope for signs soon that the economy is slowing , which would cool the need for further rate increases .",which,cool,need,1,1
