sentence,correct_label,prediction
Organismo autonomo encargado del cumplimiento de las reglas que garantizan la participacion politica de la ciudadania y es responsable de organizar y  los  en el estado.,0,1
"Por último, Aguilera Ortíz informó que en su visita, el Dirigente Nacional de Convergencia le tomará protesta a Agapito Arellano Ponce como Presidente del Consejo Consultivo de Querétaro, órgano encargado de recolectar propuestas ciudadanas para la  de , de cara a las siguientes elecciones.",0,1
La  se  por una ley especial.,0,1
"Un reporte del Instituto de las Américas, dedicado a la investigación de políticas públicas de los países de América Latina y el Caribe, en el que hace recomendaciones para la implementación de una  de  en México, señala que es necesario desarrollar una estrategia nacional para la utilización de las tecnologías de la información en el quehacer gubernamental.",0,1
Sin trabajo Real democracia Obama y Kennedy Fin de la era Bush Familias distintas Nueva devaluación “ es el  de hacer imposible lo posible”.,0,1
"La diversión patológica y ocurrencias de quien aún ocupa las cabañas de Los Pinos, no puede terminar con ""borrón y cuenta nueva"" por quien, se presume, asumirá la inmoral presidencia legalizada por La Tremenda Corte, después de un proceso electoral profundamente irregular, en el que los principios elementales para el juego democrático fueron pulverizados por un IFE delincuencial en manos de un lacayo de Elba Esther Gordillo, El Chuky Luis Carlos Ugalde, quien demostró no sólo ser un pésimo aprendiz de mago, sino un mediocre  .",0,1
"Morales Orozco, rector de la jesuita y voraz Universidad Iberoamericana, que   a manos llenas con los despojos de la enseñanza pública y que se afilan alegremente las garras con las nuevas ganancias que esperan obtener si se aprueba la medida—. También manifestaron su repudio",0,1
"Contradictoriamente, la necesidad de iniciar una transición hacia formas más  de  de la sociedad mexicana, que permitiera contrarrestar la presión de los movimientos independientes, radicales o no, se volvió una necesidad imperiosa, a riesgo de que se incrementaran los canales no institucionales de participación de la sociedad.",0,1
"La gravedad de la situación es aún más comprensible, si se tiene en cuenta que ""ya el mero pago de los intereses es un peso sobre la economía de las naciones pobres, que quita a las autoridades la  del  necesario para el desarrollo social, la educación, la sanidad y la institución de un depósito para crear trabajo""(61).",0,1
"Para ubicar el papel que desempeña dentro de la sociedad el Contador Público como tal, es importante retroceder en el tiempo y  la  en que se generó esta profesión.",0,1
"A nadie se oculta que la carestía de los alquileres y el alto precio de los lotes urbanos y suburbanos, así como de los materiales de construcción, y sin que tenga la menor parte en este   el inmoderado afán de lucro de la mayoría de los propietarios, han puesto las casas destinadas a habitación fuera del alcance no ya de los obreros a jornal, sino aun de los empleados y de las familias de la clase media, cuyos elementos de subsistencia no se hallan en relación con las necesidades actuales de la vida.",0,1
"Las elecciones en vez de ser factor de unidad, es un espacio  para practicar tae kwon do entre actores políticos  rudos,  generando  de .",0,1
"Máster en Finanzas Instituto Universitario de Posgrado - Sede México de conflictos con proveedores, clientes u otras empresas que son el resultado de relaciones contractuales, o de contratos mal...: Fomentar en los estudiantes el desarrollo de su capacidad analítica, imprescindible en el  de la  y administración...",0,1
"Ante la controversia constitucional interpuesta por el Ejecutivo federal el pasado diciembre de 2004 en materia del Presupuesto de Egresos de la Federación de 2005, es preciso dotar al Congreso de la Unión de las herramientas de análisis, modificación y aprobación del Plan Nacional de Desarrollo (PND) y con ello lograr la  de la  participativa en un ámbito tan importante como lo es el proyecto de nación.",0,1
"Toda vez que no existe ningún órgano jurídico intermedio, lo apropiado es que las impugnaciones se presenten directamente ante la Sala Superior del Tribunal Electoral del Poder Judicial de la Federación, aceptando, desde luego, que los  de esa  serán definitivos e inapelables.",0,1
"De ellos, 300 son electos por el principio de votación mayoritaria relativa, mediante el sistema de distritos electorales uninominales; y 200 más, electos según el principio de representación proporcional, mediante el  de listas regionales  en circunscripciones plurinominales.",0,1
"No  nuevos , hace que la gente no pida   nuevos impuestos sin importar lo que pueda ocurrir de la economía.",0,1
El  a los ingresos brutos es un  provincial que grava básicamente las ventas realizadas en el territorio provincial.,0,1
"Ellos apenas se verán afectados con las restricciones a la deducibilidad de los donativos —hasta por un monto que no exceda 7 por ciento de la   de las empresas y los ingresos acumulables de las personas físicas que sirvan de base para calcular el ISR—. La religiosa “caridad” de Televisa, TV Azteca o Telmex —que les deja jugosos beneficios, a menudo con el dinero ajeno—, a costa de la elusión impositiva, fue mancillada.",0,1
También cursan en su contra 22 procesos más por evasión y  de  y por las anomalías del préstamo que obtuvieron en la Dirección de Estupefacientes y que EL TIEMPO reveló en agosto de 2007.,0,1
"No drogas, no ,  compromisos.",0,1
"El Plan Nacional de Desarrollo establece que la educación es el instrumento más adecuado para brindar a todo mexicano oportunidades de desarrollo personal y de elevar su calidad de vida, para  la  y la marginación, incrementando así el capital humano de la nación.",0,1
La  es una  socioeconómica y política en la cual las personas viven con muy bajos niveles de bienestar.,0,1
"Nuestros diputados,Senadores y Jefes de Estado, deberìan bajarse tambien los sueldos para que  la .",0,1
"""No tengo la menor duda de que en el PAN puede surgir la tentación de montarse en el proyecto, en el programa anticrisis del presidente Calderón para obtener  "", pero ""espero que no lo haga, que no deforme la intención de los anuncios del Gobierno federal"", agregó.",0,1
Hay que tener claro también que una cosa es el  de la  rural y otra cosa es el asunto de la producción agropecuaria.,0,1
"Esta discusión se originó por diversos estudios -primordialmente de los profesores Riggs y Linz- de carácter estadístico en los cuales resaltan que, durante los años sesenta y setenta, mientras diversas democracias de sistema presidencial fracasaron, las de   mantuvieron su estabilidad.",0,1
"Ampliar la imagen El director gerente del FMI, Rodrigo Rato, durante la inauguración de la sesión plenaria de ese organismo, realizada en Singapur, donde se autorizó que México, China, Corea del Sur y Turquía incrementaran su  de voto Foto: Ap Al Fondo Monetario Internacional (FMI) y a las naciones que lo controlan les encanta jugar a la , a la democracia de a mentiritas.",0,1
"Si, aún cuando parece irrelevante, se  , por que yo pago por mi conexión a internet, pago por tener un servidor de internet en el que me cobran por la cantidad de información que se mueve por mi servidor y resulta que el porcentaje de correos que ahora circulan por mi servidor de correo es un 70% spam y 30% correo destinado a mi lo cual se traduce en que yo estoy pagando por que esta gente me mande información que no me sirve de nada y eso, como quiera que lo vean es un abuso.",0,1
Organismo autonomo encargado del cumplimiento de las reglas que garantizan la participacion politica de la ciudadania y es responsable de organizar y  los  en el estado.,0,1
"La  miente siempre, ni autocrítica ni leches en .",0,1
