verbs,sentences,preds,true
absorb,"An Energy Department spokesman says the sulfur dioxide might be simultaneously recoverable through the use of powdered limestone , which tends to absorb the sulfur ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
absorb,The yellow beta carotene pigment absorbs blue -LRB- not yellow -RRB- laser light ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
absorb,"This time , the ground absorbed the shock waves enough to transfer her images to the metal in bas - relief ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
absorb,"'' Vitamins could be passed right out of the body without being absorbed , '' he says ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"In Greece , an official said the terrorists who attacked the liner in the Aegean Sea may have been pro - Iranian Arabs trying to hijack it ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,Phalanx can be overwhelmed when a ship is attacked by several missiles at once -LRB- the Stark was struck by two Exocets -RRB- ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"The administration tried again in mid-1987 , suspending military and economic aid to Panama after rioters , led by some government officials , attacked the American Embassy in Panama City ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,The ship had n't attacked U.S .- flag vessels or been involved in mine - laying ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"Iranian gunboats attacked an Indian tanker in the Persian Gulf , setting the vessel ablaze and wounding at least one crew member , gulf - based shipping executives reported ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"In northern Nicaragua , Honduran jets attacked a Sandinista military headquarters ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"Rioting Iranians attacked the Soviet Union 's Embassy in Tehran , accusing Moscow of supplying Iraq with missiles used in recent raids on Iran ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"In the Persian Gulf , Iran twice attacked a Norwegian tanker ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,His antics once provoked an elderly ruling - party legislator to attack him with a cane ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,Pakistani cheating could prompt Moscow to declare the accords void or to attack Afghan - resistance camps in Pakistan ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"These Protestants retaliate by physically attacking Catholics , Mr. Donnelly says ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,"On Friday , Commander Abdul Haq 's troops attacked Kabul Airport with new Sacher incendiary rockets ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
cool,"You have to build up the equipment to a certain power level , test it , cool it down , then possibly repair it , and it may take months to bring it up again . '",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
cool,"For an auto , Mr. Loehrke envisions the warm end of the pipe heated by the radiator and the condenser end cooled by the outside air ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
cool,"Then again , other gases might cause a lot of clouds to form , blocking sunlight and cooling things off ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
cool,Heavy water is used to control and cool the reaction of small research reactors ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
cool,Beer flowed from big pitchers as a cooling obbligato to the hot sounds ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
cool,The mold is then cooled and dried and the lid peeled off ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
dance,"Twenty - eight thousand buildings were leveled in the quake , but a few years later , 20 , 500 new ones had been built , and people of the reborn city were dancing in the streets ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
dance,Anyone can dance the hokey - pokey ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
dance,"Then watch women dancing nude at Tattletales , a blue - collar strip joint down the road with trucks outside and a Welcome Democrats sign on the roof ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
dance,"When they 're not in front of the camera , the Toons sing and dance at their version of Harlem 's Cotton Club ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
dance,"Even as danced by four of ABT 's most talented males , John Gardner , Robert Hill , Kevin McKenzie and the astonishingly agile Robert Wallace , Mr. Tippet 's latest work is tough going ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
dance,"Whether these dancers could ever meet the requirements of '' Raymonda Variations '' and '' Symphony in C , '' the ballets they danced in New York , is doubtful ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
dance,"Television commercials expected to air in mid - April in New York and Miami will feature the homespun pair dancing the salsa , advertising sources said ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
dance,"Mr. Waters sets his sights on the '' hairhoppers , '' the polished amateurs who dance on '' The Corny Collins Show , '' his version of '' American Bandstand . '",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000
