sentence,verb,verb_idx,correct_label,prediction
"It 's little wonder , then , that Susan has taken to escaping into the company of her delightfully charming , exceedingly attractive , immensely rich fantasy family : an adoring husband , a devoted daughter and a frothy younger brother whose only occupation in life is to pour yet another round of champagne -- '' champers , '' as he prefers to call it -- for the four of them ",escape,12,0,1
"American officials have concluded that the Kuwaiti hijacking is the work of a Lebanese Shiite terrorist named Imad Mugniyah who has been trying for more than four years to free his wife 's brother from prison in Kuwait , where he was convicted in 1984 of building a bomb used to attack the U.S. Embassy ",attack,51,0,1
"Despite the problem , the Daedalus is almost ready for its main mission : a recreation this spring of the flight of the mythological Greek inventor Daedalus , who escaped from prison on the island of Crete by making wax - and - feather wings and flying 70 miles to the mainland of Greece ",escape,29,0,1
"Mr. Della Femina became a fixture on TV news reports about acquired immune deficiency syndrome , for example , after his agency created the line , '' I enjoy sex , but I ' m not ready to die for it , '' for LifeStyles condoms ",die,38,0,1
"Carl C. Icahn , Texaco Inc. 's major shareholder , sued to dissolve the company 's agreement with Pennzoil Co. that bars Pennzoil from supporting his reorganization plan for Texaco ",dissolve,12,0,1
"You may withdraw cash temporarily from an individual retirement account and escape a tax or penalty , if you roll it all over into another IRA in 60 days ",escape,11,0,1
I confess I fear word will get out that '' the man in the green house is a soft touch '' -- and that I will soon have several '' Clints '' knocking on my door ,knock,32,0,1
"Director John McTiernan -LRB- '' Predator '' -RRB- has efficiently slapped together the ingredients for a big , ear - shattering action film : slick , heavily armed villains ; a wife in peril ; stupid TV journalists who only make things worse ; a renegade cop who singlehandedly destroys the bad guys against impossible odds ",destroy,49,0,1
"At least Mr. Gay is honest enough , in this instance , to acknowledge that Freud 's entire '' psychoanalysis '' of Leonardo rested on the mistranslation of an Italian word into the German text that served as Freud 's source -- and that '' this gaffe , '' though first pointed out in 1923 , was '' never acknowledged by Freud . . . '",rest,23,0,1
"At the same time , Coleco 's diversification plan -- which industry analysts approve of as a way to smooth out the company 's ups and down of the past -- has been disappointing so far ",smooth,19,0,1
"The exception was Mr. Takeshita 's predecessor , Yasuhiro Nakasone , who stepped down in October after five years ",step,12,0,1
"It concluded that some 9 % of the population , or 1.5 million people , probably has been killed ",kill,18,0,1
