sentence,pos_seq,genre,preds,true
get,['VERB'],conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
They 're treating,"['PRON', 'VERB', 'VERB']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
You mean Stuey 's got time !,"['PRON', 'VERB', 'PROPN', 'PART', 'VERB', 'NOUN', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Come on .,"['VERB', 'PART', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
See if you want anything up town .,"['VERB', 'ADP', 'PRON', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
got,['VERB'],conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Ã¢ÂÂ Oh hell , I shall have to go .","['NOUN', 'INTJ', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'VERB', 'PART', 'VERB', 'PUNCT']",fiction,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
He walks without a backward glance .,"['PRON', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']",fiction,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Sentue takes a few moments to reply .,"['PROPN', 'VERB', 'DET', 'ADJ', 'NOUN', 'PART', 'VERB', 'PUNCT']",fiction,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Perhaps we must make similar choices .,"['ADV', 'PRON', 'VERB', 'VERB', 'ADJ', 'NOUN', 'PUNCT']",academic,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
