nouns,verbs,sentences,preds,true
cost,absorb, He absorbed the costs for the accident .,01000000000000000000,01000000000000000000
system,abuse, Do n't abuse the system .,00100000000000000000,00100000000000000000
inheritance,ascend, Inheritance may not ascend linearly .,00010000000000000000,00010000000000000000
press,besiege, The press photographers besieged the movie star .,00010000000000000000,00010000000000000000
food,bolt, Do n't bolt your food !,00100000000000000000,00100000000000000000
people,bounce, The ex - boxer 's job is to bounce people who want to enter this private club .,00000000100000000000,00000000100000000000
suspense,build, Suspense was building right from the beginning of the opera .,00100000000000000000,00100000000000000000
nation,build, build a modern nation .,10000000000000000000,10000000000000000000
essence,capture, capture the essence of Spring   .,10000000000000000000,10000000000000000000
heart,capture, She captured all the men 's hearts .,01000000000000000000,01000000000000000000
doorknob,claw, She clawed the doorknob .,01000000000000000000,01000000000000000000
price,climb, Sales were climbing after prices were lowered .,00100000000000000000,00100000000000000000
face,cloud, Their faces were clouded with sadness .,00010000000000000000,00010000000000000000
liquid,cloud, The chemical clouded the liquid to which it was added .,00100000000000000000,00100000000000000000
disease,communicate, communicate a disease .,10000000000000000000,10000000000000000000
content,condense, condense the contents of a book into a summary .,10000000000000000000,10000000000000000000
earthquake,convulse, earthquakes convulsed the countryside .,01000000000000000000,01000000000000000000
market,drift, The stock market drifted upward .,00010000000000000000,00010000000000000000
word,drink, The mother drinks in every word of her son on the stage .,00100000000000000000,00100000000000000000
result,emerge, Some nice results emerged from the study .,00010000000000000000,00010000000000000000
idea,float, The Republicans are floating the idea of a tax reform .,00010000000000000000,00010000000000000000
dancer,float, The dancer floated across the stage .,00100000000000000000,00100000000000000000
champagne,flow, The champagne flowed at the wedding .,00100000000000000000,00100000000000000000
language,fracture, This writer really fractures the language .,00010000000000000000,00010000000000000000
boy,gravitate, Boys gravitate towards girls at that age .,01000000000000000000,01000000000000000000
tear,gutter, Tears guttered down her face .,01000000000000000000,01000000000000000000
immigrant,hunt, They hunted the unwanted immigrants out of the neighborhood .,01000000000000000000,01000000000000000000
plant,immigrate, only few plants can immigrate to the island .,00001000000000000000,00001000000000000000
problem,inherit, The new chairman inherited many problems from the previous chair .,00010000000000000000,00010000000000000000
dollar,kite, The businessman kited millions of dollars .,00100000000000000000,00100000000000000000
criticism,level, level criticism or charges at somebody .,10000000000000000000,10000000000000000000
fate,lie, The fate of Bosnia lies in the hands of the West .,00001000000000000000,00001000000000000000
tree,line, trees line the riverbank .,01000000000000000000,01000000000000000000
sorrow,line, sorrow had lined his face .,00100000000000000000,00100000000000000000
contribution,match, The company matched the employees ' contributions .,00100000000000000000,00100000000000000000
actor,melt, Hundreds of actors were melting into the scene .,00001000000000000000,00001000000000000000
campaign,mount, mount a campaign against pornography .,10000000000000000000,10000000000000000000
production,mount, mount a theater production .,10000000000000000000,10000000000000000000
mountain,negociate, The hiker negociated the high mountain pass .,00100000000000000000,00100000000000000000
republic,neutralize, The treaty neutralized the small republic .,00100000000000000000,00100000000000000000
optimism,neutralize, Her optimism neutralizes his gloom .,00100000000000000000,00100000000000000000
scream,pierce, The scream pierced the night .,00100000000000000000,00100000000000000000
student,plunge, The professor plunged his students into the study of the Italian text .,00100000000000000000,00100000000000000000
mind,poison, poison someone 's mind .,10000000000000000000,10000000000000000000
water,pound, The locks pound the water of the canal .,00100000000000000000,00100000000000000000
people,pour, People were pouring out of the theater .,00100000000000000000,00100000000000000000
crisis,precipitate, The crisis precipitated by Russia 's revolution .,00100000000000000000,00100000000000000000
fifty,push, She is pushing fifty .,00100000000000000000,00100000000000000000
image,recast, She had to recast her image to please the electorate in her home state .,00010000000000000000,00010000000000000000
fame,redound, Fame redounds to the heroes .,01000000000000000000,01000000000000000000
interest,revive, Interest in ESP revived .,00010000000000000000,00010000000000000000
style,revive, He revived this style of opera .,01000000000000000000,01000000000000000000
tornado,rip, The tornado ripped along the coast .,00100000000000000000,00100000000000000000
intern,rotate, Interns have to rotate for a few months .,00010000000000000000,00010000000000000000
crop,rotate, We rotate the crops so as to maximize the use of the soil .,01000000000000000000,01000000000000000000
field,salt, the rebels had salted the fields with mines and traps .,00010000000000000000,00010000000000000000
lecture,salt, She salts her lectures with jokes .,01000000000000000000,01000000000000000000
stench,salute, a terrible stench saluted our nostrils .,00010000000000000000,00010000000000000000
sky,scan, The beams scanned the night sky .,00100000000000000000,00100000000000000000
debate,sharpen, The debate sharpened .,00100000000000000000,00100000000000000000
soldier,sift, The soldiers sifted through the woods .,00100000000000000000,00100000000000000000
information,sift, He sifted the information .,01000000000000000000,01000000000000000000
candidate,sift, They sifted through the job candidates .,01000000000000000000,01000000000000000000
ring,smash, The police smashed the drug ring after they were tipped off .,00100000000000000000,00100000000000000000
idea,square, one idea squares with the other one .,00100000000000000000,00100000000000000000
teacher,steamroller, The new teacher tends to steamroller .,00000100000000000000,00000100000000000000
worker,suck, The current boom in the economy sucked many workers in from abroad .,00000010000000000000,00000010000000000000
meat,swim, the meat was swimming in a fatty gravy .,00010000000000000000,00010000000000000000
verse,tack, He tacked together some verses .,01000000000000000000,01000000000000000000
democracy,uproot, The vestiges of political democracy were soon uprooted .,00000001000000000000,00000001000000000000
success,wallow, wallow in your success !,10000000000000000000,10000000000000000000
smile,wear, He always wears a smile .,00100000000000000000,00100000000000000000
bullet,whistle, The bullets whistled past him .,00100000000000000000,00100000000000000000
society,ferment, Islam is fermenting Africa .,00100000000000000000,00100000000000000000
