verbs,sentences,preds,true
die,About 25 % of those children die of liver cancer or cirrhosis ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000001000000000000000000000000000000000000000000000000000000000000000000000000000
die,"Immune - suppressed children often die of illnesses like chicken pox , meningitis , measles and pneumonia ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000010000000000000000000000000000000000000000000000000000000000000000000000000000
drag,"In the latter instance , a man dressed as Christ and dragging a cross was in the demonstration ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000010000000000000000000000000000000000000000000000000000000000000000000000
drink,"And true to German tradition , the club has its own Stammtisch , a table at a local beer hall where club members gather once a week to drink and gab ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000100000000000000000000000000000000000000000000000000000
eat,"Another regular , bundled in a brown cape , his feet wrapped in cloth , was seen touching all the bread in the basket '' hoping no one else will eat it , '' says Mrs. Howell ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000001000000000000000000000000000000000000000000000000000
eat,"I smoke too much , am constantly coughing , never eat , always sit around in a daze ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000100000000000000000000000000000000000000000000000000000000000000000000000
eat,"The first two days , Dr. Kroll collapsed into his sleeping bag and had to be awakened to eat ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000001000000000000000000000000000000000000000000000000000000000000000
eat,"Here , they can eat gourmet kosher food and swim at a beach that is partitioned with a curtain -- one side for men , the other for women ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000100000000000000000000000000000000000000000000000000000000000000000000000000000
fill,"Mr. Cossa 's grain bin may be filling up , but just last month another 100 peasants -- looking for food and security -- moved into the village to escape the fighting in the countryside ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000100000000000000000000000000000000000000000000000000000000000000000000000000
fix,"Under prospective payment , the charges are fixed in advance , and hospitals can no longer play Robin Hood ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000100000000000000000000000000000000000000000000000000000000000000000000000000
fly,"Under a temporary restraining order entered early this month , Judge Parker barred Eastern from eliminating the jobs , but specifically permitted the company to cut its flying ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000001000000000000000000000000000000000000000000000000000000
fly,"Orion , a contract carrier which formerly flew for United Parcel Service , had agreed to replace Eastern pilots if they followed the machinists on a walkout ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000100000000000000000000000000000000000000000000000000000000000000000000000000
grab,"When she hears that prisoners sometimes carve their names into logs that float downriver , she grabs her child and runs with her to the river ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000100000000000000000000000000000000000000000000000000000000000000000
grab,"At one point , the shark disappears , then roars up from the deep to snatch a big chunk of horsemeat on the surface , the way it might grab an unsuspecting sea lion ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000010000000000000000000000000000000000000000000000000000
kick,"These interludes show Asta kicking her heels while bicycling in the country , splish - splashing merrily in a pond ; they have the emotional depth of a Tampax commercial , which they resemble ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000100000000000000000000000000000000000000000000000000000000000000000000000000000
kick,"When he kicks the pipe holding water back from Milagro , the water floods his dying bean field ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010000000000000000000000000000000000000000000000000000000000000000000000000000000
kill,Mr. Brooks tape - recorded one of the men present at the meeting saying that he believes Indians ritualistically kill and mutilate one another ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000100000000000000000000000000000000000000000000000000000000000000
kill,"More than 80 people were detained in the protests , in which an estimated 14 people were killed ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000010000000000000000000000000000000000000000000000000000000000000000
kill,"Separately , a Kurdish group claimed responsibility for the downing of a West German airliner in Turkey Saturday in which 16 were killed ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000100000000000000000000000000000000000000000000000000000000000
lend,Capital is no problem ; banks and insurance companies are eager to lend money to potential buyers ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000001000000000000000000000000000000000000000000000000000000000000000000000
miss,"'' Ray Shaw is an exceptionally talented newsman and business executive and definitely will be missed , '' Mr. Phillips said ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000001000000000000000000000000000000000000000000000000000000000000000000
play,Publisher Thomas Valentino complains BMI paid him just $ 12 when a piece he handled was played on the nationally syndicated program '' Lifestyles of the Rich and Famous . ',0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000100000000000000000000000000000000000000000000000000000000000000000
pump,"Wolverine also said the Wyoming well is being pumped at a rate of 255 barrels of oil a day from a depth of 7 , 260 feet ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000010000000000000000000000000000000000000000000000000000000000000000000000000
rain,"And , he says ominously , there is always the problem of what to do if the Army diverts water into the rivers and it starts to rain ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000001000000000000000000000000000000000000000000000000000000
rain,"Beginning this week , says Steve Freed , an agricultural analyst for Dean Witter Reynolds in Chicago , the corn yield will drop 5 % for every week it rains less than normal ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000010000000000000000000000000000000000000000000000000000
rest,"Efforts to improve on - board bedding are aimed not at passengers but at pilots and cabin staff , who are supposed to get a chance to rest after working a certain number of hours ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000001000000000000000000000000000000000000000000000000000000
sleep,"On a work visit to a small town , she elected to spend the night at the home of a friend 's father rather than sleep on the floor , commune - style , with her colleagues ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000100000000000000000000000000000000000000000000000000000000
sleep,"Now he relies on a rather uncomfortable machine to force air down his trachea , but he is sleeping better than ever , and so is Mrs. Ponce ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000001000000000000000000000000000000000000000000000000000000000000000
step,"But his uncle tells the story : When the family arrived , the boy went out exploring near the abandoned base and stepped on a mine ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000100000000000000000000000000000000000000000000000000000000000
step,"After his third cup of tea , Abideen reluctantly rises to go , readjusting his veil before stepping from the hut ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000010000000000000000000000000000000000000000000000000000000000000000
step,"When meetings are winding down , one software developer sometimes steps into the hall and tells his driver to be ready to pick him up ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000100000000000000000000000000000000000000000000000000000000000000000000000
absorb,Shocks from one - time changes in the terms of trade should be absorbed by adjustments in exchange - rate terms -- not price levels ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000100000000000000000000000000000000000000000000000000000000000000000000
absorb,"While the rest of the nation watched with mere curiosity or slight concern , the nation 's fourth - largest city was thoroughly absorbed by the approach of Hurricane Gilbert ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000010000000000000000000000000000000000000000000000000000000000
absorb,The clearance came as a notary approved Ferruzzi 's plan to absorb Iniziativa Me . T.A ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000010000000000000000000000000000000000000000000000000000000000000000000000
absorb,"If his style after the strikes of last May indicates anything , Gen. Jaruzelski has n't absorbed that ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000100000000000000000000000000000000000000000000000000000000000000000
absorb,"In 1946 , Stalin in his campaign to break Ukrainian nationalism brutally forced the Russian Orthodox Church to absorb the Ukrainian Catholic Church ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000001000000000000000000000000000000000000000000000000000000000000000
attack,'' A Bright Shining Lie '' will be attacked by those who have trimmed their judgments to this decade 's prevailing winds ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000010000000000000000000000000000000000000000000000000000000000000000000000000
attack,"Their report , to be published here Saturday in the Lancet , a leading British medical journal , immediately was attacked by some radiation specialists as too optimistic ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000010000000000000000000000000000000000000000000000000000000000000
attack,"On the stage , looking tired from ceaseless concertizing at just about every summer festival there is , Vladimir Feltsman attacked his recital program with typical confidence and power ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000010000000000000000000000000000000000000000000000000000000000000
attack,"If so , human cells may also make similar proteins -- potentially confusing immune cells that target foreign stress proteins and inducing them to attack a person 's own cells ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000001000000000000000000000000000000000000000000000000000000000
attack,The virus attacked Argonne National Laboratory outside Chicago starting at 11:54 p.m. EST Wednesday and throughout the night ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010000000000000000000000000000000000000000000000000000000000000000000000000000000
attack,Farmers also has questioned B.A.T 's ability to manage insurance operations and attacked its presence in South Africa ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000001000000000000000000000000000000000000000000000000000000000000000000000
besiege,"'' I 'd heard about Powelson from another classicist at the University of Maryland , and then Powelson began to besiege me with letters asking for an invitation , '' Mr. Ambrose says ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000010000000000000000000000000000000000000000000000000000000000000
besiege,"NTN Toyo Bearing Co . , a Japanese firm with plants in the U.S . , is being besieged by potential buyers and has lead times of seven to 13 months ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000001000000000000000000000000000000000000000000000000000000000000000
cool,The suit alleged that Tamiami Gun Shop broke Florida gun laws by selling Mr. Katz the gun without the required 48-hour '' cooling off '' period ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000100000000000000000000000000000000000000000000000000000000000
cool,The result : Some car makers are cooling their hot rods ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000100000000000000000000000000000000000000000000000000000000000000000000000000
cool,"He also said that if the dispute ca n't be settled by the end of the new cooling off period , Messrs ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000010000000000000000000000000000000000000000000000000000000000000000
dance,'' You 're not going to be able to dance and diddle here . ',0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000001000000000000000000000000000000000000000000000000000000000000000000000000
dance,He just might dance into the 1990s ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0001000000000000000000000000000000000000000000000000000000000000000000000000000000
dance,"He proposed what ministers in many countries have only danced around -- movement toward a global fixed - rate system , possibly linked to gold ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000001000000000000000000000000000000000000000000000000000000000000000000000000
destroy,'' Any company in this market that hiccups is just destroyed ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000100000000000000000000000000000000000000000000000000000000000000000000000
destroy,"The two - year - old program designed principally to stem soil erosion is reducing American exports , destroying jobs , and squandering billions of dollars on a pseudo - problem ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000001000000000000000000000000000000000000000000000000000000000000000
destroy,"This destroys cancerous cells but also wipes out the patient 's '' good '' white blood cells that guard the immune system , leaving a patient vulnerable for almost a month to death by infection ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0100000000000000000000000000000000000000000000000000000000000000000000000000000000
destroy,"Second , the U.S. has tried to squeeze Panama 's economy without destroying it , both to spare ordinary Panamanians further suffering and to permit recovery once Gen. Noriega goes ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000001000000000000000000000000000000000000000000000000000000000000000000000
destroy,"'' It would be much too much to say this will destroy either the parent company or { Cosmos } , '' says Dan Nielsen , an analyst with SBCI Securities -LRB- Asia -RRB- Ltd ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000010000000000000000000000000000000000000000000000000000000000000000000000
destroy,"An example : Last fall , Joseph Biden 's campaign was destroyed after a leaked videotape showed similarities between his speech and one given by British Labor Party leader Neil Kinnock ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000010000000000000000000000000000000000000000000000000000000000000000000000
