sentence,pos_seq,genre,preds,true
It 's been invaded .,"['PRON', 'VERB', 'VERB', 'VERB', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Inland of La Rochelle , you say ; north of Cognac and east of Limoges .","['PROPN', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'PRON', 'VERB', 'PUNCT', 'ADV', 'ADP', 'PROPN', 'CCONJ', 'NOUN', 'ADP', 'PROPN', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"St Jean-d'Angely is a charming little town : there are good shops as well as half-timbered houses along its narrow old streets , one spanned by an ancient bell-tower .","['PROPN', 'PROPN', 'VERB', 'DET', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'ADV', 'VERB', 'ADJ', 'NOUN', 'ADV', 'ADV', 'ADP', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'NUM', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Stephen Gold explains,"['PROPN', 'PROPN', 'VERB']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
It does n't matter .,"['PRON', 'VERB', 'ADV', 'VERB', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
The friend found one at a garage .,"['DET', 'NOUN', 'VERB', 'NUM', 'ADP', 'DET', 'NOUN', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Mercifully , we doubt it !","['ADV', 'PUNCT', 'PRON', 'VERB', 'PRON', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
It is a good time to plant hardy shrubs too .,"['PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'PART', 'VERB', 'ADJ', 'NOUN', 'ADV', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
They move in today .,"['PRON', 'VERB', 'ADP', 'NOUN', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Our latest Foreign Secretary has yet to publicly pick up the file marked Hong Kong .,"['ADJ', 'ADJ', 'PROPN', 'PROPN', 'VERB', 'ADV', 'PART', 'ADV', 'VERB', 'PART', 'DET', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Name badges are worn by staff .,"['NOUN', 'NOUN', 'VERB', 'VERB', 'ADP', 'NOUN', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Others are not so well informed .,"['NOUN', 'VERB', 'ADV', 'ADV', 'ADV', 'ADJ', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
He shrugged .,"['PRON', 'VERB', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Certainly the incinerator seems well controlled .,"['ADV', 'DET', 'NOUN', 'VERB', 'ADV', 'VERB', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Certainly there is no scientific evidence that living nearby increases the risk of sickness .,"['ADV', 'ADV', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'VERB', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"MUSICALS / Bows of Holly : Mark Steyn reviews London 's latest musical biography , Buddy , at The Victoria Palace","['PROPN', 'SYM', 'PROPN', 'ADP', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'VERB', 'PROPN', 'PART', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'ADP', 'DET', 'PROPN', 'PROPN']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"THE TEXANS drawl Ã¢ÂÂ Y'all , blacks go Ã¢ÂÂ Yo , Hispanics leer Ã¢ÂÂ Hey , ameeeeeeeego ! .","['DET', 'PROPN', 'VERB', 'NOUN', 'DET', 'PUNCT', 'NOUN', 'VERB', 'ADV', 'PROPN', 'PUNCT', 'PROPN', 'VERB', 'NOUN', 'INTJ', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
we 're just saying main area 's,"['PRON', 'VERB', 'ADV', 'VERB', 'ADJ', 'NOUN', 'PART']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
You know the,"['PRON', 'VERB', 'DET']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Should have bought them for .,"['VERB', 'VERB', 'VERB', 'PRON', 'ADP', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"er , yeah , I mean it 's , it 's","['INTJ', 'PUNCT', 'INTJ', 'PUNCT', 'PRON', 'VERB', 'PRON', 'VERB', 'PUNCT', 'PRON', 'VERB']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Say the rest of us did n't know where it was .,"['VERB', 'DET', 'NOUN', 'ADP', 'PRON', 'VERB', 'ADV', 'VERB', 'ADV', 'PRON', 'VERB', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Saturday night there 's gon na,"['PROPN', 'NOUN', 'ADV', 'VERB', 'VERB', 'PART']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Er I think they it 's nine hundred,"['INTJ', 'PRON', 'VERB', 'PRON', 'PRON', 'VERB', 'NUM', 'NUM']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
probably need to,"['ADV', 'VERB', 'PART']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Mind you , actually","['VERB', 'PRON', 'PUNCT', 'ADV']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"they 'll say well you , it 's awful , you 're awfully sorry but it 's .","['PRON', 'VERB', 'VERB', 'INTJ', 'PRON', 'PUNCT', 'PRON', 'VERB', 'ADJ', 'PUNCT', 'PRON', 'VERB', 'ADV', 'ADJ', 'CCONJ', 'PRON', 'VERB', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
I think .,"['PRON', 'VERB', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Well he wo n't know I do n't I do n't think he dare show,"['INTJ', 'PRON', 'VERB', 'ADV', 'VERB', 'PRON', 'VERB', 'ADV', 'PRON', 'VERB', 'ADV', 'VERB', 'PRON', 'VERB', 'VERB']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
I get on very well with him though .,"['PRON', 'VERB', 'PART', 'ADV', 'ADV', 'ADP', 'PRON', 'ADV', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Well I mean,"['INTJ', 'PRON', 'VERB']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
So we 'll want,"['ADV', 'PRON', 'VERB', 'VERB']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
You used to go in to play snooker did n't you ?,"['PRON', 'VERB', 'PART', 'VERB', 'PART', 'PART', 'VERB', 'NOUN', 'VERB', 'ADV', 'PRON', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"We did , we had a snooker table at home and my snooker will never get good .","['PRON', 'VERB', 'PUNCT', 'PRON', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'VERB', 'ADV', 'VERB', 'ADJ', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Used to go bloody berserk !,"['VERB', 'PART', 'VERB', 'ADJ', 'NOUN', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Good with iron and everything you know .,"['ADJ', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PRON', 'VERB', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
I hated it !,"['PRON', 'VERB', 'PRON', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
But I do n't know what .,"['CCONJ', 'PRON', 'VERB', 'ADV', 'VERB', 'NOUN', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Said a Ranch House from .,"['VERB', 'DET', 'PROPN', 'PROPN', 'ADP', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
You see some fucking morons we get in !,"['PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'PRON', 'VERB', 'PART', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"No , we wan na be","['INTJ', 'PUNCT', 'PRON', 'VERB', 'PART', 'VERB']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
We need Geoffrey along to advise us .,"['PRON', 'VERB', 'PROPN', 'ADV', 'PART', 'VERB', 'PRON', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Criticizing a,"['VERB', 'DET']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
