sentence,pos_seq,genre,preds,true
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey","['NOUN', 'PUNCT', 'ADJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'VERB', 'ADV', 'VERB', 'ADV', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'PROPN', 'PROPN']",news,00001000000000110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00111000000000110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Sleek , solidly built , gentle on the environment , they are often an ideal form of city transport .","['ADJ', 'PUNCT', 'ADV', 'VERB', 'PUNCT', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'ADV', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']",news,00000100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10000110000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .","['PRON', 'ADV', 'VERB', 'DET', 'NOUN', 'ADV', 'ADJ', 'ADP', 'ADJ', 'ADJ', 'ADP', 'PRON', 'VERB', 'ADJ', 'NOUN', 'CCONJ', 'VERB', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PRON', 'VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']",news,00100000000010001000001100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00100000000010001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Single-car , articulated or double-decker , trams are one of the most reliable and enduring forms of public transport invented .","['NOUN', 'PUNCT', 'VERB', 'CCONJ', 'NOUN', 'PUNCT', 'NOUN', 'VERB', 'NUM', 'ADP', 'DET', 'ADV', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'VERB', 'PUNCT']",news,00000000000000010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Eventually they will be replaced , but more than 60 years on they run with the rhythmic reliability of a Swiss watch .","['ADV', 'PRON', 'VERB', 'VERB', 'VERB', 'PUNCT', 'CCONJ', 'ADJ', 'ADP', 'NUM', 'NOUN', 'ADP', 'PRON', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']",news,00001000000101100100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000101101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Last month it was announced that Britain will get its first new-wave trams in 1991 .,"['ADJ', 'NOUN', 'PRON', 'VERB', 'VERB', 'ADP', 'PROPN', 'VERB', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'PUNCT']",news,"0000000010000100000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000","0000000010010100000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000"
"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .","['VERB', 'PART', 'VERB', 'ADP', 'PROPN', 'PUNCT', 'PRON', 'VERB', 'VERB', 'NOUN', 'NOUN', 'CCONJ', 'VERB', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'CCONJ', 'PROPN', 'PUNCT']",news,"0010000010000010000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000","1010000010101010100000000000100000000
000000000000000000000000000000000000000000000000000000000000000000000000000000"
"In Britain , with the main exception of Blackpool ( not forgetting the single-deckers of the Isle of Man and Llandudno ) , trams had been largely relegated to the history books .","['ADP', 'PROPN', 'PUNCT', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'ADP', 'PROPN', 'CCONJ', 'PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'VERB', 'VERB', 'ADV', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT']",news,00010000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00010000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
London 's venerable red and cream double-deckers rumbled along the Thames embankment for the last time in 1952 .,"['PROPN', 'PART', 'ADJ', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'VERB', 'ADP', 'DET', 'PROPN', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NUM', 'PUNCT']",news,00000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00100000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .","['ADV', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'ADJ', 'NOUN', 'CCONJ', 'VERB', 'ADJ', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']",news,00000000010010000101010001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00100000010000010000010001100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
