sentence,correct_label,prediction,polarity,intensity,source_concept,target_concept
"Y otra más, es que aunque al inicio de año habían anunciado que los recursos de Fonaes, mil 200 millones de pesos, sólo los destinarían a las más de 200 microrregiones -zonas rurales pobres del País-, ahora las convocatorias establecen que también serán sujetos de apoyo los proyectos productivos de familias que se ubiquen en los  de , que podrían estar en zonas urbanas, señalados por la Sedesol.",1,1,NEGATIVE,3.0,CONFINEMENT,POVERTY
"La filosofía es para la libertad la  de una , la democracia es para la filosofía la dinámica creadora de productos filosóficos que dinamizan la democracia.",1,1,POSITIVE,2.0,PHYSICAL_HARM,DEMOCRACY
"Reporte Indigo (edición 272):  de  - YouTube: "" """,1,1,NEUTRAL,0.0,ANIMAL,TAXATION
"En México, las remesas representan entre 3 y 4 por ciento del PIB y por ello no es esperable que afecten el crecimiento de la economía en su conjunto pero sin duda ocasionarán una caída importante en los niveles de vida de las localidades y hogares que dependen del flujo de remesas y con ello  la incidencia de la .",1,1,NEGATIVE,2.0,POSITION_AND_CHANGE_OF_POSITION_ON_A_SCALE,POVERTY
"Sin embargo, la publicación advierte que la progresiva alza de los precios de los alimentos plantea obstáculos para reducir la indigencia y constituye un peligro para la región, ya que podría originar un  de la , del hambre y la desnutrición.",1,1,NEGATIVE,1.0,UPWARD_MOVEMENT,POVERTY
"Cuando las fuentes de abundancia del gobierno empezaron a secarse, cuando a causa de la falta de fondos y la imposibilidad de negociar préstamos frescos el estado se vio forzado a controlar la  de la  y para las obras públicas, entonces y solo entonces se dieron cuenta los italianos de lo que significaba haberse permitido crear una de las naciones con mayor carga fiscal en el mundo.",1,1,NEUTRAL,1.0,BODY_OF_WATER,BUREAUCRACY
"de la , niveles educativos bajísimos, ignorancia, falta de vías de comunicación, de vivienda digna, salarios y fuentes de empleo cada vez más escasos, inseguridad social, y muchos otros indicadores que sería prolijo enumerar, crecen de manera apabullante y constituyen esa",1,1,NEGATIVE,2.0,RESOURCE,POVERTY
La trama del  del  de Oaxaca está tan enredada como el quesillo regional.,1,1,,,STRUGGLE,ELECTIONS
Anuncia Calderón   de Gr...,1,1,POSITIVE,3.0,RESOURCE,WEALTH
"Así, este  va a  la actual estructura de los mercados, es decir, el dominio de los monopolios, debilitando al resto de empresas.",1,1,POSITIVE,1.0,BUILDING,TAXATION
"Los obstáculos que nuestro más reciente intento democrático enfrenta, y que podrían provocar nuevamente su fracaso, en parte se deben a nuestra incapacidad de reconocer que no hemos elegido el modelo más adecuado para  la .",1,1,POSITIVE,2.0,FORWARD_MOVEMENT,DEMOCRACY
3.12.2  de  de ingresos por:,1,1,POSITIVE,1.0,LIGHT,WEALTH
"‘Te pedimos que reces con nosotros por los chicos que  , explotación y guerra, que Dios ilumine el corazón de los responsables de las naciones para que impulsen un comercio justo y respetuoso de las personas’, sostuvo.",1,1,NEGATIVE,2.0,PHYSICAL_BURDEN,POVERTY
"sola sala o las dos, no ha sido posible o no tienen el formato siempre algo falla, pero no se tiene, esos modelos que aquí plantean que son viables pero no esta la infraestructura, y porque  ese  que tenemos?",1,1,NEGATIVE,1.0,BARRIER,MONEY
"Se tiene, dijo, la responsabilidad pública para que la política social del Estado mexicano no decaiga, así como hacerle frente al problema principal del país que es la desigualdad y sus  de , marginación e inequidad.",1,1,NEGATIVE,2.0,STORY,POVERTY
"También encontramos el plan de “alivio impositivo para las personas de clase media”,  uno de los frentes de esta propuesta, busca  los  de  150 millones de trabajadores, de los cuales 14 millones son hispanos, a 500 dólares por persona y eximir a 10 millones de empleados con los menores ingresos del recaudo tributario.",1,1,POSITIVE,1.0,PLANT,POVERTY
"Con detalle, el jefe de la nación explicó que se  todos los  al trigo, arroz, maíz blanco y amarillo, frijol, sorgo y pasta de soya, y se reduce en 50 por ciento el arancel a la leche en polvo.",1,1,POSITIVE,2.0,PHYSICAL_BURDEN,TAXES
El tema de la cumbre de Mar del Plata es “Crear trabajo para  la  y fortalecer la gobernabilidad democrática”.,1,1,POSITIVE,2.0,STRUGGLE,POVERTY
"Por Samuel Hadas, diplomático, primer embajador de Israel en España y ante la Santa Sede (LA VANGUARDIA, 30/11/08): Los trágicos acontecimientos de Bombay, el  de la mayor  del mundo, uno de los más sensibles...",1,1,POSITIVE,0.0,LIGHT,DEMOCRACY
"Y respondió: ""En democracia, el consenso electoral, el principio de la mayoría, es importante, sí, pero no fundamental en el sentido etimológico de la palabra, no está en el  de la .",1,1,NEGATIVE,1.0,RESOURCE,DEMOCRACY
"Como atrapados en la fuente misma de su desarraigado desdén, en la  de su .",1,1,NEGATIVE,2.0,MACHINE,POVERTY
"Sólo una  en libertad, sin  ni censuras, sin penetraciones foráneas que minen y destruyan todo germen de sentimiento nacional, será la garantía para que seamos artífices de nuestro futuro.”",1,1,POSITIVE,1.0,OTHER,DEMOCRACY
"Por último, Aguilera Ortíz informó que en su visita, el Dirigente Nacional de Convergencia le tomará protesta a Agapito Arellano Ponce como Presidente del Consejo Consultivo de Querétaro, órgano encargado de recolectar propuestas ciudadanas para la  de , de cara a las siguientes elecciones.",1,1,NEUTRAL,0.0,BUILDING,GOVERNMENT
Se deslindan empresarios del ‘Comando Ciudadano’ Abandonan 30 mil al PT; se integran al Sol Azteca Vendrán días de mayor violencia: Antonio Garza ‘Estamos jugando a trabajar’ No cesa de ola de violencia en Chihuahua Sección: Internacional Denuncia ONU  de  en Darfur Desafió EU orden al ejecutar a mexicano Retira Israel sus tropas de Gaza Se apagaron las turbinas del avión que cayó en NY Detienen a rebelde de FARC herida que dice ser venezolana La Vuelta al Mundo en 80 líneas,1,1,NEGATIVE,2.0,OTHER,DEMOCRACY
"Especialmente en la sociedad de consumo, la escuela ha llegado a ser una industria, el diploma un producto, la enseñanza con sus empleados y empleadores, el mercado más grande de empleo, mercado detrás del cual se maneja una  .",1,1,NEGATIVE,2.0,ANIMAL,BUREAUCRACY
"Las peculiares características de nuestra prolongada y  transición a la  se debe, sin lugar a dudas, a la existencia del Partido Revolucionario Institucional.",1,1,NEGATIVE,1.0,ACCIDENT,DEMOCRACY
La  de la : ¿nuevo objetivo de la cooperación?,1,1,POSITIVE,2.0,WAR,POVERTY
¿O la persona que se tiene que hacer cargo de los  del  clandestino: la mujer.,1,1,,,,ABORTION
"I- El responsable del asunto efectúa una presentación en los términos de la Resolución General N° 1.948, mediante la cual consulta acerca del  en los  y a las ganancias, de los servicios que prestará a una compañía constituida en el exterior, relacionados con la negociación de productos en el mercado internacional de commodities.",1,1,NEUTRAL,0.0,VEHICLE,TAXATION
"Como dijo el erudito Edward O. Wilson: “Se puede decir que en cada país se tienen tres  de : material, cultural y biológica.",1,1,NEUTRAL,0.0,SHAPE,WEALTH
"La editorial, que ya ha hecho una importante   a la organización más importante del mundo en lo que concierne a la defensa de los derechos de la infancia, planea además subastar un artículo personal de Paulo Coelho.",1,1,POSITIVE,1.0,BUSINESS,MONEY
"“No se aceptará la imposición del priísta Enrique Peña Nieto,  del  fraudulento, porque permitirlo implicaría que recurrirán a esos métodos de aquí en adelante y otros 6 años de privatizaciones y políticas de hambre” señaló la diputada local electa Casilda Ruiz Agustín.",1,1,,,GAME,ELECTIONS
