sentence,pos_seq,genre,preds,true
She bought it .,"['PRON', 'VERB', 'PRON', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Only the Women 's Ministry would be given equal license .,"['ADV', 'DET', 'PROPN', 'PART', 'PROPN', 'VERB', 'VERB', 'VERB', 'ADJ', 'NOUN', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
But Ã¢ÂÂ another but Ã¢ÂÂ what about the PCBs that already exist ?,"['CCONJ', 'PROPN', 'DET', 'CCONJ', 'PROPN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADV', 'VERB', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Five air-monitoring plants had been installed ( he took me to see them ) .,"['NUM', 'VERB', 'NOUN', 'VERB', 'VERB', 'VERB', 'PUNCT', 'PRON', 'VERB', 'PRON', 'PART', 'VERB', 'PRON', 'PUNCT', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
He 's like a ferret !,"['PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
they 're treating alcohol as food .,"['PRON', 'VERB', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Shall we take photographs ?,"['VERB', 'PRON', 'VERB', 'NOUN', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
What were you shouting then ?,"['NOUN', 'VERB', 'PRON', 'VERB', 'ADV', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Go on,"['VERB', 'PART']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Come on .,"['VERB', 'PART', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
We 'll call in,"['PRON', 'VERB', 'VERB', 'PART']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Next time we go to the sea .,"['ADJ', 'NOUN', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Go on .,"['VERB', 'PART', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Come on .,"['VERB', 'PART', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
It 's stopped raining .,"['PRON', 'VERB', 'VERB', 'VERB', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
did you actually go to sleep mummy ?,"['VERB', 'PRON', 'ADV', 'VERB', 'ADP', 'NOUN', 'NOUN', 'PUNCT']",conversation,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
