sentence,correct_label,prediction
"Esto puede reducir sus cuotas, que le darían más  plazo del .",0,0
"Nadie come ""soberanía""  ni le  que defiendan como perro su patrimonio mandando las tasas de interés a la estratosfera para que Merrill Lynch y George Soros puedan asociarse con el superespeculador llamado Banco de México, con las cuentas malas a nuestro cargo con deuda interna, impuestos y Fobaproas.",0,0
"El 80 por ciento de la población, dijo, no se enteró que Enrique Peña Nieto, candidato del , no fue capaz de citar tres libros, debido a que la televisión no informó en su momento sobre ese hecho y sólo lo retomó de manera marginal una vez que explotó en las  sociales.",0,0
"De conformidad con la reforma al artículo 139 del Código Fiscal de la Federación publicada en el Diario Oficial de la Federación el 5 de enero de 2004, las notificaciones por estrados se harán fijando durante quince días consecutivos el documento que se pretenda notificar en un sitio abierto al público de las oficinas de la  que efectúe la notificación y publicando el documento citado, durante el mismo plazo, en la página electrónica que al efecto establezcan las autoridades .",0,0
"Barrio Terrazas, exprecandidato del PAN a la  de la República, exgobernador de Chihuahua y secretario de la  en la gestión de Vicente Fox, se apresta a iniciar su carrera diplomática si es ratificado por la Comisión Permanente.",0,0
"En opinión de , estos juegos son la nueva herramienta para la crítica  y mediática.",0,0
"Eso de calentarse la cabeza por un trabajador y sus ,  algo que se toman con muuuucha tranquilidad, entre veinte o treinta, es posible que comiencen a tomar medidas.",0,0
"SAGARPA ha iniciado su Consulta Pública 2006-2012, con la realización de Foros Estatales, cuyo objetivo es obtener de manera directa y participativa las opiniones y propuestas de lo más representativo de la sociedad rural de cada Estado para incorporarlas a los lineamientos de  y programas del Plan Nacional de Desarrollo  y el Programa Sectorial, como base fundamental de sus contenidos con visión a largo plazo.",0,0
"* Es quizás más afortunado disfrutar coleccionando caracolas que el haber nacido . (Robert Louis Stevenson) * Pocos hombres ricos poseen sus propiedades; son sus propiedades las que les poseen a ellos. (Robert G. Ingersoll) * Los hijos de ricos raramente son padres de ricos. (Herbert Kaufman) * La libertad produce riqueza, y la riqueza destruye la libertad. (Henry D. Lloyd) * Quiero ser rica pero no quiero hacer lo que hay que hacer para ser rica. (Gertrude Stein) * El hombre es el único animal que cuanto más tiene, más quiere, el único animal que nunca está satisfecho. ()",0,0
"Simplemente destaquemos tres cosas: mientras que el padrón electoral tuvo un crecimiento -de 1994 al 2006- de 26 millones, el número de votantes solamente creció en 6 millones, es decir solamente el 23 por ciento de los mexicanos que se  al  desde 94 votaron en el 2006.",0,0
"En tal sentido, los elementos que privaron temporalmente de su libertad al quejoso no tenían fundamento para  acto de autoridad que en consecuencia se consideró una arbitrariedad, transgresora de lo dispuesto por el artículo 16 de la  Política de los Estados Unidos Mexicanos así como por los artículos XXV de la Declaración Americana de los Derechos y Deberes del Hombre, 9.1 del Pacto Internacional de Derechos Civiles y Políticos, y 7 de la Convención Americana Sobre Derechos Humanos, por lo que se dictó la recomendación correspondiente.",0,0
"No se que pega poneis a Rajoy en su política de oposición, parece que queris que sea  grosero y maleducado como Pepiño y que se tiere a la yugular del  como si fuera un cafre.",0,0
"En el ínter el Gobierno ha omitido asuntos de la mayor trascendencia en materia de seguridad pública y justicia, a saber, la unificación de la legislación penal (manoseada y no impulsada a fondo hacia nuevos espacios de superación), la ampliación del arbitrio judicial, la instauración del perdón judicial, la revisión a fondo del desorganizado Título Cuarto de la Constitución sobre las Responsabilidades de los Servidores Públicos y Patrimonial del Estado, que ha desdeñado el  autor de las  constitucionales a que me vengo refiriendo.",0,0
"""Las innovaciones en la actividad docente, con el fin de mejorar la educación, implican tomar como punto de partida el análisis del proceso enseñanza-aprendizaje"",1 lo que nos llevará a comprender, no sólo la significación que tiene el uso de este método, o el empleo de aquella técnica, sino también, dejará entrever la forma cómo el profesor considera su práctica escolar: cómo  la  del niño, cómo respeta su desarrollo evolutivo, cómo lo anima a construir su aprendizaje; pues son las acciones las que en menor o mayor medida reflejan nuestros pensamientos.",0,0
"Contribuir al desarrollo , social y cultural de la región Noroeste del  y de México, a través de la formación de profesionistas emprendedores e innovadores de tecnología con excelencia académica.",0,0
"La cantidad de concentrado inyectado es  proporcional al  de agua que entra al dosificador, esta proporción se mantiene constante a pesar de las variaciones del caudal o de la presión que ocurran en la línea principal.",0,0
"Presencia Ciudadana está promoviendo dos iniciativas para que en la coyuntura de las campañas a la Presidencia de la República y a la Jefatura del  del DF los grupos e individuos representantes de la sociedad civil (academia, organizaciones sociales, grupos de vecinos, etc.) tengamos una incidencia real en las propuestas electorales, en los programas de gobierno y en las políticas  de los dos niveles de gobierno.",0,0
"El “nacimiento de Tulum como municipio desde su inicio ha sufrido, y sigue sufriendo una manipulación total por parte del  priista estatal que nos .",0,0
"El  inferior: Si no deja espacio en blanco y  la escritura hasta el final del papel, la persona que escribe se siente muy indentificada con lo que dice en la carta, quizás sea espontáneo y sincero.",0,0
"La historia se inicia tras la declaración de bancarrota de la firma promovida por el Grupo Minera México hace tres años, es decir seis después de la adquisición, bajo el alegato de que las multas que le había  la  por violaciones ambientales superaban al valor de sus activos, además de acumular graves pérdidas por una larga huelga de cuatro meses.",0,0
"El Partido Laborista que  el Reino Unido pierde  en la jornada de elecciones municipales, realizada ayer, para renovar más de cuatro mil escaños de 159 concejos locales.",0,0
"La   un crimen social en México: Moreira El presidente electo del PRI nacional, Humberto Moreira, dijo que el país vive una situación crítica debido a la pobreza.",0,0
"* Es quizás más afortunado disfrutar coleccionando caracolas que el haber nacido millonario. (Robert Louis Stevenson) * Pocos hombres ricos poseen sus propiedades; son sus propiedades las que les poseen a ellos. (Robert G. Ingersoll) * Los hijos de ricos raramente son padres de ricos. (Herbert Kaufman) * La libertad  riqueza, y la riqueza destruye la libertad. (Henry D. Lloyd) * Quiero ser  pero no quiero hacer lo que hay que hacer para ser rica. (Gertrude Stein) * El hombre es el único animal que cuanto más tiene, más quiere, el único animal que nunca está satisfecho. (Henry George)",0,0
"En términos generales, los abordajes han tomado dos rumbos: o bien la opción ha sido  la  como una lógica de la acción social, o bien como mecanismo institucional para la instauración de un régimen de gobierno.",0,0
"Marisol Córdoba | Publicado el Jueves, 20 de Junio de 2013 22:19 El pleno del Consejo General del Instituto Electoral del Estado (IEE)  por unanimidad  al consejero , Armando Guerrero Ramírez, por  lo que desechó por infundada la solicitud de remoción hecha por la coalición PRI-PVEM en su contra por considerar que puso en peligro la legitimidad del organismo electoral ante su idea de transferir votos de un candidato a otro. De la misma manera desecharon la queja contra la consejera Olga Lazcano, que también fue puesto por el PRI acusándola de parcialidad.",0,0
"La Sección de Cafetería proporcionó 302,400 comidas y 103,500 almuerzos, lo cual   por $3,967,517.55 y egresos por $5,085,711.83.",0,0
"Alberto Cárdenas Jiménez, Gobernador Constitucional del Estado de Jalisco,  al Congreso del Estado, en sesión solemne, su segundo informe de .",0,0
"""La educación no sólo es la  de la  y el rezago, sino la entrada a un mundo de democracia, libertad, cultura de la paz, respeto y tolerancia"", dijo la secretaria de Educación Pública, Josefina Vázquez Mota, al encabezar el inicio de los trabajos del Diplomado para la formación de profesores con miras a impartir las asignaturas de Civismo y Ética en las escuelas primarias de todo el país.",0,0
Este  de teorías solo podrían convencer a alguien que vaya a  por primera vez el año que viene.,0,0
"Los partidos de oposición plantearon hacer modificaciones al dictamen de la comisión de Gobernación y Puntos Constitucionales, pero fueron rechazados por la mayoría priísta, como fue la del PAN para que los nuevos consejeros del IEPC  haber  en la elección inmediata anterior.",0,0
"Mejorar la coherencia a todos los niveles en la formulación de políticas globales para el  económico sostenible y la reducción de la , incluida la contribución de los enfoques regionales;",0,0
"Con la acreditación por parte de la Entidad Mexicana de Acreditación (EMA) por un periodo de cuatro años a partir del 18 de diciembre de 2007, con base en la norma 17025 2006, el Laboratorio de Control Ambiental del Instituto de Ciencias de la Benemérita Universidad Autónoma de Puebla () está facultado para brindar servicios externos de alta calidad a diversos laboratorios e instancias de  que lo soliciten, informó Teresita Jiménez Salgado, responsable del laboratorio.",0,0
"* Es quizás más afortunado disfrutar coleccionando caracolas que el haber nacido millonario. (Robert Louis Stevenson) * Pocos hombres ricos poseen sus propiedades; son sus propiedades las que les poseen a ellos. (Robert G. Ingersoll) * Los hijos de  raramente son padres de ricos. (Herbert Kaufman) * La libertad produce riqueza, y la riqueza destruye la libertad. (Henry D. Lloyd) * Quiero ser rica pero no quiero hacer lo que  que hacer para ser rica. (Gertrude Stein) * El hombre es el único animal que cuanto más tiene, más quiere, el único animal que nunca está satisfecho. (Henry George)",0,0
"* Es quizás más afortunado disfrutar coleccionando caracolas que el haber nacido millonario. (Robert Louis Stevenson) * Pocos hombres ricos poseen sus propiedades; son sus propiedades las que les poseen a ellos. (Robert G. Ingersoll) * Los hijos de ricos raramente son padres de ricos. (Herbert Kaufman) * La libertad produce , y la riqueza destruye la libertad. (Henry D. Lloyd) * Quiero ser rica pero no quiero hacer lo que hay que  ser rica. (Gertrude Stein) * El hombre es el único animal que cuanto más tiene, más quiere, el único animal que nunca está satisfecho. (Henry George)",0,0
"> Monterrey: De acuerdo con el proyecto de dictamen de la Ley de Acceso a la Información Pública que  la Comisión de Legislación del  local, a partir del 2 de enero de 2003 los ciudadanos de Nuevo León obtendrán cualquier dato de los poderes Ejecutivo, Legislativo y Judicial del estado y los municipios.",0,0
"> Monterrey: De acuerdo con el proyecto de dictamen de la Ley de Acceso a la Información Pública que analiza la Comisión de Legislación del  local, a partir del 2 de enero de 2003 los ciudadanos de Nuevo León obtendrán cualquier  de los poderes Ejecutivo, Legislativo y Judicial del estado y los municipios.",0,0
"En Información  encontraras todo lo que necesitas saber sobre el derecho, como abogado litigante, como licenciado en la burocracia, como estudiante  o como Publico en General, contamos con la información Jurídica mas enriquecida y actualizada que puedas encontrar en Web como es:",0,0
Comunicado No. 0205 - SECRETARIA GENERAL DE GOBIERNO Para hacer más eficiente la atención que por disposición de ley las autoridades  y municipales pueden brindar a los órganos  y ...,0,0
"Este fantástico audiolibro que te mostrará como  algo tan valioso como el dinero para conseguir la auténtica Libertad Financiera, es la segunda parte del de ""Cómo jugar y ganar el Juego del "" donde encontrarás los siguientes capítulos:",0,0
"De conformidad con la reforma al artículo 139 del Código Fiscal de la Federación publicada en el Diario Oficial de la Federación el 5 de enero de 2004, las notificaciones por estrados se harán fijando durante quince días consecutivos el documento que se pretenda notificar en un sitio abierto al público de las  de la autoridad que efectúe la notificación y publicando el documento citado, durante el mismo plazo, en la página electrónica que al efecto establezcan las  fiscales.",0,0
"Presencia Ciudadana está promoviendo dos iniciativas para que en la coyuntura de las campañas a la Presidencia de la República y a la Jefatura del Gobierno del DF los grupos e individuos representantes de la sociedad civil (academia, organizaciones sociales, grupos de vecinos, etc.) tengamos una incidencia real en las propuestas , en los programas de  y en las políticas públicas de los dos niveles de gobierno.",0,0
"Presencia Ciudadana está promoviendo dos iniciativas para que en la coyuntura de las campañas a la Presidencia de la República y a la Jefatura del Gobierno del DF los grupos e individuos representantes de la sociedad civil (academia, organizaciones sociales, grupos de , etc.) tengamos una incidencia real en las propuestas electorales, en los programas de gobierno y en las  de los dos niveles de gobierno.",0,0
"En su informe 'Crisis, desigualdad y pobreza', Intermón  hace un análisis de las recientes crisis de América Latina y el este Asiático, que tardaron entre 15 y 25 años en  los  que había antes de esas depresiones, y destaca que las políticas de ajuste impuestas sólo contribuyeron a generar más pobreza y desigualdad, consolidando sociedades duales.",0,0
"Ingeniería Química Instituto Tecnológico de Celaya , arranque, operación y control de equipos y procesos en plantas químicas, considerando las  de  y seguridad....",0,0
No hay  ni valores que valgan en donde no hay reglas que dirijan el ejercicio de los primeros y  la existencia de los segundos.,0,0
"En tanto que en el caso de quienes ya realizaron algún trámite relacionado con su credencial, les  que tienen hasta el 31 para recoger su nueva credencial para  con fotografía.",0,0
"Este  audiolibro que te mostrará como gestionar algo tan valioso como el dinero para conseguir la auténtica Libertad Financiera, es la segunda parte del de ""Cómo jugar y ganar el Juego del "" donde encontrarás los siguientes capítulos:",0,0
"WASHINGTON.- Quince mil  de dólares adicionales  entregados a siete bancos en la ronda más reciente de pagos del fondo gubernamental de rescate financiero, indicó el gobierno.",0,0
"No obstante, aún en esta materia, persiste la necesidad de  , revisar el diseño estructural y, el funcionamiento de las instituciones responsables, de garantizar su aplicación y vigencia; a fin de, asegurar y consolidar lo logrado por la vía de nuevas reformas al Código Federal de Instituciones y Procedimientos Electorales.",0,0
"Cada trabajador conoce sus necesidades en la  mexiquense y exige respeto, protección y condiciones favorables para el cumplimiento de los  integrales.",0,0
"La Procuraduría lleva a cabo sus funciones de conformidad con un  Marco Jurídico que deriva de los principios establecidos por el Artículo 28 Constitucional, y que tiene por objeto garantizar la equidad y la seguridad jurídica en las relaciones de consumo, protegiendo los  del consumidor.",0,0
"Los requisitos de acceso al templo de carácter cultual, racial o biológico ya no tienen vigencia en la nueva dimensión de la verdadera religión; lo único que cuenta es querer vivir como   y obedientes del Señor.",0,0
"Comunicado No. 0056 - AGENCIA AMBIENTAL PARA EL DESARROLLO SUSTENTABLE La  ambientalista que asegure un desarrollo sustentable a Tamaulipas no habrá de  descuidada en este año y al contrario, la administración ...",0,0
"Por lo demás, lamentable que salgan para acabar  consignas asesinas para gente que ejerce su  a la libertad religiosa.El Islam es como el pene...esta bien tenerlo pero que no te lo metan por la fuerza, crees que se atreverian esos mismos, te haria gracia?",0,0
", generosidad y honradez, en la forma descrita nos  al proyecto de vida , que nos guíe a que el aprendizaje es aprehenderse a sí mismo, que el conocimiento no sólo es posesionarse de lo que otros han hecho, si no que el conocimiento es lo que nosotros podemos producir para el bienestar material y espiritual, el aprendizaje es formar en la vida, para la vida, con la vida.",0,0
"Su permanencia permite extender el área de bosques bien conservados denominado por SERBO A.C. como única  la constituye la carretera  a San Bartolomé Zoogocho por lo que en términos de conservación de paisajes representa una oportunidad invaluable para el mantenimiento de grandes áreas boscosas que constituyen amplios corredores para la fauna (puma, tigrillo, venado) que requiere grandes superficies en comparación con otros animales.",0,0
eso de los testigos protegidos primero jennifer y ahora emiliano y despues doña chole.esto que esta haciendo el  para limpiarse de culpas y propiciar la entrada de solo Dios sabe quien  del narco.,0,0
"Asimismo, el tribunal  como  de coerción visitar periódicamente la fiscalía de esa ciudad a los otros dos sobrevivientes del naufragio Franklin Almánzar y Álvaro Luis Almánzar, quienes forman parte de la organización.",0,0
"para desarrollar y  las diferentes etapas involucradas en los procesos de diseño y construcción, desde su concepción hasta la venta y realización de los proyectos.",0,0
"Oh! que triste noticia, vaya que la maldad y el  corrompe los  y hace tropezar a los mas fuertes, demos $1500 mas de diesmo por su alma…",0,0
"El Comité Permanente de Nominaciones  a la JSG, por cada vacante de Custodio Clase “B”, cuatro  por las Juntas de Directores de las Corporaciones de Servicio (dos por cada Junta).",0,0
"Desde esta perspectiva, los pobres también cuentan como  y  si son para el PAN.",0,0
"Vale decir que aunque los vehículos que conforman este “top ten” de Edmunds quizá no sean reverenciados por su apariencia u otras características que muchas   su compra y posterior salida de las agencias, sí lo son por su frugalidad, misma que entendemos como una cualidad fundamental en un mundo en el que el ahorro y el cuidado ecológico son cada vez más importantes.",0,0
"Crear una  de rendición de cuentas y contribuir a la transparencia en la gestión de los  mediante acciones de fiscalización superior, revisión y auditoría integral de las cuentas y actos relativos a la aplicación de los fondos federales, estatales y municipales en estricto apego a derecho, asegurando que se ejerzan de manera eficiente en los planes y programas para los que fueron autorizados; así como fincar y promover las responsabilidades que procedan; comprometidos con los principios de legalidad, imparcialidad, veracidad, honradez, reserva y respeto.",0,0
"Por Uno Noticias, http://.unonoticias.com/, Última actualización: 24/05/2012  de México, reflejada en niños de la calle",0,0
"Así, la  de los  que defienden la “autonomía” e independencia presupuestaria, confronta a legisladores que solicitan la revisión de pensiones de exfuncionarios.",0,0
"En este caso, en la forma  41 ""Aviso de Compensación"" debe anotar en la parte inferior, a máquina o de manera impresa, la siguiente leyenda: “Se presentó declaración de corrección de datos de compensación contra (IVA de Actos accidentales o IEPS Retenido, según se trate), en términos de la regla 2.2.7., con fecha (dd-mm-aaaa) y con número de  ___________”.",0,0
"Crear una cultura de rendición de cuentas y contribuir a la transparencia en la gestión de los recursos públicos mediante acciones de fiscalización superior, revisión y auditoría integral de las cuentas y actos relativos a la aplicación de los fondos federales, estatales y municipales en estricto apego a , asegurando que se ejerzan de manera  en los planes y programas para los que fueron autorizados; así como fincar y promover las responsabilidades que procedan; comprometidos con los principios de legalidad, imparcialidad, veracidad, honradez, reserva y respeto.",0,0
A los gobiernos les hace mucho  tener mucho .,0,0
"La  es así, por encima de cualquier deseo, un procedimiento, un proyecto y una .",0,0
hay una corriente  e independiente desde el propio pesoe que dice que lo progresista es no matar es decir considerar prioritario el  a la vida del nasciturus.,0,0
"La pobreza es un crimen social en México: Moreira El presidente electo del  nacional, Humberto Moreira, dijo que el  vive una situación crítica debido a la pobreza.",0,0
"Presencia Ciudadana está promoviendo dos iniciativas para que en la coyuntura de las campañas a la Presidencia de la República y a la Jefatura del Gobierno del DF los grupos e individuos representantes de la sociedad civil (academia, organizaciones sociales, grupos de vecinos, etc.) tengamos una incidencia real en las  electorales, en los programas de gobierno y en las  de los dos niveles de gobierno.",0,0
"municipal Monografias.Com Tributaria,  el examen de las funciones que debe realizar con pleno conocimiento de ellas y como elemento básico...",0,0
"Artículo 31º.- El  debe  al desarrollo de su profesión mediante la investigación profesional, realizada con apego a normas metodológicas científicas y la docencia.",0,0
"Marisol Córdoba | Publicado el Jueves, 20 de Junio de 2013 22:19 El pleno del Consejo General del Instituto Electoral del Estado (IEE) exoneró por unanimidad  al consejero presidente, Armando Guerrero Ramírez, por  lo que desechó por infundada la solicitud de remoción hecha por la coalición PRI-PVEM en su contra por considerar que puso en peligro la legitimidad del organismo electoral ante su idea de transferir  de un candidato a otro. De la misma manera desecharon la queja contra la consejera Olga Lazcano, que también fue puesto por el PRI  de parcialidad.",0,0
"La propagación del mismo se dio combinada con  , religiosos, nacionalistas; incluso, hubo casos de confusión al utilizar indistintamente el término socialismo, o sea, se emplearon términos como “libertario” para el anarquista, o “de estado” o “autoritarios” para marxistas.",0,0
