verbs,sentences,preds,true
die,And millions of animals will die ,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000010000000000000000000000000000000000000000000000000000000000000000000000000000
drag,"In the latter instance , a man dressed as Christ and dragging a cross was in the demonstration ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000010000000000000000000000000000000000000000000000000000000000000000000000
drag,"Public anger reached its zenith April 30 , 1982 , when angry mobs stopped three taxis bearing margis , dragged them from their cars , bludgeoned and poured acid on them and finally burned them to death ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000100000000000000000000000000000000000000000000000000000000000000
drag,"The OSU sled 's No . 1 advantage , he says , is an aerodynamic shape that reduces drag 20 % to 25 % ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000001000000000000000000000000000000000000000000000000000000000000000
drink,"As I drank water and ate for the first time in two days , my determination to continue the opposition crusade was strengthened ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010000000000000000000000000000000000000000000000000000000000000000000000000000000
drink,"The trick is that it is midnight , and the ban on eating , smoking , having sex and even drinking water applies only to the daylight hours ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000010000000000000000000000000000000000000000000000000000000000000
drink,"And true to German tradition , the club has its own Stammtisch , a table at a local beer hall where club members gather once a week to drink and gab ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000100000000000000000000000000000000000000000000000000000
drink,"'' I stayed home and drank for two years after that , '' he notes sadly ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000010000000000000000000000000000000000000000000000000000000000000000000000000000
eat,"The Cincinnati Dancing Pigs Jug Band played '' Coney Island Washboard Roundelay '' and I ate cold noodle salad , fried wontons and a big RC ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000001000000000000000000000000000000000000000000000000000000000000000000
eat,"'' He ate and slept until he looked like he was going to break , '' recalls Kathleen Perry ",0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010000000000000000000000000000000000000000000000000000000000000000000000000000000
eat,You 'll probably want to eat a crab salad . ',0000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000010000000000000000000000000000000000000000000000000000000000000000000000000000
