sentence,pos_seq,genre,preds,true
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .","['PROPN', 'NOUN', 'PUNCT', 'ADP', 'ADJ', 'ADJ', 'PROPN', 'VERB', 'PUNCT', 'CCONJ', 'VERB', 'CCONJ', 'ADJ', 'PUNCT', 'CCONJ', 'VERB', 'PRON', 'VERB', 'PUNCT']",news,10000000101110000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
But the book 's principal defect remains the vacuity of its protagonist .,"['CCONJ', 'DET', 'NOUN', 'PART', 'ADJ', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']",news,00000010111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Inland of La Rochelle , you say ; north of Cognac and east of Limoges .","['PROPN', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'PRON', 'VERB', 'PUNCT', 'ADV', 'ADP', 'PROPN', 'CCONJ', 'NOUN', 'ADP', 'PROPN', 'PUNCT']",news,00000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"St Jean-d'Angely is a charming little town : there are good shops as well as half-timbered houses along its narrow old streets , one spanned by an ancient bell-tower .","['PROPN', 'PROPN', 'VERB', 'DET', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'ADV', 'VERB', 'ADJ', 'NOUN', 'ADV', 'ADV', 'ADP', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'NUM', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']",news,10000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Stephen Gold explains,"['PROPN', 'PROPN', 'VERB']",news,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
It does n't matter .,"['PRON', 'VERB', 'ADV', 'VERB', 'PUNCT']",news,00001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
The friend found one at a garage .,"['DET', 'NOUN', 'VERB', 'NUM', 'ADP', 'DET', 'NOUN', 'PUNCT']",news,10101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Your conservatory collapses as a result of negligence of the professionals who were engaged by the previous owner to put it up .,"['ADJ', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'PART', 'VERB', 'PRON', 'PART', 'PUNCT']",news,10100010000000100001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Mercifully , we doubt it !","['ADV', 'PUNCT', 'PRON', 'VERB', 'PRON', 'PUNCT']",news,01001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
It is a good time to plant hardy shrubs too .,"['PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'PART', 'VERB', 'ADJ', 'NOUN', 'ADV', 'PUNCT']",news,00010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
They move in today .,"['PRON', 'VERB', 'ADP', 'NOUN', 'PUNCT']",news,11001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Yet the ambulance worker is only being offered Â£10,000 , when a fire officer is being given Â£13,000 and a Metropolitan police constable can earn Â£25,000 .","['ADV', 'DET', 'NOUN', 'NOUN', 'VERB', 'ADV', 'VERB', 'VERB', 'NUM', 'PUNCT', 'ADV', 'DET', 'NOUN', 'NOUN', 'VERB', 'VERB', 'VERB', 'PROPN', 'CCONJ', 'DET', 'PROPN', 'NOUN', 'NOUN', 'VERB', 'VERB', 'NOUN', 'PUNCT']",news,00000000000010001010010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Our latest Foreign Secretary has yet to publicly pick up the file marked Hong Kong .,"['ADJ', 'ADJ', 'PROPN', 'PROPN', 'VERB', 'ADV', 'PART', 'ADV', 'VERB', 'PART', 'DET', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'PUNCT']",news,00000000110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Name badges are worn by staff .,"['NOUN', 'NOUN', 'VERB', 'VERB', 'ADP', 'NOUN', 'PUNCT']",news,01011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Heat shone out .,"['NOUN', 'VERB', 'PART', 'PUNCT']",news,11010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Although they are no longer manufactured , they are still present , for example in electrical equipment .","['ADP', 'PRON', 'VERB', 'ADV', 'ADV', 'VERB', 'PUNCT', 'PRON', 'VERB', 'ADV', 'ADJ', 'PUNCT', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']",news,00100000000010001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Ã¢ÂÂ If we do it properly any spot is the right spot , he insisted .","['NOUN', 'ADP', 'PRON', 'VERB', 'PRON', 'ADV', 'DET', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'PUNCT']",news,01000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
