sentence,pos_seq,genre,preds,true
"Otherwise , the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies .","['ADV', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'PART', 'VERB', 'VERB', 'NOUN', 'VERB', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'CCONJ', 'ADV', 'ADP', 'ADJ', 'PROPN', 'PROPN', 'PROPN', 'NOUN', 'CCONJ', 'PROPN', 'NOUN', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Assuming the power station at the end of the line burns cleanly , the tram is virtually pollution free .","['VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADV', 'PUNCT', 'DET', 'NOUN', 'VERB', 'ADV', 'NOUN', 'ADJ', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"There is still time for GMA ( GEC , Mowlem , Amec and Greater Manchester Buses ) to consider employing an inspired architect or industrial designer .","['ADV', 'VERB', 'ADV', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'CCONJ', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'PART', 'VERB', 'VERB', 'DET', 'VERB', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
PEOPLE tend to look vague when you mention Poitou .,"['NOUN', 'VERB', 'PART', 'VERB', 'ADJ', 'ADV', 'PRON', 'VERB', 'PROPN', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Ã¢ÂÂ Umm Ã¢ÂÂ¦ not a part of France we know Ã¢ÂÂ¦ where exactly is it ?,"['NOUN', 'PROPN', 'PROPN', 'ADV', 'DET', 'NOUN', 'ADP', 'PROPN', 'PRON', 'VERB', 'PROPN', 'ADV', 'ADV', 'VERB', 'PRON', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Ask banks , building societies , former landlords , present and past employers .","['VERB', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
She bought it .,"['PRON', 'VERB', 'PRON', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Ã¢ÂÂ I had n't planned to work at all .,"['NOUN', 'PRON', 'VERB', 'ADV', 'VERB', 'PART', 'VERB', 'ADV', 'ADV', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
A Ã¢ÂÂ new Minister of Environmental Protection would operate inside the DoE .,"['DET', 'ADJ', 'ADJ', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Ã¢ÂÂ Its main concerns would become food and the people who consume it , not farming and those who produce it .","['NOUN', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'VERB', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'NOUN', 'VERB', 'PRON', 'PUNCT', 'ADV', 'VERB', 'CCONJ', 'DET', 'NOUN', 'VERB', 'PRON', 'PUNCT']",news,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
