nouns,verbs,sentences,preds,true
guest,accommodate, This hotel can accommodate 250 guests .,00000000000000000000,00000000000000000000
colleague,acknowledge, He never acknowledges his colleagues when they run into him in the hallway .,00000000000000000000,00000000000000000000
kindness,acknowledge, We must acknowledge the kindness she showed towards us .,00000000000000000000,00000000000000000000
deed,acknowledge, acknowledge the deed .,00000000000000000000,00000000000000000000
wallpaper,adhere, Will this wallpaper adhere to the wall ?,00000000000000000000,00000000000000000000
question,answer, The question concerning the meaning of life can not be answered .,00000000000000000000,00000000000000000000
defendant,answer, The defendant answered to all the charges of the prosecution .,00000000000000000000,00000000000000000000
mountain,ascend, We ascended the mountain .,00000000000000000000,00000000000000000000
path,ascend, The path ascended to the top of the hill .,00000000000000000000,00000000000000000000
poland,attack," Hitler attacked Poland on September 1 , 1939 and started World War II .",00000000000000000000,00000000000000000000
vienna,besiege, The Turks besieged Vienna .,00000000000000000000,00000000000000000000
foot,bind, The Chinese would bind the feet of their women .,00000000000000000000,00000000000000000000
book,bind, They bind their books in leather .,00000000000000000000,00000000000000000000
pine,blaze, The summer sun alone can cause a pine to blaze .,00000000000000000000,00000000000000000000
foot,blister, Her feet blistered during the long hike .,00000000000000000000,00000000000000000000
haze,blur, The haze blurs the hills .,00000000000000000000,00000000000000000000
vision,blur, The fog blurs my vision .,00000000000000000000,00000000000000000000
voltage,boost, Boost the voltage in an electrical circuit .,00000000000000000000,00000000000000000000
ball,bounce, The rubber ball bounced .,00000000000000000000,00000000000000000000
wall,brush, He brushed the wall lightly .,00000000000000000000,00000000000000000000
suit,brush, She brushed the suit before hanging it back into the closet .,00000000000000000000,00000000000000000000
sum,buy, This sum will buy you a ride on the train .,00000000000000000000,00000000000000000000
bee,buzz, bees were buzzing around the hive .,00000000000000000000,00000000000000000000
plane,buzz, Planes buzzed the crowds in the square .,00000000000000000000,00000000000000000000
hill,climb, Did you ever climb up the hill behind your house ?,00000000000000000000,00000000000000000000
wall,color, color the walls with paint in warm tones .,00000000000000000000,00000000000000000000
act,commit, commit a random act of kindness .,00000000000000000000,00000000000000000000
anxiety,communicate, He communicated his anxieties to the psychiatrist .,00000000000000000000,00000000000000000000
haircut,compare, John compared his haircut to his friend 's .,00000000000000000000,00000000000000000000
car,compare, This car does not compare with our line of Mercedes .,00000000000000000000,00000000000000000000
dynasty,compare, We can compare the Han dynasty to the Romans .,00000000000000000000,00000000000000000000
symphony,compose, Beethoven composed nine symphonies .,00000000000000000000,00000000000000000000
office,computerize, Our office is fully computerized now .,00000000000000000000,00000000000000000000
industry,computerize, They computerized the car industry .,00000000000000000000,00000000000000000000
air,condense, The cold air condensed the steam .,00000000000000000000,00000000000000000000
planet,condense, All our planets condensed out of the same material .,00000000000000000000,00000000000000000000
crocodile,crawl, The crocodile was crawling along the riverbed .,00000000000000000000,00000000000000000000
child,crawl, European children learn the breast stroke ; they often do n't know how to crawl .,00000000000000000000,00000000000000000000
prince,crown, The prince was crowned in Westminster Abbey .,00000000000000000000,00000000000000000000
can,crush, crush an aluminum can .,00000000000000000000,00000000000000000000
toy,crush, The car crushed the toy .,00000000000000000000,00000000000000000000
bottle,crush, The plastic bottle crushed against the wall .,00000000000000000000,00000000000000000000
hair,curl," Curl my hair , please .",00000000000000000000,00000000000000000000
plate,dash, He dashed the plate against the wall .,00000000000000000000,00000000000000000000
paint,dash, blue paint dashed with white .,00000000000000000000,00000000000000000000
mattress,deflate, deflate the air mattress .,00000000000000000000,00000000000000000000
suit,design, Chanel designed the famous suit .,00000000000000000000,00000000000000000000
sandwich,devour, he devoured three sandwiches .,00000000000000000000,00000000000000000000
milk,digest, I can not digest milk products .,00000000000000000000,00000000000000000000
protein,digest, Protein digests in a few hours .,00000000000000000000,00000000000000000000
suspect,down, The policeman downed the heavily armed suspect .,00000000000000000000,00000000000000000000
water,drain, The rain water drains into this big vat .,00000000000000000000,00000000000000000000
tank,drain, We drained the oil tank .,00000000000000000000,00000000000000000000
boat,drift, drift the boats downstream .,00000000000000000000,00000000000000000000
husband,drink, The husband drinks and beats his wife .,00000000000000000000,00000000000000000000
child,drown, The child drowned in the lake .,00000000000000000000,00000000000000000000
garbage,dump, The truck dumped the garbage in the street .,00000000000000000000,00000000000000000000
disk,erase, Who erased the files form my hard disk ?,00000000000000000000,00000000000000000000
bomb,explode, We exploded the nuclear bomb .,00000000000000000000,00000000000000000000
bottle,explode, The champagne bottle exploded .,00000000000000000000,00000000000000000000
bridge,explode, The enemy exploded the bridge .,00000000000000000000,00000000000000000000
dress,fasten, This dress fastens in the back .,00000000000000000000,00000000000000000000
grape,ferment, We ferment the grapes for a very long time to achieve high alcohol content .,00000000000000000000,00000000000000000000
container,fill, The liquid fills the container .,00000000000000000000,00000000000000000000
star,flash, A shooting star flashed and was gone .,00000000000000000000,00000000000000000000
log,float, He floated the logs down the river .,00000000000000000000,00000000000000000000
village,flood, The swollen river flooded the village .,00000000000000000000,00000000000000000000
water,flow, Water flowed into the cave .,00000000000000000000,00000000000000000000
garbage,flush, The garbage flushed down the river .,00000000000000000000,00000000000000000000
car,fuel," fuel aircraft , ships , and cars .",00000000000000000000,00000000000000000000
tanker,fuel, The tanker fueled in Bahrain .,00000000000000000000,00000000000000000000
horse,gallop, The horse was galloping along .,00000000000000000000,00000000000000000000
firefly,glow, The fireflies were glowing and flying about in the garden .,00000000000000000000,00000000000000000000
coal,glow, The coals were glowing in the dark .,00000000000000000000,00000000000000000000
passenger,grab, The passenger grabbed for the oxygen mask .,00000000000000000000,00000000000000000000
hand,grab, She grabbed the child 's hand and ran out of the room .,00000000000000000000,00000000000000000000
star,gravitate, The stars gravitate towards each other .,00000000000000000000,00000000000000000000
spice,grind, grind the spices in a mortar .,00000000000000000000,00000000000000000000
man,guard, There will be men guarding the horses .,00000000000000000000,00000000000000000000
possession,guard, Please guard my possessions while I 'm away .,00000000000000000000,00000000000000000000
lava,gutter, The cooling lava continued to gutter toward lower ground .,00000000000000000000,00000000000000000000
rain,gutter, The heavy rain guttered the soil .,00000000000000000000,00000000000000000000
building,gutter, The roofer began to gutter the buildings .,00000000000000000000,00000000000000000000
platter,heap, heap the platter with potatoes .,00000000000000000000,00000000000000000000
back,hurt, This exercise will hurt your back .,00000000000000000000,00000000000000000000
gas,ignite, Marsh gases ignited suddenly .,00000000000000000000,00000000000000000000
people,immigrate, Many people immigrated at the beginning of the 20th century .,00000000000000000000,00000000000000000000
child,infect, Your children have infected you with this head cold .,00000000000000000000,00000000000000000000
program,interrupt, We interrupt the program for the following messages .,00000000000000000000,00000000000000000000
pedal,jam, The driver jammed the brake pedal to the floor .,00000000000000000000,00000000000000000000
mechanism,jam, the mechanism jammed .,00000000000000000000,00000000000000000000
ball,juggle, the player juggled the ball .,00000000000000000000,00000000000000000000
gun,kick, The gun kicked back into my shoulder .,00000000000000000000,00000000000000000000
pilot,kite, The pilot kited for a long time over the mountains .,00000000000000000000,00000000000000000000
airplane,land, the pilot managed to land the airplane safely .,00000000000000000000,00000000000000000000
rifle,lean, He leaned his rifle against the wall .,00000000000000000000,00000000000000000000
car,lend, I will lend you my car .,00000000000000000000,00000000000000000000
building,level, The building was levelled .,00000000000000000000,00000000000000000000
ground,level, The ground levelled off .,00000000000000000000,00000000000000000000
room,lighten, The room lightened up .,00000000000000000000,00000000000000000000
truck,load, load the truck with hay .,00000000000000000000,00000000000000000000
gun,load, He loaded his gun carefully .,00000000000000000000,00000000000000000000
bag,load, load the bags onto the trucks .,00000000000000000000,00000000000000000000
knee,lock, The therapist noticed that the patient 's knees tended to lock in this exercise .,00000000000000000000,00000000000000000000
