sentence,verb,verb_idx,correct_label,prediction
"Unfortunately , they wo n't work in the harbor tunnel where business travelers sometimes get stuck on the way in from the airport . . . ",stick,15,1,1
"MISSED CONNECTIONS : If you 're bound for Denver but get stuck in Detroit for the night because of a missed connection , do n't expect the airline to help ",stick,11,1,1
It also vindicates Pratt 's efforts to fix problems in customer service that contributed to its loss of dominance in the commercial jet engine field to General Electric Co ,fix,7,1,1
"A surprisingly strong October employment report , implying that the economy is n't cooling off as fast as many investors had hoped , could force a sharp retreat in stock prices today , he said ",cool,13,1,1
"One look at her pudgy face , shot to make her seem like a powder - brained Kewpie doll , vaporizes whatever credibility Jamie 's anguish might have had ",vaporize,20,1,1
"Weeks later , '' Penthouse finally realized that Dominion was intentionally destroying the deal , '' sought other financing , failed , and had to abandon the project , the judge said ",destroy,11,1,1
It recently sued a small local factory that was knocking off its knock - off with a game called Entrepreneurs ,knock,9,1,1
It poured into the vacuum created by the collapse of a Keynesian mainstream that had no explanation for simultaneous stagnation and inflation ,pour,1,1,1
"The report cooled bullish sentiment brought about by a smaller Brazilian crop this year , analysts said ",cool,2,1,1
The stock has risen more than 17 % in less than two weeks on stepped up volume ,step,14,1,1
"It is to correct for such gaps in market operations -LRB- or '' externalities , '' as economists call them -RRB- that governments have a responsibility to step in and lend a helping hand ",lend,30,1,1
But Madison Avenue 's interest in Mr. Tyson is cooling because of the barrage of negative publicity about an alleged suicide attempt and his stormy marriage to actress Robin Givens ,cool,9,1,1
"After years of being out of work and on welfare , many of the unemployed now lack the ability or initiative to fill openings ",fill,22,1,1
"She 's been able to stick to this policy , largely because of the nature of her music ",stick,5,1,1
They also became a major element in the more - than - doubling of the Nikkei average in the two years to last October because of the huge amount of money they pumped into the market ,pump,32,1,1
"Some say interest rates may have to rise further to cool domestic demand , while others say the problem is more deep - rooted and requires greater investment by United Kingdom industry ",cool,10,1,1
"By 9 a.m . , the cadets are off to class , batlike figures in dark , flowing rain capes , black briefcases clutched with precision in their left hands ",flow,17,1,1
"The Soviet Union is unwilling and unlikely to miss the deadline for withdrawing all its troops from Afghanistan , despite its latest blustering and military maneuvering there , Western and Soviet officials indicated ",miss,8,1,1
"'' I found myself sleeping out on the steps in boot camp , '' he recalls ",sleep,4,1,1
"Last month , Thiokol said it settled the last suit with the estates of the seven crew members killed in the Challenger ",kill,18,1,1
Incumbent Spyros Kyprianou was knocked out in voting last week ,knock,4,1,1
"Those progressive cities now building or planning transit systems for the next century are not viewing the scene from an ivory tower but realize , in a practical sense , that better transit is vital not only for the millions of Americans who currently step onto a transit bus or train over 8.3 billion times each year , but also to their future citizens as well ",step,44,1,1
Seagram must decide by Feb. 9 whether to come up with a higher offer that would knock Grand Met out of the bidding war and frustrate its expansion strategy ,knock,16,1,1
Charity officials say they need trustees who are willing to roll up their sleeves and work for the organization and who will back up their commitment with donations ,roll,10,1,1
"This provides greatly enhanced trouble - shooting capabilities when something does go wrong , and can even be used to automatically switch in a good spare card if something does die ",die,30,1,1
"The Japanese carrier was shaken in 1985 by a crash of a JAL Boeing 747 that killed 520 people , the worst single - aircraft accident in aviation history , and safety is a central issue in JAL 's current negotiations with several unions ",kill,16,1,1
"It is '' Hotlanta '' : capital city of the South at a time when the South has risen ; city of myriad services at a time when the service economy rules ; city of the 1980s , more suburban than downtown , more footloose than fixed ",fix,46,1,1
"In Louisiana , CIT was stuck with repossessed ships that had supplied drilling platforms in the Gulf of Mexico ",stick,5,1,1
"Orion , a contract carrier which formerly flew for United Parcel Service , had agreed to replace Eastern pilots if they followed the machinists on a walkout ",fly,7,1,1
"But if all sides discover self - interest in moving toward effective control of the toxics problem , instead of sticking grimly to their familiar trenches , the results will be as remarkable as the law itself ",stick,20,1,1
Real power still rests with Pretoria just as it does with Jerusalem ,rest,3,1,1
"Every time it rained , the family placed cups and bowls all over the house to catch the leaks ",rain,3,1,1
"And Mr. McGegan , who does n't mince words when he dislikes something or someone -LRB- he called the countertenor in his recent Long Beach production '' awful '' -RRB- , said he was knocked out by Mr. Davies 's strangely articulated yet strikingly clear conducting of Beethoven 's '' Eroica '' Symphony ",knock,34,1,1
"London share prices finished a bumpy session little changed Monday , after the market stumbled on news of an unexpected rise in U.K. interest rates ",stumble,14,1,1
"The Peloponnesian War , that devastating conflict between Sparta and Athens that broke out in 431 B.C. and dragged on until 404 B.C . , has long been regarded as the turning point in the career of the Athenian experiment in democracy ",drag,18,1,1
"The spokesman said , however , that the plane was transmitting an identifying signal usually associated with civilian aircraft when a U.S. cruiser fired two missiles and killed all 290 aboard ",kill,27,1,1
Mr. Tennyson said it 's unfair that foreign cigarette manufacturers who advertise through U.S. magazines will escape the ban ,escape,16,1,1
It just eats your soul . ',eat,2,1,1
The study also showed that different organisms ' stress proteins are chemically similar - raising the possibility that vaccines made with the proteins might prime immune cells to target many disease - causing organisms ,target,28,1,1
Mr. Davis says he has been flooded with requests for berths on future flights since announcing the October launch ,flood,6,1,1
"It is to correct for such gaps in market operations -LRB- or '' externalities , '' as economists call them -RRB- that governments have a responsibility to step in and lend a helping hand ",step,27,1,1
"His inadequacy , vacillation and -LRB- a favorite -RRB- '' imbecility '' were widely condemned , along with his intellect , or lack of it : '' You can not . .. fill his . .. empty skull with brains . '",fill,32,1,1
"Eastern Airlines Inc. is stepping up its marketing war in the busy , competitive Northeast shuttle - service market , offering discounts of as much as 30 % for passengers buying tickets in bulk ",step,4,1,1
The clearance came as a notary approved Ferruzzi 's plan to absorb Iniziativa Me . T.A ,absorb,11,1,1
"The generally accepted reason for the softening of TPA sales is that wholesalers filled their distribution pipeline , and hospital usage now is coming out of wholesalers ' stocks of the drug -- not new sales , Ms. Behrens said ",fill,13,1,1
But he grasped the potential of putting the two together ,grasp,2,1,1
"He did n't stick around to explain why , but the Soviet vaulters later complained of tricky winds , and Bubka blamed them for his passing on the 20-foot barrier ",stick,3,1,1
"Making the Paris - Dakar rally less perilous , Mr. Sabine says , might kill it ",kill,14,1,1
An earthquake that shook Los Angeles in October knocked out computer equipment at California Federal Savings and Loan Association ,knock,8,1,1
But there were stumbling blocks from the start ,stumble,3,1,1
"The insurance industry , facing mounting competition on several fronts , is undergoing a personnel and cost retrenchment such as those that have struck the securities and banking industries ",strike,23,1,1
He stumbled on a new act while attending a tent revival in Oklahoma in 1968 ,stumble,1,1,1
"At state dinners , the president pours wine for his guests , but in adherence to Islam never touches a drop himself ",touch,18,1,1
"The music was really flowing , finally ",flow,4,1,1
"Bush and Dukakis should be asked to clarify where they stand on this important distinction , for it 's clear that the real work of fixing the schools will fall to local politicians and school boards ",fix,25,1,1
"In a statement , Mr. Kennedy announced that the raise would '' fix '' the promise of a living wage made 50 years ago when the minimum wage was created -- a promise he says was broken by the Reagan administration ",fix,12,1,1
"Mr. Questrom 's appointment comes two months after he stepped down as vice chairman of Federated Department Stores , following its takeover by Campeau Corp. Acclaimed by analysts , Mr. Questrom is lauded for the revival of two ailing Federated divisions : Rich 's Department Stores in Atlanta and Bullock 's Bullock 's Wilshire in Los Angeles ",step,9,1,1
"Out - of - home entertainment -- such as films , sporting events , eating out , dancing , theater , shopping and amusement parks -- was a leisure - time activity for 43 % of respondents . -LRB- The survey included multiple responses . -RRB-/-R",eat,14,1,1
"As in 1913 , private capital flows among the principal industrial economies are now huge relative to official reserves and to the underlying flow of commodity trade ",flow,23,1,1
"The article cited by many traders for kicking off Monday 's rally appeared in the Sunday Times of London and was written by Goldman Sachs 's London - based chief international economist , David Morrison , an influential exchange - rate forecaster ",kick,7,1,1
"But after several months of talks with each other and with clients , their ardor has cooled considerably ",cool,16,1,1
'' It seemed to me an enormously powerful tool if you could knock out a gene responsible for a virus or cancer . ',knock,12,1,1
"Already , he has changed the French political landscape in a way that may be more long - lasting than the Reagan Revolution in the U.S. Building the Socialist Party from scratch in 1971 , Mr. Mitterrand went on to prove that a leftist could get elected without France 's flying apart ",fly,50,1,1
'' That would have an impact on aid flowing to El Salvador . ',flow,8,1,1
Mr. Brooks tape - recorded one of the men present at the meeting saying that he believes Indians ritualistically kill and mutilate one another ,kill,19,1,1
The good times for the Rev. Jesse Jackson may roll on -- and neither his rivals for the Democratic presidential nomination nor other party heavyweights have the temerity to try to break up the celebration ,roll,9,1,1
Salsa and rap music pour out of the windows ,pour,4,1,1
"While manned launches , such as that of the space shuttle last week , still grab occasional headlines , industry observers are focusing more and more on the moves of trade negotiators ",grab,15,1,1
"Their ambassador , Oleg Sokolov , speaks fluent English , goes to prayer breakfasts with President Corazon Aquino , and gives smooth interviews to the Philippine press in which he urges the country to kick out the Americans and get friendlier with Moscow ",kick,34,1,1
"'' We are very pleased to put this issue to rest , '' Mr. Fish said ",rest,10,1,1
"Still , market participants say the firmer U.S. interest rates will lend support to the dollar if tomorrow 's report shows that the trade gap widened in June ",lend,11,1,1
"With the Pledge , the furlough program and the ACLU , they pumped some genuine voter concerns into the election ",pump,12,1,1
"DEAN WITTER : '' I ' m not looking to knock the cover off the ball , '' says Manny Korman , Dean Witter Reynolds Inc. 's research director , '' because I ' m unwilling to accept the risk that would entail . '",knock,10,1,1
Friends say a 1975 auto crash that killed his wife and two children pushed Mr. Kiley deeper into his work and seared new priorities into his management approach ,kill,7,1,1
"Public anger reached its zenith April 30 , 1982 , when angry mobs stopped three taxis bearing margis , dragged them from their cars , bludgeoned and poured acid on them and finally burned them to death ",drag,19,1,1
'' Does somebody have to get hurt -- or killed ? ',kill,9,1,1
The idea of having one child has struck a deeper root and less people are punished for violating the birth control plan . . . ,strike,7,1,1
