sentence,arg1,arg2,verb,correct_label,prediction
"When she hears that prisoners sometimes carve their names into logs that float downriver , she grabs her child and runs with her to the river .",she,grabs,child,1,1
Morty Bennett eats a scallop and shrimp entree at a Chinese restaurant in Miami .,bennett,eats,scallop,0,0
"All agree that the state must diversify its industrial base to escape the recently detrimental reliance on oil , said Ron Jones , chairman of the New Orleans Business Council and president of Louisiana Coca Cola Bottling Ltd .",state,escape,base,1,1
"Next month , A & P will roll out these jams and jellies , now sold only in New York , to its 986 stores in the U.S .",a,roll,jams,1,1
"The fast-paced , slapstick nature of the commercials for Goodyear 's automotive service centers contrasts sharply with previous campaigns that subtly stressed the safety of Goodyear tires while also striking an emotional chord with viewers .",campaigns,striking,chord,0,0
Mr. Gallas says he began looking into melanin about five years ago when he was working on solar energy and was looking for materials that absorb sunlight .,that,absorb,sunlight,0,0
It said that the companies are examining the possibilities provided within the framework of securities law but that `` all these considerations have n't been in any way concluded . '',companies,examining,possibilities,0,0
"Among those who drink alcoholic beverages world-wide , 8 % consume daily amounts that are damaging to their health and to society .",who,drink,beverages,0,0
-- The justices refused to hear an antitrust appeal by actor Paul Newman and director George Roy Hill in a suit charging that MCA Inc. and its Universal City Studios Inc. unit conspired to fix the percentage of film revenue paid to artists .,suit,fix,percentage,1,1
"One of the funniest scenes in the play comes near the end , when Frank visits Sylvester 's apartment to fix a leak in the ceiling .",apartment,fix,leak,0,0
"Indiana Rep. Andrew Jacobs , a Democrat who 's neutral in the presidential-nomination contest , says Mr. Gephardt reminds him of a time in his life when he had to eat a lot of dinners at a drive-in restaurant .",time,eat,lot,1,1
The result: Some car makers are cooling their hot rods .,makers,cooling,rods,1,1
Olds is n't the only advertiser targeting Southern California with such campaigns .,advertiser,targeting,california,0,0
"While Mr. Gorbachev preached togetherness yesterday , Romania was kicking Hungary 's ambassador out of the country .",romania,kicking,ambassador,1,1
"Mr. Martineau also says the tractors reflect another Russian approach to manufacturing: `` You could melt down one Belarus and make three American tractors with the amount of metal the Russians have put in it , '' he says .",you,melt,belarus,1,1
"The rate on funds , or reserves that banks lend each other overnight , averaged about 7 1 2 % , up from 7.42 % Friday .",banks,lend,other,0,0
But there were stumbling blocks from the start .,there,stumbling,blocks,1,1
"`` A strong opening in platinum coupled with a weak dollar just grabbed gold by the horns and took it on up , '' he said .",opening,grabbed,gold,1,1
"But the report , published in today 's edition of Science , lends credence to a body of opinion that HIV-2 in some cases may not ravage T-4 cells -- immune sentries of the bloodstream -- as much as it harms cells of the brain or bowel , said Dr. Levy in an interview .",report,lends,credence,0,0
"But some physicians questioned the effectiveness of the drug , designed to dissolve gallstones , and how widely it might be used .",effectiveness,dissolve,gallstones,0,0
`` I 'm quite sure there was someone within the IBM structure that could have just reached in and fixed it . '',structure,fixed,it,1,1
"My late father-in-law , Jean Le Gorre , once recounted an early experience in the French army during World War I where on bivouac he examined his field ration -- a piece of issue `` hardtack . ''",he,examined,ration,0,0
"Moody 's said it will examine the effect of such a tender offer , if sucessfully completed , on Facet 's capital structure and debt-protection measurements .",it,examine,effect,0,0
"It kills the parasite residing in red blood cells and has few side effects , SmithKline said .",it,kills,parasite,0,0
"Nevertheless , they continue to pump money into the market .",they,pump,money,1,1
"The message was programmed to be seen only once -- on March 2 -- `` then it killed itself , '' she said .",it,killed,itself,1,1
"During the past 18 months , the Houston-based unit of Texas Air Corp. absorbed several carriers , in the process inheriting a hodge-podge of different aircraft .",unit,absorbed,carriers,1,1
"In Kindred 1002 alone , the scientists have examined 350 members .",scientists,examined,members,0,0
"CNW Corp . , the parent of the Chicago & North Western Transportation Co . , said President Reagan has ordered the creation of a presidential emergency board to examine the issues in a labor dispute over crew size , thus temporarily averting a strike that had been scheduled for tomorrow night .",reagan,examine,creation,0,0
"`` I do n't think anyone liked the Nissan campaign , but they went out of their way not to knock it , '' says Eli Bloom , the New York GM dealer who sits on the selection committee . -LRB- Mr .",they,knock,it,1,1
Most patients will not be aware of an expensive test forgone or a consultation not provided -- omissions that can readily escape detection if they are limited in scope .,that,escape,detection,0,0
"`` That remark -LRB- of the official -RRB- definitely cooled the heels of the bulls , '' said Paul Clohesy , chief dealer at Australia and New Zealand Banking Group Ltd. in New York .",remark,cooled,heels,1,1
"The subject is Oedipus 's death , and perhaps because death is the one thing that still fills us with awe , the excellence of this scene transmits a shiver of the tragedy 's original force .",that,fills,us,1,1
"The issue is particularly hot in Florida , where a coalition of civic leaders , civil libertarians and Hispanic groups went to federal court recently in an unsuccessful attempt to knock the proposed amendment off the ballot .",attempt,knock,amendment,1,1
"More recently , Pablo Casals 's widow lent him her husband 's precious Goffriller cello for two years and the teen-ager played chamber music at Carnegie Hall with Isaac Stern , Yo-Yo Ma and other luminaries .",widow,lent,him,0,0
A Middle Eastern analyst says Lebanese usually drink coffee at such occasions ; Palestinians drink tea .,lebanese,drink,coffee,0,0
"Prompted by news reports of alleged misappropriation of funds , the SEC visited the firm 's New York headquarters last week with the intention of examining business records .",intention,examining,records,0,0
"You have to plant it when it 's small , and wait for it to grow. '",you,plant,it,0,0
"There was market speculation yesterday that senior officials of Olympia & York may have met secretly with Michael D. Dingman , chairman and chief executive officer of Henley , in an effort to smooth over a rift between the two one-time suitors for Santa Fe , a Chicago-based railroad and energy concern .",effort,smooth,rift,1,1
"CNW Corp . , the parent of the Chicago & North Western Transportation Co . , said President Reagan has ordered the creation of a presidential emergency board to examine the issues in a labor dispute over crew size , thus temporarily averting a strike that had been scheduled for tomorrow night .",reagan,examine,issues,0,0
"Baaron Pittenger , a long-time USOC aide who had served as acting executive director after Mr. Miller left , was named to fill the vacant post until year end , when Mr. Schiller 's contract expires .",pittenger,fill,post,0,0
"Since late January , the Fed has pushed the rate on federal funds , or reserves banks lend one another overnight , down a quarter of a percentage point to 6 1 2 % and then back up to about 6 3 4 % .",banks,lend,one,0,0
The Pac Man defense is named after the video game in which characters try to eat other characters before they get eaten themselves .,they,eaten,themselves,1,1
"Unself-consciously , the littlest cast member with the big voice steps into the audience in one number to open her wide cat-eyes and throat to melt the heart of one lucky patron each night .",member,melt,heart,1,1
They have had to learn through the press about the sweet terms he had struck for himself and his small management group .,he,struck,for,1,1
"This expert also believes that Pyongyang might use helicopters it has bought from the West , which are identical to those used by the Seoul army , to attack student demonstrators .",pyongyang,attack,helicopters,0,0
"Early last month , U.S. investors such as Rockefeller Foundation and Equitable Capital Management Corp. plowed $ 225 million into Advent Corp. 's International Network Fund .",investors,plowed,million,0,0
It was a fight that filled magazines and books and gave professors case histories for business schools .,that,filled,books,1,1
"Though they may fill some of the same military needs , the missiles are quite different from any arms the Saudis have sought from the U.S .",they,fill,some,0,0
"To air fresh shows through June , `` we 'd have to eat the second showing of some episodes , '' he said , which would cause a financial hit .",we,eat,showing,1,1
He killed 47 in one month .,he,killed,47,0,0
"The lower court had enjoined the effect of its decision , pending the appeal , but the appeals court dissolved the injunction .",court,dissolved,injunction,1,1
"The union struck car haulers over a 1985 contract , but locals do n't want to strike this time , largely because the action is seen as having little clout while auto makers are closed for model changeover .",union,struck,haulers,0,0
Mr. Hauke `` is looking for a much more costly repair that is nonstandard and would knock the price beyond the the { $ 500} limit for a buy-back . '',repair,knock,price,1,1
"Farmers in Kansas , the No. 1 wheat-producing state , planted 10.2 million acres , the smallest since 1971 .",farmers,planted,smallest,0,0
They are irate about new capital-adequacy requirements that force securities firms to pump at least 20 % more capital into reserves .,requirements,pump,%,1,1
