sentence,correct_label,prediction,polarity,intensity,source_concept,target_concept
".......Al concluir el bachillerato, continuó sus estudios de letras en Bogotá, Colombia, donde fue  universitario del  de Carranza; allí permaneció un año, durante su estancia en ese país conoció a José Juan Tablada y a jóvenes que como él estaban interesados en hacer una carrera literaria, entre ellos destaca Germán Arciniegas, icono de las letras colombianas.",0,0,,,,GOVERNMENT
"Dice, sin embargo, no tener datos duros para calificar a las FARC de Colombia como narcoguerrilla –uno de los lugares comunes cuando se habla del tema en América Latina-pues desconfía de los reportes de inteligencia de ese país y de los papeles presuntamente encontrados en la computadora de Raúl Reyes, en marzo pasado, aunque reconoce que cuenta con un control territorial importante que pudieran  los .",0,0,,,,DRUG_TRAFFICKING
"“El ejido en México –y la  comunal– han fracasado rotundamente”, escribió, además de ser “trampas a la democracia, fuentes de perversión constitucional, y úteros reproductores del caos que caracteriza a los asentamientos humanos del país... Ejidos y comunidades son de facto un insano cuarto orden de ”.",0,0,,,,GOVERNMENT
"Presencia Ciudadana está promoviendo dos iniciativas para que en la coyuntura de las campañas a la Presidencia de la República y a la Jefatura del Gobierno del DF los grupos e individuos  de la sociedad civil (academia, organizaciones sociales, grupos de vecinos, etc.) tengamos una incidencia real en las propuestas electorales, en los programas de gobierno y en las  de los dos niveles de gobierno.",0,0,,,,GOVERNMENT
"La Contraloría General del Distrito Federal y la Procuraduría General de Justicia del Distrito Federal, con el valioso  del Consejo Ciudadano de Seguridad Pública y Procuración de Justicia y el Instituto de Formación Profesional han iniciado con grandes expectativas, el Programa de Contraloría Ciudadana en Agencias del , que tiene como objetivo fundamental, promover la transparencia de la gestión pública en las Agencias del Ministerio Público y vigilar que se preste el servicio - con legalidad, honradez, imparcialidad, profesionalismo, eficacia y eficiencia -, fomentar la cultura del servicio público y promover un trato respetuoso y amable a la ciudadanía, por parte de los servidores públicos.",0,0,,,,GOVERNMENT
"[4] En las reseñas con las que se presentó la retrospectiva de la cineteca, denominada El universo orgánico de David Cronenberg, Mauricio Matamoros anota: ‘‘Las inquietudes temáticas en el cine de Cronenberg siempre han estado ligadas a una mutación corporal producida por los trastornos emocionales y psicológicos’’ (programa, p.19), lo cual podría traducirse en lo que, en el mismo programa, Ricardo Pohlenz afirma: ‘‘Cronenberg irrumpe –explosivo y sin miramientos— en la psique del espectador; infringe, de hecho, una violación, y a partir de ello,  un  gobernado por el trastorno’’ (p.15).",0,0,,,,GOVERNMENT
"En Información Jurídica encontraras todo lo que necesitas saber sobre el , como abogado litigante, como licenciado en la burocracia, como estudiante de  o como Publico en General, contamos con la información Jurídica mas enriquecida y actualizada que puedas encontrar en Web como es:",0,0,,,,DEMOCRACY
"Con  y platillo, la Junta de  del FMI, reunida en Singapur, aprobó ""reformar"" el sistema de cuotas y representación del propio organismo para que distintos países en él participantes tengan ""mayor poder"" en la toma de decisiones.",0,0,,,,GOVERNMENT
"Xochimilco, palabra náhuatl que significa ""En el Lugar de la Sementera Florida"", es un lugar para descubrir y  sus  naturales, sus monumentos históricos, sus tradiciones y su cultura; un lugar que se ha caracterizado por su conservación.",0,0,,,,WEALTH
"Presencia Ciudadana está promoviendo dos iniciativas para que en la coyuntura de las campañas a la Presidencia de la República y a la Jefatura del Gobierno del DF los grupos e individuos representantes de la sociedad civil (academia, organizaciones sociales, grupos de vecinos, etc.) tengamos una incidencia real en las propuestas , en los  de gobierno y en las políticas públicas de los dos niveles de gobierno.",0,0,,,,ELECTIONS
y educación ciudadana: reflexiones sobre los retos para la educación,0,0,,,,DEMOCRACY
"El Departamento del Tesoro dijo que el pago más grande en la nueva ronda  un total de 7 mil 580  de dólares, y fue para el PNC Financial Services Group Inc., con sede en Pittsburgh.",0,0,,,,WEALTH
"Busco el  de contador público, trabaje nurante 4 años en un despacho contable como auxiliar contable,realizado conciliaciones bancarias, contabilizando, ingresando al sistema, elaboracion auxiliares,realizando tramites  y del imss, en este emplo maneje el programa COFIA Y UN POCO EL EL SUA el IDSE.",0,0,,,,TAXATION
"¿No sería mejor suprimir autonomías y  ayuntamientos?.... igual con la eliminación de ciertos organismos parásitos conseguiríamos el  sin tanto ""sacrificio"" ni tantas ""medidas valientes""....",0,0,,,,MONEY
