sentence,correct_label,prediction,polarity,intensity,source_concept,target_concept
"Sin embargo, LA REVISTA no dejó -nunca- de reconocerle otras valiosas virtudes que visten y  al .",0,1,,,,BUREAUCRACY
"El movimiento indígena nacional identificado con el lema “Nunca más un México sin nosotros” vino a tejer las esperanzas de un México diverso afianzado en un marco constitucional, que reconociera los derechos colectivos de los pueblos; no obstante, los intereses macroeconómicos impusieron sus leyes acorde al modelo privatizador del neoliberalismo y sojuzgaron a los  indígenas en el laberinto de la , en las cifras del oprobio.",0,1,,,,POVERTY
"Aseguró que 20 millones de mexicanos pasan hambres y un 40% tiene  de , tendrá para comer , pero no para una vida digna.",0,1,,,,POVERTY
Los  deben  sus funciones.,0,1,,,,GOVERNMENT
"Por estar hecha a la medida, el atleta puede elegir, la ubicación de los  de , el material y marca de los rodamientos así como el tipo de multiplicación que ofrece la gama shimano.",0,1,,,,GOVERNMENT
"Un   sostiene que “primero los pobres”, porque serán los primeros en ser pasados a cuchillo.",0,1,,,,POLITICIANS
"Tampoco los 64 senadores presidentes de las comisiones ordinarias y especiales que procesan todo el trabajo parlamentario del Senado tienen obligación legal de  cuentas claras de este , el cual utilizan con plena libertad.",0,1,,,,MONEY
Todo ello se hace en  de la  y de la democracia como uno de los principios supremos del ser humano para no verse amenazado por el poder físico o dictatorial de otros.,0,1,,,,DEMOCRACY
"La repetición constante de argumentos como que, las ejecuciones se deben a guerra entre pandillas o los más malos tienen condiciones de privilegio en prácticamente todas las cárceles, no sólo irrita por el alto costo de un sistema alejado de la rehabilitación y sostenido a  de la  de millones mexicanos, sino por consecuencia impulsa a los que están fuera, a desear una suerte de vacaciones seguras en los penales; viviendo gratis, a veces como reyes, con toda clase de canonjías y con la facilidad de seguir dirigiendo sus redes destructivas.",0,1,NEGATIVE,1.0,PHYSICAL_LOCATION,POVERTY
"Autorización de  de  al comercio exterior en la importación de mercancía donada, conforme a la Regla 2.9.3., rubro A de carácter general en materia de comercio exterior.",0,1,POSITIVE,2.0,PHYSICAL_HARM,TAXATION
"Toda vez que no existe ningún órgano jurídico intermedio, lo apropiado es que las impugnaciones se presenten directamente ante la Sala Superior del Tribunal Electoral del Poder Judicial de la Federación, aceptando, desde luego, que los  de esa  serán definitivos e inapelables.",0,1,NEGATIVE,1.0,STRUGGLE,GOVERNMENT
"Podemos ayudar a la Comisión Electoral Independiente a organizar el referendo sobre el proyecto de constitución y las elecciones parlamentarias subsiguientes, ya que hemos trabajado con ella en los  de las  de la semana pasada y seguimos trabajando con ella en la tabulación y verificación de los resultados.",0,1,,,,ELECTIONS
"En el México que quiere ser democrático, la derecha le está dando un ""manazo"" antidemocrático a la izquierda con lo que subvierte el protagonismo que las  le  al voto.",0,1,,,,ELECTIONS
"En el mensaje con que se envió a la Cámara de Diputados el proyecto de ley sobre las libertades de opinión e información y ejercicio del periodismo, o Ley de Prensa, nombre con el que es conocida, se expresa lo siguiente: ""El derecho del pueblo gobernado a la información, sin la cual el ejercicio de sus competencias sería simplemente ilusorio, nos induce al reconocimiento sin reservas de la función pública que cumple la prensa en el  .",0,1,POSITIVE,1.0,FOOD,DEMOCRACY
"que le pasa a estos tipos,,,vivea costillas de los  de la ,,,,o simplemente no le vio ""futuro $$$"" al puestoy mejor lo dejo..............",0,1,,,,TAXATION
