sentence,arg1,arg2,verb,correct_label,prediction
Morty Bennett eats a scallop and shrimp entree at a Chinese restaurant in Miami .,bennett,eats,scallop,0,0
"The fast-paced , slapstick nature of the commercials for Goodyear 's automotive service centers contrasts sharply with previous campaigns that subtly stressed the safety of Goodyear tires while also striking an emotional chord with viewers .",campaigns,striking,chord,0,0
Mr. Gallas says he began looking into melanin about five years ago when he was working on solar energy and was looking for materials that absorb sunlight .,that,absorb,sunlight,0,0
It said that the companies are examining the possibilities provided within the framework of securities law but that `` all these considerations have n't been in any way concluded . '',companies,examining,possibilities,0,0
"Among those who drink alcoholic beverages world-wide , 8 % consume daily amounts that are damaging to their health and to society .",who,drink,beverages,0,0
"One of the funniest scenes in the play comes near the end , when Frank visits Sylvester 's apartment to fix a leak in the ceiling .",apartment,fix,leak,0,0
Olds is n't the only advertiser targeting Southern California with such campaigns .,advertiser,targeting,california,0,0
"The rate on funds , or reserves that banks lend each other overnight , averaged about 7 1 2 % , up from 7.42 % Friday .",banks,lend,other,0,0
"But the report , published in today 's edition of Science , lends credence to a body of opinion that HIV-2 in some cases may not ravage T-4 cells -- immune sentries of the bloodstream -- as much as it harms cells of the brain or bowel , said Dr. Levy in an interview .",report,lends,credence,0,0
"But some physicians questioned the effectiveness of the drug , designed to dissolve gallstones , and how widely it might be used .",effectiveness,dissolve,gallstones,0,0
"My late father-in-law , Jean Le Gorre , once recounted an early experience in the French army during World War I where on bivouac he examined his field ration -- a piece of issue `` hardtack . ''",he,examined,ration,0,0
"Moody 's said it will examine the effect of such a tender offer , if sucessfully completed , on Facet 's capital structure and debt-protection measurements .",it,examine,effect,0,0
"It kills the parasite residing in red blood cells and has few side effects , SmithKline said .",it,kills,parasite,0,0
"In Kindred 1002 alone , the scientists have examined 350 members .",scientists,examined,members,0,0
"CNW Corp . , the parent of the Chicago & North Western Transportation Co . , said President Reagan has ordered the creation of a presidential emergency board to examine the issues in a labor dispute over crew size , thus temporarily averting a strike that had been scheduled for tomorrow night .",reagan,examine,creation,0,0
Most patients will not be aware of an expensive test forgone or a consultation not provided -- omissions that can readily escape detection if they are limited in scope .,that,escape,detection,0,0
"More recently , Pablo Casals 's widow lent him her husband 's precious Goffriller cello for two years and the teen-ager played chamber music at Carnegie Hall with Isaac Stern , Yo-Yo Ma and other luminaries .",widow,lent,him,0,0
A Middle Eastern analyst says Lebanese usually drink coffee at such occasions ; Palestinians drink tea .,lebanese,drink,coffee,0,0
"Prompted by news reports of alleged misappropriation of funds , the SEC visited the firm 's New York headquarters last week with the intention of examining business records .",intention,examining,records,0,0
"You have to plant it when it 's small , and wait for it to grow. '",you,plant,it,0,0
"CNW Corp . , the parent of the Chicago & North Western Transportation Co . , said President Reagan has ordered the creation of a presidential emergency board to examine the issues in a labor dispute over crew size , thus temporarily averting a strike that had been scheduled for tomorrow night .",reagan,examine,issues,0,0
