sentence,pos_seq,genre,preds,true
An atmosphere poisoned by mistrust,"['DET', 'NOUN', 'VERB', 'ADP', 'NOUN']",news,01100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
I know .,"['PRON', 'VERB', 'PUNCT']",conversation,"0000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000","0000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000"
sorted out .,"['VERB', 'PART', 'PUNCT']",conversation,11000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
He 's like a ferret !,"['PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']",conversation,00001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
you did say that you 'd like to come .,"['PRON', 'VERB', 'VERB', 'ADP', 'PRON', 'VERB', 'VERB', 'PART', 'VERB', 'PUNCT']",conversation,"0000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000","0000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000"
You see I mean,"['PRON', 'VERB', 'PRON', 'VERB']",conversation,01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"oh no , hang on , no","['INTJ', 'INTJ', 'PUNCT', 'VERB', 'PART', 'PUNCT', 'INTJ']",conversation,00011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Take a bit of interest , what 's going on","['VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'VERB', 'VERB', 'PART']",conversation,10000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
yeah that 's it .,"['INTJ', 'DET', 'VERB', 'PRON', 'PUNCT']",conversation,01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
And then watch,"['CCONJ', 'ADV', 'VERB']",conversation,"0000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000","0000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000"
Paula 's stomach turned a somersault .,"['PROPN', 'PART', 'NOUN', 'VERB', 'DET', 'NOUN', 'PUNCT']",fiction,00010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Paula guessed .,"['PROPN', 'VERB', 'PUNCT']",fiction,"0000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000","0000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000"
My life would be finished .,"['ADJ', 'NOUN', 'VERB', 'VERB', 'VERB', 'PUNCT']",fiction,00001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Most people have their own notions or theories as to what causes criminal behaviour .,"['ADJ', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'ADP', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'PUNCT']",academic,00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
