verbs,sentences,preds,true
absorb,"As Eliot wrote : '' In a warm haze , the sultry light is absorbed , not refracted , by grey stone . . . . '' and flowers do indeed '' sleep in empty silence . '","0000000000000000000000000000000010000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
die,"In small type , the ad does state that just 5 , 800 of the 241 million Americans will die this year of skin cancer and that '' odds are it wo n't be your funeral . '","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000100000000000000000
00000000000000000000000000000000000000000000"
die,"Cardiac - bypass queues grow and patients die before their turn ; hip replacements and cataract operations join a growing list of corrections that are triaged , ostensibly because more serious operations must be performed , but in reality because the resources are being used to continue first - dollar insurance coverage for sniffles and splinters -- and for asphalt laying in the constituencies of members of the government ","0000000000000000000000000000000000000
00000000000000000000000100000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
drag,"Last week , though , some of them were dragged off a train and prevented from traveling to Moscow to meet with President Reagan ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000001000000000000000000000000000
00000000000000000000000000000000000000000000"
drink,"The upper classes do not take food or water from them nor sit , eat or drink with them ",0000000000000010000000000000000000000000000000000000000000000000000000000000000000,0000000000000000100000000000000000000000000000000000000000000000000000000000000000
drink,"It happens every year , says Dusty Saunders of the Rocky Mountain News , in Denver : Reporters put in long and weary days on the tour only to have their editors spot them drinking beer with a starlet on TV ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000100
00000000000000000000000000000000000000000000"
drink,"It is impolite to drink less than three glasses and , after the third , it is generally impolite for guests to linger ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000100000000000000000000000000000000
00000000000000000000000000000000000000000000"
drink,"In another , they pondered why an observer was '' touched '' by the sight of a woman who took a cup from a fountain , drank water from it and then rinsed it out ",0000000000100000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000010000000000000000000000000000000000000000000000000000000
eat,"'' He just tried to eat the propeller , '' says Mr. Fox ","0000010000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
escape,"Engineers intend to introduce deliberate flaws into two of the motor 's joints to prove that even with these defects , the redesigned motor has enough safety features to ensure that hot gases wo n't escape from it ","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000010
00000000000000000000000000000000000000000000"
escape,"Mr. Cossa 's grain bin may be filling up , but just last month another 100 peasants -- looking for food and security -- moved into the village to escape the fighting in the countryside ","0000000100000000000000000000000000000
00000000000000000000000000000000000000000000","0000000000000000000000000000000000000
00000000000000000000000000000000000000000000"
