sentence,pos_seq,genre,preds,true
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .","['PROPN', 'NOUN', 'PUNCT', 'ADP', 'ADJ', 'ADJ', 'PROPN', 'VERB', 'PUNCT', 'CCONJ', 'VERB', 'CCONJ', 'ADJ', 'PUNCT', 'CCONJ', 'VERB', 'PRON', 'VERB', 'PUNCT']",news,00000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
But the book 's principal defect remains the vacuity of its protagonist .,"['CCONJ', 'DET', 'NOUN', 'PART', 'ADJ', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']",news,00000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Your conservatory collapses as a result of negligence of the professionals who were engaged by the previous owner to put it up .,"['ADJ', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'PART', 'VERB', 'PRON', 'PART', 'PUNCT']",news,00100000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Yet the ambulance worker is only being offered Â£10,000 , when a fire officer is being given Â£13,000 and a Metropolitan police constable can earn Â£25,000 .","['ADV', 'DET', 'NOUN', 'NOUN', 'VERB', 'ADV', 'VERB', 'VERB', 'NUM', 'PUNCT', 'ADV', 'DET', 'NOUN', 'NOUN', 'VERB', 'VERB', 'VERB', 'PROPN', 'CCONJ', 'DET', 'PROPN', 'NOUN', 'NOUN', 'VERB', 'VERB', 'NOUN', 'PUNCT']",news,00000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Heat shone out .,"['NOUN', 'VERB', 'PART', 'PUNCT']",news,00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Although they are no longer manufactured , they are still present , for example in electrical equipment .","['ADP', 'PRON', 'VERB', 'ADV', 'ADV', 'VERB', 'PUNCT', 'PRON', 'VERB', 'ADV', 'ADJ', 'PUNCT', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']",news,00000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Ã¢ÂÂ If we do it properly any spot is the right spot , he insisted .","['NOUN', 'ADP', 'PRON', 'VERB', 'PRON', 'ADV', 'DET', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'PUNCT']",news,00000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Ã¢ÂÂ As we know , truth is often stranger than fiction .","['NOUN', 'ADP', 'PRON', 'VERB', 'PUNCT', 'NOUN', 'VERB', 'ADV', 'ADJ', 'ADP', 'NOUN', 'PUNCT']",news,00000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Well that , but your main areas will be gon na be before .","['INTJ', 'DET', 'PUNCT', 'CCONJ', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'VERB', 'VERB', 'PART', 'VERB', 'ADV', 'PUNCT']",conversation,01000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
You can make it different like and make it sort of still a dance area .,"['PRON', 'VERB', 'VERB', 'PRON', 'ADJ', 'INTJ', 'CCONJ', 'VERB', 'PRON', 'ADV', 'ADV', 'ADV', 'DET', 'NOUN', 'NOUN', 'PUNCT']",conversation,00100001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"They 've , they put like twelve , thirteen","['PRON', 'VERB', 'PUNCT', 'PRON', 'VERB', 'INTJ', 'NUM', 'PUNCT', 'NUM']",conversation,00001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
I 've got ta be I wo n't actually do it I 'll just come in run a just give it complete customers and and help,"['PRON', 'VERB', 'VERB', 'PART', 'VERB', 'PRON', 'VERB', 'ADV', 'ADV', 'VERB', 'PRON', 'PRON', 'VERB', 'ADV', 'VERB', 'PART', 'NOUN', 'DET', 'ADV', 'VERB', 'PRON', 'ADJ', 'NOUN', 'CCONJ', 'CCONJ', 'VERB']",conversation,00000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"did you have get his , well it int structural is it ?","['VERB', 'PRON', 'VERB', 'VERB', 'ADJ', 'PUNCT', 'INTJ', 'PRON', 'NOUN', 'ADJ', 'VERB', 'PRON', 'PUNCT']",conversation,00010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"No , it int because structural 's walls .","['INTJ', 'PUNCT', 'PRON', 'NOUN', 'ADP', 'ADJ', 'PART', 'NOUN', 'PUNCT']",conversation,00000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
I used to end up hitting them like a golf ball !,"['PRON', 'VERB', 'PART', 'VERB', 'PART', 'VERB', 'PRON', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT']",conversation,00000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
