sentence,pos_seq,genre,preds,true
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .","['PROPN', 'NOUN', 'PUNCT', 'ADP', 'ADJ', 'ADJ', 'PROPN', 'VERB', 'PUNCT', 'CCONJ', 'VERB', 'CCONJ', 'ADJ', 'PUNCT', 'CCONJ', 'VERB', 'PRON', 'VERB', 'PUNCT']",news,00000000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
But the book 's principal defect remains the vacuity of its protagonist .,"['CCONJ', 'DET', 'NOUN', 'PART', 'ADJ', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']",news,00000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Your conservatory collapses as a result of negligence of the professionals who were engaged by the previous owner to put it up .,"['ADJ', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'PART', 'VERB', 'PRON', 'PART', 'PUNCT']",news,00100000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
They move in today .,"['PRON', 'VERB', 'ADP', 'NOUN', 'PUNCT']",news,00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Yet the ambulance worker is only being offered Â£10,000 , when a fire officer is being given Â£13,000 and a Metropolitan police constable can earn Â£25,000 .","['ADV', 'DET', 'NOUN', 'NOUN', 'VERB', 'ADV', 'VERB', 'VERB', 'NUM', 'PUNCT', 'ADV', 'DET', 'NOUN', 'NOUN', 'VERB', 'VERB', 'VERB', 'PROPN', 'CCONJ', 'DET', 'PROPN', 'NOUN', 'NOUN', 'VERB', 'VERB', 'NOUN', 'PUNCT']",news,00000000000000001000001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Our latest Foreign Secretary has yet to publicly pick up the file marked Hong Kong .,"['ADJ', 'ADJ', 'PROPN', 'PROPN', 'VERB', 'ADV', 'PART', 'ADV', 'VERB', 'PART', 'DET', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'PUNCT']",news,00000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Heat shone out .,"['NOUN', 'VERB', 'PART', 'PUNCT']",news,01100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Although they are no longer manufactured , they are still present , for example in electrical equipment .","['ADP', 'PRON', 'VERB', 'ADV', 'ADV', 'VERB', 'PUNCT', 'PRON', 'VERB', 'ADV', 'ADJ', 'PUNCT', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']",news,00000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Ã¢ÂÂ If we do it properly any spot is the right spot , he insisted .","['NOUN', 'ADP', 'PRON', 'VERB', 'PRON', 'ADV', 'DET', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'PUNCT']",news,00000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Well that , but your main areas will be gon na be before .","['INTJ', 'DET', 'PUNCT', 'CCONJ', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'VERB', 'VERB', 'PART', 'VERB', 'ADV', 'PUNCT']",conversation,01000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
